gene	spearman_r	spearman_p	n_expr	padj
RAB6C-AS1	-0.029979078409450508	0.002482035778521021	16	0.004934812922572175
AC139494.1	-0.029980113948236815	0.002481177762983158	246	0.0049335346330883914
MMAA	-0.029982396657952496	0.0024792873382625887	917	0.0049302031179078686
MTCO1P22	-0.02999362604601386	0.002470006896812194	166	0.004912174284643498
RPS17P2	-0.02999403471513836	0.0024696697554794245	94	0.004911929667145326
IDUA	-0.030001476902271722	0.0024635375054617554	825	0.004900158107898175
PGM2	-0.030012366846075198	0.0024545894595736487	3771	0.004883630238849888
EXOC5P1	-0.030014994451037325	0.0024524348677822144	53	0.00487976674160205
AC114402.1	-0.03002796711151953	0.002441822843728191	68	0.004859494394363807
AC015720.1	-0.030028987313433918	0.002440990072763124	21	0.0048582585934091585
NSUN5P1	-0.030031415554367554	0.0024390089922474776	394	0.004854736919834487
KATNAL2	-0.030036823388196646	0.0024346022963067163	926	0.004846386138391344
MED12	-0.030046250594195124	0.0024269377405236534	1813	0.004831548159358753
TRIM31	-0.030060109298957517	0.002415710349159146	743	0.0048096140950449175
AC093159.1	-0.030063239891289402	0.0024131807441156957	115	0.0048049947837262
FTLP1	-0.03007171262827729	0.0024063466926217175	28	0.004792219173064504
ZNF536	-0.030073272209411847	0.0024050906771505847	47	0.004790133711251204
PRDM2	-0.030082508305646804	0.002397664637177167	3532	0.004776172943775063
PLOD1	-0.030087307360571997	0.002393814374011236	3757	0.004768917327694087
RBMS2	-0.03009041878878504	0.0023913211120148133	1625	0.00476436408124692
TMEM273	-0.03009672022543607	0.002386278899831585	52	0.004755557376571407
AC104763.1	-0.030098794494741024	0.0023846212646389067	48	0.004752666831895667
FXYD7	-0.030111291998620997	0.0023746562733043797	27	0.004733217378958625
AC108039.1	-0.03011528593831468	0.0023714797180919315	21	0.004727296582392694
CNIH1	-0.03012057400177137	0.0023672798741139678	5777	0.004719334760336015
JAKMIP1	-0.03013654718592472	0.002354635089778177	46	0.004694942601645673
AL353151.1	-0.030140530776985176	0.0023514912248755867	47	0.0046890816062067475
MAGI3	-0.030157392469447347	0.0023382264294493924	2250	0.004663035805834651
ELAVL4	-0.030158944505450043	0.0023370089199213637	55	0.004661013008012889
ZNF721	-0.030161346501538983	0.0023351257953314864	1559	0.004657662216809881
RPL30P15	-0.03016977029145482	0.0023285326602996556	48	0.0046453193739740386
LCN12	-0.030172462348871085	0.0023264292366213775	110	0.004641930569730442
MAN2A2	-0.030173934413568984	0.002325279783222784	1982	0.004640040684433599
ABCA10	-0.030185473952569427	0.002316287200087042	52	0.004622498329180143
SPATA5	-0.030186645392867296	0.002315376097706785	925	0.004621082130792502
SLC25A30-AS1	-0.03018707772119304	0.0023150399318467175	19	0.004620813257631396
HMGB1P1	-0.03019235455937027	0.002310940417286741	693	0.004613032050450201
ARMCX5-GPRASP2	-0.030194678902901475	0.0023091367716299234	595	0.004609832834434046
AL121871.1	-0.030201684153581276	0.0023037086271666075	87	0.004599396682909535
NBR2	-0.030213003041114583	0.0022949626734551304	1031	0.004582732985436909
TCEANC2	-0.030218112598344615	0.0022910245576149937	1196	0.004575267395313662
ZDHHC15	-0.030219601562077293	0.0022898781259271537	53	0.004573376095125559
CCDC174	-0.03022123164506672	0.002288623641574402	2354	0.004571268642496833
PSRC1	-0.030225839607310078	0.0022850808354587613	603	0.004564589759100676
DRP2	-0.030229911758139588	0.0022819541666509193	14	0.004559138112937792
TNRC6C-AS1	-0.030236368716788056	0.0022770044325077198	1126	0.004549645267670912
A1BG-AS1	-0.030242138255907308	0.002272589977403116	109	0.004541616039525412
SLC14A1	-0.030248032830674808	0.0022680879507960792	25	0.004533013977116011
AP001453.1	-0.030250210281248094	0.0022664269735800362	85	0.0045300890484470955
AC092183.1	-0.030250937786123484	0.0022658722752470044	20	0.004529375010859764
PGD	-0.030251091940124774	0.002265754753903387	7741	0.004529375010859764
BTF3P14	-0.030255918087821083	0.002262078298828337	62	0.004522579274690525
AC023157.1	-0.030256240733697443	0.002261832709152912	577	0.004522482451407731
GAPDHP61	-0.030264140475357346	0.0022558272454420943	154	0.004511654490884189
MMP1	-0.0302690664879014	0.0022520898385665726	209	0.004504572437830489
SLC35E3	-0.0302737618557121	0.002248532704987509	3031	0.004497849759048006
ZNF662	-0.030273809489520655	0.002248496644784251	74	0.004497849759048006
EBF3	-0.03027405222250614	0.0022483128969566445	54	0.004497849759048006
NHS	-0.03029377243657473	0.0022334306551296504	1392	0.0044695892834901345
CD8B	-0.030300288272751767	0.002228533225783877	40	0.0044608420468324975
CDC37L1-DT	-0.030300826602607644	0.0022281290469488525	213	0.004460536226122603
EXTL3	-0.03030346180699714	0.0022261515006064296	1370	0.004456966319360241
SOWAHD	-0.030312394373588385	0.002219460159560172	30	0.00444434545089404
AC010680.2	-0.030314374496125576	0.0022179793573145435	118	0.004441767984815872
CD40LG	-0.030314948147186247	0.002217550530907181	45	0.004441296959569451
LAMTOR5-AS1	-0.03031907768833352	0.0022144657799960366	270	0.004435506117843965
CCR5	-0.030322205800742116	0.0022121317102776444	47	0.004431217987105808
SORBS1	-0.03032634630247052	0.0022090457037370424	309	0.0044254227381939105
GAPDHP42	-0.03033231068752418	0.00220460725106553	65	0.00441691685954591
AC011933.1	-0.030333343105265923	0.002203839798019823	55	0.004415764962174939
A2M-AS1	-0.030359118204242305	0.002184758920955914	161	0.004379063275855187
CLCN6	-0.030368097163331744	0.0021781475866574636	667	0.0043661932485142795
AC016355.1	-0.03036822338886978	0.002178054775853257	129	0.0043661932485142795
RPL7AP34	-0.030370811802438148	0.0021761523725401335	17	0.004362956308130896
SCARF1	-0.030372783464188684	0.002174704284607001	185	0.004360434167859737
NUP62CL	-0.03037290170044077	0.0021746174740104028	659	0.004360434167859737
