cohort	n	gene	r_TACSTD2	p_TACSTD2	r_CLDN4	p_CLDN4
LUAD	515	CLDN1	0.373614666846973	1.6649890944347086e-18	0.1748185942265768	6.652629132990838e-05
LUAD	515	CLDN4	0.4597517150956403	2.68425122314192e-28		
LUAD	515	CLDN7	0.0538237615658068	0.22270320817576725	0.2508162510120774	7.899460535236031e-09
LUAD	515	F11R	0.18204252886903163	3.239529527331292e-05	0.18351283873576027	2.78849244174576e-05
LUAD	515	PARD3	-0.019941307854869632	0.6516396294509457	0.03126484800355527	0.47896925810261104
LUAD	515	ELF3	0.2935937300750008	1.0691858670653227e-11	0.4550265547337111	1.101861215841686e-27
LUAD	515	GRHL1	0.3967857670294537	7.252138667137891e-21	0.39065937765936665	3.1846345009927344e-20
LUAD	515	KLF4	0.14005332206928708	0.0014409990666774332	-0.12310731310710105	0.005148228202966087
LUAD	515	TFAP2A	0.24179183382251512	2.753130779379012e-08	0.1500056457140794	0.0006372560224364214
LUSC	502	CLDN1	0.42395708701891444	2.5644149740389316e-23	0.010275159702766849	0.818363154203399
LUSC	502	CLDN4	0.41001864614936134	8.933859858309045e-22		
LUSC	502	CLDN7	0.4013759940596416	7.438630669976322e-21	0.5018102853576235	2.2471007509478943e-33
LUSC	502	F11R	0.24790280629894076	1.8167840612160465e-08	0.053663057589354454	0.23005873867390106
LUSC	502	PARD3	0.1511447823784087	0.0006799245027942649	0.04764963240679563	0.286626705645112
LUSC	502	ELF3	0.474077237748557	1.7139807935672228e-29	0.477830960716794	5.3586673389515734e-30
LUSC	502	GRHL1	0.3867083907043595	2.361062346358575e-19	0.24476099358734724	2.7761190056290803e-08
LUSC	502	KLF4	0.3698302287252337	1.023327484463007e-17	0.15523660863961888	0.00048185794989819843
LUSC	502	TFAP2A	0.1480638496553482	0.0008762534762945069	-0.15643355604069506	0.0004349870988552632
NSCLC	1017	CLDN1	0.4364464250627822	1.516626532399099e-48	-0.2677683277866875	3.692703759424491e-18
NSCLC	1017	CLDN4	0.2513994044901831	4.004268960874225e-16		
NSCLC	1017	CLDN7	0.10538198392370643	0.0007628861886130094	0.5596473834649404	6.909677677529864e-85
NSCLC	1017	F11R	0.29609291580101993	5.008512700974931e-22	-0.1376454297462107	1.0570670636783378e-05
NSCLC	1017	PARD3	0.16419938267589876	1.396337745902831e-07	-0.19690294892613347	2.3934509783365445e-10
NSCLC	1017	ELF3	0.27370419107660315	6.21756117586943e-19	0.5572397782103703	5.041828586747754e-84
NSCLC	1017	GRHL1	0.4446513811338928	1.569302964125648e-50	0.021358173919652324	0.4962756097989297
NSCLC	1017	KLF4	0.3211321261501351	7.934509401977748e-26	-0.21338168809173552	6.164048133968951e-12
NSCLC	1017	TFAP2A	0.30152459413236726	8.060881143992368e-23	-0.3266506525330682	1.0280137338967698e-26
