Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	GO_Biological_Process_2021 :: epidermis development (GO:0008544)	0.7868683274269652	3.3499292323452927	0.0	0.0	0.0	50/80	8.57%	TGM5;GRHL3;SPRR3;SPRR1A;GRHL1;OVOL1;SPRR1B;GJB5;SPRR2A;SPRR2D;EMP1;SPRR2E;NTF4;LAMC2;KRT14;KRT15;SPRR2F;ZNF750;EVPL;KRT5;S100A7;BNC1;COL17A1;KRT34;SPRR2B;KRT31;HDAC1;FABP5;KRT9;SPRR2G;LAMB3;KLK5;COL7A1;KRTDAP;KLK7;FOXN1;CALML5;WNT10A;PTHLH;KRT32;YBX1;LAMA3;CDSN;SCEL;SPINK5;CRABP2;GRHL2;ATP2C1;DSP;FGFR2
prerank	GO_Biological_Process_2021 :: skin development (GO:0043588)	0.7468861592478575	3.178017270355614	0.0	0.0	0.0	48/77	12.46%	IVL;SFN;EPHA2;CLDN1;KRT16;TMEM79;SPRR3;SPRR1A;CSTA;SPRR1B;SPRR2A;ITGB4;TGM1;ANXA1;TP63;SPRR2F;EVPL;S100A7;SPRR2B;ABCA12;KRT9;SPRR2G;JAG1;KRT10;RYR1;LSR;MET;ITGA6;WNT10A;ALOXE3;CLDN4;DHCR24;ALOX12;TGM3;ST14;CDSN;SCEL;ADAM9;WNT5A;DSP;ALOX12B;BCR;FLG2;FLG;SLC2A10;EREG;ITGA3;CASP3
prerank	GO_Cellular_Component_2021 :: cornified envelope (GO:0001533)	0.842830902903136	3.1767096427318946	0.0	0.0	0.0	34/41	10.68%	IVL;SPRR3;SPRR1A;CSTA;SPRR1B;PPL;SPRR2A;TGM1;SPRR2D;ANXA1;SPRR2E;JUP;PKP3;SPRR2F;DSG3;EVPL;DSC3;RPTN;SPRR2B;CNFN;PI3;DSC2;SPRR2G;KRT10;DSC1;PKP1;TCHH;CDSN;SCEL;DSG1;DSP;DSG2;FLG2;FLG
prerank	GO_Biological_Process_2021 :: epidermal cell differentiation (GO:0009913)	0.7367642883734657	2.893638312528661	0.0	0.0	0.0	30/50	11.28%	IVL;EPHA2;KRT16;SPRR3;SPRR1A;CSTA;OVOL1;SPRR1B;SPRR2A;TGM1;ANXA1;SPRR2F;EVPL;S100A7;SPRR2B;HDAC1;SPRR2G;JAG1;KRT10;TGM3;ST14;CDSN;SCEL;SPINK5;ADAM9;WNT5A;DSP;BCR;FLG;EREG
prerank	GO_Biological_Process_2021 :: keratinocyte differentiation (GO:0030216)	0.7753243334413459	2.8537781398714714	0.0	0.0	0.0	28/39	12.46%	IVL;EPHA2;KRT16;SPRR3;SPRR1A;CSTA;SPRR1B;SPRR2A;TGM1;ANXA1;SPRR2F;EVPL;S100A7;SPRR2B;SPRR2G;JAG1;KRT10;TGM3;ST14;CDSN;SCEL;ADAM9;WNT5A;DSP;BCR;FLG;EREG;CASP3
prerank	MSigDB_Hallmark_2020 :: p53 Pathway	0.5369626581387694	2.6000834583314125	0.0	0.0	0.0	70/190	10.76%	SFN;PERP;EPHA2;SDC1;CLCA2;ITGB4;DGKA;IL1A;BLCAP;PHLDA3;TP63;MXD1;RAP2B;KRT17;SERPINB5;GADD45A;FDXR;CD82;TGFA;TAX1BP3;KLF4;GM2A;CDKN1A;NDRG1;S100A10;DDB2;ABCC5;BAIAP2;FAM162A;RHBDF2;PLXNB2;RXRA;SLC35D1;SPHK1;TGFB1;TPD52L1;MKNK2;DNTTIP2;ZNF365;BAK1;HBEGF;ST14;UPP1;KLK8;CASP1;DEF6;IER5;STEAP3;PRMT2;TCHH;CCNK;SAT1;TM4SF1;DDIT4;HRAS;APP;PLK3;RNF19B;JUN;VAMP8;HSPA4L;PTPN14;GPX2;SERTAD3;TNNI1;EI24;CDK5R1;EPS8L2;IER3;PPP1R15A
prerank	GO_Biological_Process_2021 :: regulation of water loss via skin (GO:0033561)	0.8415742490171301	2.5432320073428754	0.0	0.0	0.0	14/18	10.68%	SFN;CLDN1;KRT16;TMEM79;TP63;ABCA12;LSR;MET;ALOXE3;CLDN4;ALOX12;ALOX12B;FLG2;FLG
prerank	GO_Biological_Process_2021 :: establishment of skin barrier (GO:0061436)	0.8415742490171301	2.5432320073428754	0.0	0.0	0.0	14/18	10.68%	SFN;CLDN1;KRT16;TMEM79;TP63;ABCA12;LSR;MET;ALOXE3;CLDN4;ALOX12;ALOX12B;FLG2;FLG
prerank	GO_Biological_Process_2021 :: peptide cross-linking (GO:0018149)	0.7306489623024688	2.5180777733898165	0.0	0.0	0.0	15/29	8.13%	IVL;TGM5;SPRR1A;CSTA;SPRR1B;TGM1;ANXA1;SPRR2E;EVPL;PI3;KRT10;TGM3;DSP;TGM7;TGM4
prerank	GO_Biological_Process_2021 :: pre-replicative complex assembly (GO:0036388)	0.5908753984988206	2.4202839129001075	0.0	0.0	0.0	36/58	28.55%	UBC;PSMC1;PSMD2;PSMC2;PSMB1;PSMD10;PSMD7;PSMB2;PSMA5;PSMC6;PSMA2;MCM5;PSMD9;PSMD12;PSMD14;PSMD8;PSME4;MCM2;PSMA7;RPS27A;PSMC4;PSMC3;UBA52;PSMB7;PSMB3;CDT1;MCM4;PSMB5;CDC6;PSMA4;PSMC5;PSMD13;PSMA3;PSMB10;GMNN;PSMD5
