gene	present	class	n	spearman_r_vs_TACSTD2	spearman_p_vs_TACSTD2	spearman_r_vs_CLDN4	spearman_p_vs_CLDN4
CLDN1	True	TJ	24	0.8782608695652172	1.6904320964722858e-08	0.7026086956521739	0.0001291028601235959
CLDN4	True	TJ	24	0.8582608695652173	8.1747163102769e-08		
CLDN7	True	TJ	24	0.8347826086956521	3.932746200056481e-07	0.877391304347826	1.8204279591228996e-08
F11R	True	TJ	24	0.8704347826086956	3.229817424983968e-08	0.7295652173913043	5.223689984061558e-05
PARD3	True	TJ	24	0.6626086956521738	0.00041869143970875737	0.5834782608695652	0.0027629445069863637
ELF3	True	TF	24	0.8669565217391304	4.250113483030366e-08	0.8878260869565217	7.196416776281005e-09
GRHL1	True	TF	24	0.7956521739130433	3.3544542131570853e-06	0.6817391304347826	0.00024389796569132725
KLF4	True	TF	24	0.6930434782608694	0.00017392078071868137	0.6156521739130434	0.001362213310257448
TFAP2A	True	TF	24	0.8182608695652173	1.0339710495710773e-06	0.6782608695652173	0.00026985712492208144
