gene	intersection	call
ACAP2	triple	pos_r10
ACTG1	triple	pos_r10
ACTN1	triple	pos_r10
ACTN4	triple	pos_r10
ADD3	triple	pos_r10
AHDC1	triple	pos_r10
AHNAK	triple	pos_r10
AKR1C2	triple	pos_r10
ALG3	triple	pos_r10
ANXA1	triple	pos_r10
ANXA3	triple	pos_r10
AP2M1	triple	pos_r10
APOBEC3A	triple	pos_r10
ARF6	triple	pos_r10
ARHGAP32	triple	pos_r10
ARPC5	triple	pos_r10
ATP11B	triple	pos_r10
B3GNT5	triple	pos_r10
BAIAP2	triple	pos_r10
BCAP31	triple	pos_r10
BCL10	triple	pos_r10
BCL6	triple	pos_r10
BID	triple	pos_r10
BTF3L4	triple	pos_r10
C15orf48	triple	pos_r10
C19orf33	triple	pos_r10
C1orf116	triple	pos_r10
C6orf132	triple	pos_r10
CAP1	triple	pos_r10
CAPG	triple	pos_r10
CAPN1	triple	pos_r10
CAPN2	triple	pos_r10
CAPNS1	triple	pos_r10
CAPZB	triple	pos_r10
CCNL1	triple	pos_r10
CD24	triple	pos_r10
CD82	triple	pos_r10
CD9	triple	pos_r10
CDH1	triple	pos_r10
CDK16	triple	pos_r10
CDK6	triple	pos_r10
CDKN2B	triple	pos_r10
CEACAM5	triple	pos_r10
CFL1	triple	pos_r10
CHMP4B	triple	pos_r10
CITED4	triple	pos_r10
CLDN4	triple	pos_r10
CLDN7	triple	pos_r10
CLIC1	triple	pos_r10
CLIP1	triple	pos_r10
COMMD2	triple	pos_r10
CTNNBIP1	triple	pos_r10
CTNND1	triple	pos_r10
CTSC	triple	pos_r10
DAAM1	triple	pos_r10
DLG1	triple	pos_r10
DNAJB11	triple	pos_r10
DNAJB6	triple	pos_r10
DSC2	triple	pos_r10
DSP	triple	pos_r10
DUSP14	triple	pos_r10
DUSP5	triple	pos_r10
ECE1	triple	pos_r10
EIF4A2	triple	pos_r10
EIF4G1	triple	pos_r10
ELF3	triple	pos_r10
EMP1	triple	pos_r10
EPHA2	triple	pos_r10
EPS8L1	triple	pos_r10
EVPL	triple	pos_r10
F3	triple	pos_r10
FAM129B	triple	pos_r10
FAM3C	triple	pos_r10
FBLIM1	triple	pos_r10
FOXC1	triple	pos_r10
FYTTD1	triple	pos_r10
GADD45A	triple	pos_r10
GPC1	triple	pos_r10
GPR87	triple	pos_r10
GRHL1	triple	pos_r10
H2AFJ	triple	pos_r10
H3F3B	triple	pos_r10
HEBP2	triple	pos_r10
HES1	triple	pos_r10
HMGA1	triple	pos_r10
ID1	triple	pos_r10
IER2	triple	pos_r10
IER3	triple	pos_r10
IER5	triple	pos_r10
IFI27	triple	pos_r10
IFNGR2	triple	pos_r10
IGF2BP2	triple	pos_r10
IRF6	triple	pos_r10
ITPKC	triple	pos_r10
JARID2	triple	pos_r10
JUN	triple	pos_r10
JUNB	triple	pos_r10
JUP	triple	pos_r10
KCNK6	triple	pos_r10
KLC3	triple	pos_r10
KLF10	triple	pos_r10
KLF4	triple	pos_r10
KLF5	triple	pos_r10
KPNA4	triple	pos_r10
KRT13	triple	pos_r10
KRT16	triple	pos_r10
KRT19	triple	pos_r10
KRT80	triple	pos_r10
LAD1	triple	pos_r10
LCN2	triple	pos_r10
LGALS3	triple	pos_r10
LIMA1	triple	pos_r10
LIPH	triple	pos_r10
LMNA	triple	pos_r10
LRRC1	triple	pos_r10
LSR	triple	pos_r10
MACC1	triple	pos_r10
MAFF	triple	pos_r10
MAGOH	triple	pos_r10
MAP3K13	triple	pos_r10
MAP7D1	triple	pos_r10
MAPK13	triple	pos_r10
MARCKS	triple	pos_r10
MARK2	triple	pos_r10
MBOAT2	triple	pos_r10
METRNL	triple	pos_r10
MIDN	triple	pos_r10
MPZL2	triple	pos_r10
MTCH1	triple	pos_r10
MXI1	triple	pos_r10
MYH14	triple	pos_r10
MYH9	triple	pos_r10
NCBP2	triple	pos_r10
NDRG1	triple	pos_r10
NET1	triple	pos_r10
NFKBIB	triple	pos_r10
NFKBIZ	triple	pos_r10
ORMDL2	triple	pos_r10
OVOL1	triple	pos_r10
PAK2	triple	pos_r10
PAK4	triple	pos_r10
PARD3	triple	pos_r10
PAWR	triple	pos_r10
PCBP1	triple	pos_r10
PDLIM5	triple	pos_r10
PDP1	triple	pos_r10
PERP	triple	pos_r10
PIM1	triple	pos_r10
PKN2	triple	pos_r10
PLAC8	triple	pos_r10
PLAU	triple	pos_r10
PLAUR	triple	pos_r10
PLBD1	triple	pos_r10
PLEKHA1	triple	pos_r10
PLK3	triple	pos_r10
PLS3	triple	pos_r10
PLSCR1	triple	pos_r10
PPARD	triple	pos_r10
PPL	triple	pos_r10
PPP1R13L	triple	pos_r10
PPP1R15A	triple	pos_r10
PPP1R2	triple	pos_r10
PPP4C	triple	pos_r10
PSMD2	triple	pos_r10
RAB7A	triple	pos_r10
RAB9A	triple	pos_r10
RAP2B	triple	pos_r10
RBMS1	triple	pos_r10
RCC2	triple	pos_r10
RHOC	triple	pos_r10
RHOV	triple	pos_r10
RND3	triple	pos_r10
RNF11	triple	pos_r10
RNF149	triple	pos_r10
S100A11	triple	pos_r10
S100A16	triple	pos_r10
S100A2	triple	pos_r10
SCEL	triple	pos_r10
SDC1	triple	pos_r10
SENP2	triple	pos_r10
SERBP1	triple	pos_r10
SERINC2	triple	pos_r10
SERPINB2	triple	pos_r10
SERTAD1	triple	pos_r10
SH3GLB1	triple	pos_r10
SLC2A1	triple	pos_r10
SLC35A3	triple	pos_r10
SLC38A2	triple	pos_r10
SLC9A3R1	triple	pos_r10
SNRPD3	triple	pos_r10
SPINT1	triple	pos_r10
SPINT2	triple	pos_r10
SPPL3	triple	pos_r10
SRPX2	triple	pos_r10
ST14	triple	pos_r10
STK17A	triple	pos_r10
STK38	triple	pos_r10
SVIL	triple	pos_r10
TACSTD2	triple	pos_r10
TEAD3	triple	pos_r10
TES	triple	pos_r10
TFAP2A	triple	pos_r10
TGIF1	triple	pos_r10
TINAGL1	triple	pos_r10
TM4SF1	triple	pos_r10
TMBIM1	triple	pos_r10
TMCC3	triple	pos_r10
TMEM41A	triple	pos_r10
TMEM44	triple	pos_r10
TMOD3	triple	pos_r10
TNFRSF12A	triple	pos_r10
TNFSF10	triple	pos_r10
TSC22D2	triple	pos_r10
TTC9	triple	pos_r10
TUBA4A	triple	pos_r10
TUFT1	triple	pos_r10
UBC	triple	pos_r10
UBE2H	triple	pos_r10
VASP	triple	pos_r10
VPS37B	triple	pos_r10
VTCN1	triple	pos_r10
YAP1	triple	pos_r10
YPEL5	triple	pos_r10
YWHAZ	triple	pos_r10
YY1	triple	pos_r10
ZC3H12A	triple	pos_r10
ZFP36	triple	pos_r10
ZFP36L1	triple	pos_r10
