metric	n	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta	observed	p_signflip_two	p_signflip_greater	p_wilcox
delta_sum	64	13	21	21	9	0.0279155431172857	high>low	9.99900009999e-05	9.99900009999e-05	5.02569963347812e-12
delta_outdeg	64	13	21	21	9	0.0839833384141203	high>low	9.99900009999e-05	9.99900009999e-05	3.61009732770461e-12
