cohort	patient	family	thesis_expect	n_pairs	n_pairs_detected	sum_high	sum_low	delta_sum	mean_detected_delta	outdeg_high	outdeg_low	delta_outdeg	indeg_high	indeg_low	flowbet_high	flowbet_low	info_high	info_low	pval_high_median	pval_low_median	frac_edge_p05_high	frac_edge_p05_low	p_label_greater	p_label_less	p_label_two	p_label_outdeg_greater	p_label_outdeg_less	n_label_perm
GSE189357	TD1	barrier_inhibitory	high>low	7	6	0.010930218424083	0.000396961009708203	0.0105332574143748	0.0017555429023958	0.0125622690714658	0.000463946669005883	0.0120983224024599	0.000266372043642418	0.00143266426303804	1.04192976964908e-05	0.000396961009708202	0.500009968363853	0.499990031636147	0	1	1	0.166666666666667	0.02	1	0.02	0.02	1	49
GSE189357	TD1	ifn_recruit	low>high	7	3	0.0184693795841569	0.0141475681086369	0.00432181147552007	0.00144060382517336	0.0184693795841569	0.0141475681086369	0.00432181147552007	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE189357	TD2	barrier_inhibitory	high>low	7	5	0.0024560366645018	0	0.0024560366645018	0.00049120733290036	0.00277377040886757	0	0.00277377040886757	0.000172808910818974	0.000144924833546796	0	0	0	0	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE189357	TD2	ifn_recruit	low>high	7	3	0.00813676104555415	0.00754649887001285	0.000590262175541293	0.000196754058513764	0.00813676104555415	0.00754649887001285	0.000590262175541294	0	0	0	0	0	0	0	0	1	1	0.14	0.88	0.34	0.14	0.88	49
GSE189357	TD3	barrier_inhibitory	high>low	7	4	0.00513811627942525	0.00168408983483889	0.00345402644458637	0.000863506611146591	0.00513811627942525	0.00168408983483889	0.00345402644458637	2.32274321453544e-05	1.12480374285597e-05	0	0	0.252092959311994	0.235954475301451	0	0.5	1	0.5	0.02	1	0.02	0.02	1	49
GSE189357	TD3	ifn_recruit	low>high	7	3	0.00930159325843695	0.0146313760826582	-0.0053297828242213	-0.00177659427474043	0.00930159325843695	0.0146313760826582	-0.0053297828242213	0	0	0	0	0	0	0	0	1	1	1	0.02	0.02	1	0.02	49
GSE189357	TD4	barrier_inhibitory	high>low	7	7	0.00709096962867932	0.00127944877178141	0.00581152085689792	0.000830217265271131	0.00764414054041253	0.00150741398043397	0.00613672655997856	0.000724233692819565	0.000856946619699178	0.000404188064991022	0.000404188064991023	0.276768641894367	0.279115439326916	0	0.15	0.857142857142857	0.428571428571429	0.02	1	0.02	0.02	1	49
GSE189357	TD4	ifn_recruit	low>high	7	3	0.00547983917900712	0.00545895833870468	2.08808403024466e-05	6.96028010081553e-06	0.00547983917900712	0.00545895833870468	2.08808403024466e-05	0	0	0	0	0	0	0	0	1	1	0.52	0.5	0.98	0.52	0.5	49
GSE189357	TD5	barrier_inhibitory	high>low	7	4	0.00158003155899724	0	0.00158003155899724	0.00039500788974931	0.00212371205381324	0	0.00212371205381324	0.000282534797030537	0.000441035206068954	7.02189371884666e-05	0	0.298472459561454	0.28166067119539	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE189357	TD5	ifn_recruit	low>high	7	3	0.00668096456483813	0.00738099432825074	-0.000700029763412616	-0.000233343254470872	0.00668096456483813	0.00738099432825074	-0.000700029763412616	0	0	0	0	0	0	0	0	1	1	1	0.02	0.02	1	0.02	49
GSE189357	TD6	barrier_inhibitory	high>low	7	6	0.000848506209483049	8.29955696355999e-05	0.000765510639847449	0.000127585106641242	0.000874603574676507	0.00012829928245654	0.000746304292219966	2.457631675415e-05	8.46288523396985e-05	2.457631675415e-05	3.94945077811564e-05	0.276862052308693	0.344105023734502	0.5	0.16	0.5	0.333333333333333	0.02	1	0.02	0.02	1	49
GSE189357	TD6	ifn_recruit	low>high	7	3	0.00383648586475016	0.00368584268621702	0.000150643178533133	5.02143928443777e-05	0.00383648586475016	0.00368584268621702	0.000150643178533133	0	0	0	0	0	0	0	0	1	1	0.16	0.86	0.4	0.16	0.86	49
GSE189357	TD7	barrier_inhibitory	high>low	7	5	0.000131798788654897	0.000931104357042249	-0.000799305568387352	-0.00015986111367747	0.000131798788654897	0.00138403105456511	-0.00125223226591021	0.000289844922547423	0.00045561226271183	0.000131798788654898	0.000176118269133404	0.295952911854716	0.343560608000785	1	0.02	0.4	0.6	1	0.02	0.06	1	0.02	49
GSE189357	TD7	ifn_recruit	low>high	7	3	0.00062015981828309	0.000743487644395361	-0.000123327826112271	-4.11092753707571e-05	0.00062015981828309	0.000743487644395361	-0.000123327826112271	0	0	0	0	0	0	0	0	1	1	1	0.02	0.02	1	0.02	49
GSE189357	TD8	barrier_inhibitory	high>low	7	4	0.00122800821191553	0.000128008162289342	0.00110000004962619	0.000275000012406546	0.00176213290234236	0.000249255462577307	0.00151287743976505	0.000390814981727096	0.00114762207860855	0.000390814981727096	0.000175162043643152	0.264761296387946	0.297043602240494	0.5	0.665	0.5	0	0.02	1	0.02	0.02	1	49
GSE189357	TD8	ifn_recruit	low>high	7	3	0.0112605492239221	0.0124221679094738	-0.00116161868555176	-0.000387206228517253	0.0112605492239221	0.0124221679094738	-0.00116161868555176	0	0	0	0	0	0	0	0	1	1	1	0.02	0.02	1	0.02	49
GSE189357	TD9	barrier_inhibitory	high>low	7	2	0.000199735276130822	1.8628790513633e-06	0.000197872397079459	9.89361985397295e-05	0.000199735276130822	1.8628790513633e-06	0.000197872397079459	8.60550703893903e-05	7.03640554742703e-05	0	0	0.264112799983336	0.255023472072184	0	0.5	1	0.5	0.02	1	0.02	0.02	1	49
GSE189357	TD9	ifn_recruit	low>high	7	3	0.000571360130875265	0.000547601993478722	2.37581373965424e-05	7.91937913218079e-06	0.000571360130875265	0.000547601993478722	2.37581373965424e-05	0	0	0	0	0	0	0	0	1	1	0.22	0.8	0.54	0.22	0.8	49
GSE123902	LX255B	barrier_inhibitory	high>low	7	2	0	0.000133066264472118	-0.000133066264472118	-6.6533132236059e-05	0	0.000134196922056198	-0.000134196922056198	0	1.13065758407975e-06	0	0	0	0	1	0	0	1	0.94	0.08	0.24	0.94	0.08	49
GSE123902	LX255B	ifn_recruit	low>high	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE123902	LX653	barrier_inhibitory	high>low	7	3	0.000403857514064648	0	0.000403857514064648	0.000134619171354883	0.000637679452224117	0	0.000637679452224117	0.000243412763335282	0.000331232903887946	0.000134778841500551	0	0.269914503457844	0.275848549425272	0	1	0.666666666666667	0	0.28	0.78	0.56	0.24	0.78	49
GSE123902	LX653	ifn_recruit	low>high	7	3	0.0133195923331942	0.0113208529216465	0.00199873941154764	0.000666246470515881	0.0133195923331942	0.0113208529216465	0.00199873941154764	0	0	0	0	0	0	0	0	1	1	0.02	1	0.08	0.02	1	49
GSE123902	LX661	barrier_inhibitory	high>low	7	5	0.00322711495497572	0.000566016575742051	0.00266109837923367	0.000532219675846735	0.00340860821057107	0.000597770953697106	0.00281083725687396	0.000291062008069169	0.000429442960727848	0.000120940387555967	0.000120940387555967	0.234989620095264	0.2385811299017	0.03	0.72	0.6	0.2	0.1	0.92	0.2	0.1	0.92	49
GSE123902	LX661	ifn_recruit	low>high	7	3	0.0118764896939602	0.0117007121357145	0.000175777558245761	5.85925194152535e-05	0.0118764896939602	0.0117007121357145	0.000175777558245762	0	0	0	0	0	0	0.08	0.08	0.333333333333333	0	0.5	0.52	0.92	0.5	0.52	49
GSE123902	LX666	barrier_inhibitory	high>low	7	4	0.00189308927560617	0.000603016521097068	0.00129007275450911	0.000322518188627277	0.00305109399951417	0.000956218396081792	0.00209487560343238	0.00109927389810173	0.000821207935425521	0.00043654148546504	0.0006702306286325	0.353356944283689	0.302560955762367	0	0	1	0.75	0.02	1	0.02	0.02	1	49
GSE123902	LX666	ifn_recruit	low>high	7	3	0.0229059548638231	0.0203867112768953	0.00251924358692774	0.000839747862309246	0.0229059548638231	0.0203867112768953	0.00251924358692774	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE123902	LX675	barrier_inhibitory	high>low	7	5	0.00704587223797741	0.00416933942875103	0.00287653280922638	0.000575306561845276	0.00947667096142507	0.0059783066821783	0.00349836427924677	0.00196732148149018	0.00242631184924566	0.000878811957328926	0.00142728959694974	0.374779687748964	0.372268439981986	0	0	1	0.8	0.02	1	0.02	0.02	1	49
GSE123902	LX675	ifn_recruit	low>high	7	3	0.0114438384158471	0.00991907713782861	0.00152476127801852	0.000508253759339506	0.0114438384158471	0.00991907713782861	0.00152476127801852	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE123902	LX676	barrier_inhibitory	high>low	7	3	0.00236723451842366	0	0.00236723451842366	0.000789078172807886	0.00252345177771927	0	0.00252345177771927	1.37916555084754e-05	0.000142425603787141	0	0	0	0	0	1	1	0	0.04	0.98	0.04	0.04	0.98	49
GSE123902	LX676	ifn_recruit	low>high	7	3	0.0107917494232175	0.0146937526749123	-0.00390200325169472	-0.00130066775056491	0.0107917494232175	0.0146937526749122	-0.00390200325169472	0	0	0	0	0	0	0.07	0	0.333333333333333	1	1	0.02	0.02	1	0.02	49
GSE123902	LX679	barrier_inhibitory	high>low	7	3	0.00253703384298755	0.000107116318658296	0.00242991752432925	0.000809972508109751	0.00288060838979136	0.000117429640256156	0.00276317874953521	0.000120398335692659	0.000233489532709018	3.50562698277238e-06	0.000107116318658296	0.50000550404259	0.49999449595741	0	0.46	1	0.333333333333333	0.02	1	0.02	0.02	1	49
GSE123902	LX679	ifn_recruit	low>high	7	3	0.00691143878584847	0.00563489907116449	0.00127653971468398	0.000425513238227992	0.00691143878584847	0.00563489907116449	0.00127653971468398	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
