pathway	family_tag	n	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta_outdeg	mean_delta_tnk	observed	p_signflip_two	p_wilcox	q_bh
LAMININ	other	61	13	20	19	9	0.0137150423514345	0.00469703443619083	high>low	9.99900009999e-05	1.53421326243268e-11	0.000354726432118693
MK	other	63	13	20	21	9	0.00942261159851652	0.00276909776860531	high>low	9.99900009999e-05	2.57569802769266e-10	0.000354726432118693
APP	other	60	13	19	20	8	0.00784193605509114	0.00312834056750621	high>low	9.99900009999e-05	2.16180785273353e-10	0.000354726432118693
CEACAM	other	59	12	18	20	9	0.00748463061843911	5.2493874431778e-05	high>low	9.99900009999e-05	3.59910232594763e-11	0.000354726432118693
MHC-I	ifn_recruit	61	11	21	20	9	0.00635101768535833	0.00638163373272588	high>low	9.99900009999e-05	5.54589949725623e-07	0.000354726432118693
CLDN	other	64	13	21	21	9	0.00484613585225134	8.10759516557959e-05	high>low	9.99900009999e-05	4.36249332252411e-12	0.000354726432118693
ADGRE	other	48	5	17	17	9	0.00401126098674793	0.00297558526459361	high>low	9.99900009999e-05	1.64006226017068e-08	0.000354726432118693
EGF	other	55	9	20	18	8	0.00229511509435894	0	high>low	9.99900009999e-05	3.14109180747159e-09	0.000354726432118693
IGFBP	other	32	5	13	13	1	0.00203555262084407	0.00054208318289579	high>low	9.99900009999e-05	1.26425313337381e-05	0.000354726432118693
JAM	barrier_inhibitory	63	13	20	21	9	0.0018694823906166	0.000755110164485742	high>low	9.99900009999e-05	1.31140857097844e-11	0.000354726432118693
THBS	other	46	10	13	14	9	0.00163929368471053	0.00019625621609402	high>low	9.99900009999e-05	2.66310711142953e-07	0.000354726432118693
ICAM	other	53	9	18	17	9	0.00141800472259327	0.00139398895327281	high>low	9.99900009999e-05	1.99493780312844e-09	0.000354726432118693
CDH	other	63	13	21	20	9	0.0013583068655286	3.95992470208186e-06	high>low	9.99900009999e-05	2.65238410032014e-11	0.000354726432118693
GDF	other	45	8	18	14	5	0.00112063431761509	0.000347637645704363	high>low	9.99900009999e-05	6.13303892189053e-09	0.000354726432118693
CDH1	barrier_inhibitory	56	12	18	19	7	0.00108742800900443	0.000494181974996118	high>low	9.99900009999e-05	7.75514624681561e-11	0.000354726432118693
ANGPTL	other	37	7	17	12	1	0.00102684877280275	1.50459357337273e-05	high>low	9.99900009999e-05	5.92761820731123e-07	0.000354726432118693
EPHA	other	60	12	20	19	9	0.00072740265835217	1.19016398454678e-06	high>low	9.99900009999e-05	2.62991876740124e-11	0.000354726432118693
NECTIN	barrier_inhibitory	58	11	19	20	8	0.000695267083793316	0.000602850464896868	high>low	9.99900009999e-05	3.40660700589176e-10	0.000354726432118693
PLAU	other	34	5	15	12	2	0.000681244744492444	8.57825662158861e-06	high>low	9.99900009999e-05	4.78124629526781e-06	0.000354726432118693
DESMOSOME	other	46	7	18	16	5	0.000624952364586596	0	high>low	9.99900009999e-05	1.83830906089719e-08	0.000354726432118693
CADM	other	46	11	13	14	8	0.000576870971772453	1.54064671878412e-05	high>low	9.99900009999e-05	1.16328229967368e-06	0.000354726432118693
OCLN	other	61	11	21	20	9	0.000464978557760773	-2.47716276549932e-08	high>low	9.99900009999e-05	2.38972622688963e-11	0.000354726432118693
SEMA3	other	49	8	18	17	6	0.000439343736842686	4.64282745959506e-07	high>low	9.99900009999e-05	7.49772209055467e-09	0.000354726432118693
SEMA4	other	60	12	20	19	9	0.000288502354266264	1.05268430742373e-06	high>low	9.99900009999e-05	6.40543124661549e-08	0.000354726432118693
EPHB	other	47	9	15	17	6	0.000279674780952235	0	high>low	9.99900009999e-05	1.13592083010602e-08	0.000354726432118693
VISFATIN	other	18	2	6	7	3	0.000263827460751366	9.67264823586376e-05	high>low	9.99900009999e-05	0.00035544554613709	0.000354726432118693
CD46	other	43	6	12	18	7	0.000248029584746988	6.19325129330847e-07	high>low	9.99900009999e-05	1.16059948351433e-08	0.000354726432118693
MPZ	other	58	11	20	20	7	0.000238916850559996	1.58904872894612e-07	high>low	9.99900009999e-05	2.52416671917541e-10	0.000354726432118693
GRN	other	52	10	17	19	6	0.000211744151719451	1.94606114399033e-07	high>low	9.99900009999e-05	4.62029186596283e-09	0.000354726432118693
PSAP	other	17	1	9	7	0	0.000195240227929309	0	high>low	9.99900009999e-05	0.000321048400688444	0.000354726432118693
NOTCH	other	47	8	14	19	6	0.000184509533341879	2.27086688348158e-05	high>low	9.99900009999e-05	6.88393234652240e-09	0.000354726432118693
PTPR	other	30	3	11	15	1	0.000178935520887675	0	high>low	9.99900009999e-05	1.82537145636121e-06	0.000354726432118693
WNT	other	53	10	17	19	7	0.00017590672940547	0	high>low	9.99900009999e-05	1.40164048042879e-09	0.000354726432118693
AGRN	other	54	10	19	18	7	0.00017431070177607	0	high>low	9.99900009999e-05	3.85895686293782e-10	0.000354726432118693
PVR	other	35	5	12	15	3	0.000170719295548083	0.00017009465405573	high>low	9.99900009999e-05	5.1615740143496e-07	0.000354726432118693
HSPG	other	48	7	16	18	7	0.00010218844854384	0	high>low	9.99900009999e-05	3.32976083167943e-08	0.000354726432118693
TRAIL	other	23	8	9	6	0	9.58919765989266e-05	1.5496874527487e-05	high>low	9.99900009999e-05	4.30125211914417e-05	0.000354726432118693
Netrin	other	17	4	5	8	0	6.19448890915341e-05	0	high>low	9.99900009999e-05	0.00038470759403593	0.000354726432118693
BAG	other	19	1	9	6	3	6.12418783735835e-05	6.15061683701854e-05	high>low	9.99900009999e-05	0.000168126444130977	0.000354726432118693
BMP	other	46	8	17	17	4	5.70669983884202e-05	0	high>low	9.99900009999e-05	2.36587067823474e-08	0.000354726432118693
PCDH	other	33	4	15	12	2	4.91504886567251e-05	0	high>low	9.99900009999e-05	8.9394903436985e-07	0.000354726432118693
PTPRM	other	26	6	5	9	6	3.29240801574437e-05	0	high>low	9.99900009999e-05	0.000113158694182101	0.000354726432118693
SPP1	other	17	2	10	5	0	0.00136043520293879	0.000626842983864517	high>low	0.0001999800019998	0.00108951444578404	0.00066215600662156
IL2	other	16	2	5	8	1	0.000124611970291911	0.000122203511524256	high>low	0.0001999800019998	0.000482402936961704	0.00066215600662156
EDN	other	14	4	6	2	2	4.10842071370668e-05	1.59714628992759e-07	high>low	0.0001999800019998	0.0010970505857231	0.00066215600662156
FLRT	other	39	10	10	11	8	0.000286444883914693	0	high>low	0.0002999700029997	4.55691205158083e-06	0.000931156884311569
FGF	other	22	7	7	4	4	6.96159970273084e-05	7.59208308770606e-07	high>low	0.0002999700029997	0.000578800202549792	0.000931156884311569
VEGI	other	13	1	1	7	4	3.15746545793176e-05	2.96308047853623e-05	high>low	0.0002999700029997	0.00166169445798351	0.000931156884311569
GALECTIN	barrier_inhibitory	45	7	16	17	5	0.00300535126436867	0.00174109871506965	high>low	0.0003999600039996	4.46722808203511e-05	0.00119188081191881
GAP	other	33	6	12	8	7	0.000140117635079588	5.47924529659743e-07	high>low	0.0003999600039996	2.11356298291272e-05	0.00119188081191881
COLLAGEN	other	60	13	20	19	8	0.00757898473866954	0.00183332694269156	high>low	0.0004999500049995	2.56128059053869e-08	0.0014606382499005
VEGF	other	17	6	5	5	1	0.000292544244240056	1.6399607716703e-06	high>low	0.0006999300069993	0.000920809429065008	0.00200556867390184
COMPLEMENT	other	17	7	3	2	5	0.000219533261310945	0.000176278357233979	high>low	0.0008999100089991	0.0012864240407736	0.00252993568567672
CD99	other	48	7	13	20	8	0.00204013210275381	0.00104533555802639	high>low	0.0012998700129987	0.0023064686139324	0.00358667836920012
PROS	other	21	3	7	8	3	7.43529548767105e-06	4.02272248214544e-07	high>low	0.0015998400159984	0.00313277412790108	0.00433411204334112
FN1	other	39	7	17	11	4	0.00281104485641388	0.000779243947458795	high>low	0.0018998100189981	6.34837445866248e-06	0.00505485165769137
KIT	other	14	5	1	4	4	0.00023435813458861	2.56631144548754e-06	high>low	0.0021997800219978	0.0038804738522969	0.00575030216276618
MIF	other	62	12	21	21	8	0.00298024500627546	0.00161273664549917	high>low	0.0023997600239976	0.0146932217576606	0.00616490075130418
SEMA7	other	10	0	3	7	0	2.19291846698757e-05	6.43558591109132e-06	high>low	0.0024997500249975	0.00592153702414871	0.00620771256207713
UNC5	other	10	3	2	5	0	1.17010082569206e-05	0	high>low	0.0024997500249975	0.00592153702414871	0.00620771256207713
ACTIVIN	other	25	4	9	9	3	2.27989478820717e-05	0	high>low	0.0026997300269973	0.000572996156858652	0.00659442252496062
SLITRK	other	13	0	9	4	0	4.4331945469717e-06	0	high>low	0.0027997200279972	0.00518313292290661	0.0067283594221223
PD-L1	other	9	1	3	5	0	6.07851133558503e-05	6.07520886096732e-05	high>low	0.0050994900509949	0.00915168885265007	0.0120606986920356
MHC-II	other	32	7	7	9	9	0.000730018663250221	0.000622169791829762	high>low	0.0057994200579942	0.0191916573320393	0.0135017748225177
CD137	other	10	1	2	5	2	5.8126155987397e-05	5.68525742969298e-05	high>low	0.0071992800719928	0.0142661867014469	0.0164786551647866
