pair	requested	pathway	family	expect	observed	agrees	n	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta	p_signflip_thesis	p_signflip_two	p_wilcox	frac_p05_high	frac_p05_low
JAM1_ITGAL_ITGB2	JAM1_ITGAL_ITGB2	JAM	barrier_inhibitory	high>low	high>low	yes	41	5	11	16	9	0.00161424712079875	9.99900009999e-05	9.99900009999e-05	2.7111349497986e-08	1	0.439024390243902
NECTIN2_TIGIT	NECTIN2_TIGIT	NECTIN	barrier_inhibitory	high>low	high>low	yes	54	10	19	18	7	0.000756658295582153	9.99900009999e-05	9.99900009999e-05	2.34098988143506e-10	1	0.685185185185185
CDH1_ITGAE_ITGB7	CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	high>low	yes	41	6	13	18	4	0.000569886881740765	9.99900009999e-05	9.99900009999e-05	2.51695129351155e-08	1	0.463414634146341
CDH1_KLRG1	CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	high>low	yes	30	3	7	16	4	0.000511088006003307	9.99900009999e-05	9.99900009999e-05	1.82537145636121e-06	1	0.566666666666667
LGALS9_HAVCR2	LGALS9_HAVCR2	GALECTIN	barrier_inhibitory	high>low	high>low	yes	28	8	8	7	5	0.000108625980326943	0.133986601339866	0.264573542645735	0.0111165467198405	0.821428571428571	0.571428571428571
LGALS9_CD44	LGALS9_CD44	GALECTIN	barrier_inhibitory	high>low	high>low	yes	52	12	16	17	7	0.000644630024328645	9.99900009999e-05	0.0007999200079992	7.03292538127469e-05	0.711538461538462	0.346153846153846
LGALS9_CD45	LGALS9_CD45	GALECTIN	barrier_inhibitory	high>low	high>low	yes	51	12	16	16	7	0.00104514939367745	0.0004999500049995	0.0014998500149985	0.000128633010429634	0.784313725490196	0.450980392156863
CXCL9_CXCR3	CXCL9_CXCR3	CXCL	ifn_recruit	low>high	high>low	opposite	1	1	0	0	0	3.02630910553521e-05	NA	NA	NA	1	0
CXCL10_CXCR3	CXCL10_CXCR3	CXCL	ifn_recruit	low>high	low>high	yes	10	2	5	3	0	-9.70958190247346e-05	0.423557644235576	0.857714228577142	0.759765825978067	0.8	0.4
CCL5_CCR5	CCL5_CCR5	CCL	ifn_recruit	low>high	low>high	yes	5	0	2	3	0	-1.03587786538748e-05	0.244475552444756	0.495150484951505	0.589638551626567	0.2	0.4
CCL5_CCR1	CCL5_CCR1	CCL	ifn_recruit	low>high	high>low	opposite	4	0	2	2	0	9.69678307441282e-06	0.683931606839316	0.749125087491251	0.855132140584706	0	0.5
HLA-A_CD8A	HLA-A_CD8A	MHC-I	ifn_recruit	low>high	high>low	opposite	58	11	19	19	9	0.00088548571931263	1	9.99900009999e-05	3.65799794308441e-06	0.862068965517241	0.793103448275862
HLA-B_CD8A	HLA-B_CD8A	MHC-I	ifn_recruit	low>high	high>low	opposite	58	11	19	19	9	0.000931200682749181	1	9.99900009999e-05	1.40257798617898e-05	0.827586206896552	0.810344827586207
HLA-C_CD8A	HLA-C_CD8A	MHC-I	ifn_recruit	low>high	high>low	opposite	58	11	19	19	9	0.00088429253869385	1	9.99900009999e-05	1.50488235365288e-05	0.827586206896552	0.793103448275862
