interaction_name	pathway_name	ligand	receptor	annotation	family	thesis_expect	requested_name	cohort	patient	prob_high	prob_low	pval_high	pval_low	delta	detected
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD1	0.000478423781994512	0	0	1	0.000478423781994512	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD1	0.000658680887481805	0	0	1	0.000658680887481805	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD1	0.000423961872930743	0	0	1	0.000423961872930743	TRUE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD1	0	0	1	1	0	FALSE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD1	8.55235024351353e-05	3.4763548221624e-06	0	0	8.20471476129729e-05	TRUE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD1	0.00373050464269367	0.000156568581353857	0	1	0.00357393606133981	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD1	0.00555312373654711	0.000236916073532184	0	0.86	0.00531620766301493	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD1	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD1	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD1	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD1	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD1	0.00547730192745849	0.00381145919244546	0	0	0.00166584273501303	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD1	0.00684023016807595	0.00523215477862413	0	0	0.00160807538945183	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD1	0.00615184748862248	0.00510395413756726	0	0	0.00104789335105522	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD2	0.000694941790177539	0	0	1	0.000694941790177539	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD2	0.000580904950637631	0	0	1	0.000580904950637631	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD2	0	0	1	1	0	FALSE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD2	0	0	1	1	0	FALSE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD2	2.38728195092077e-06	0	0	1	2.38728195092077e-06	TRUE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD2	0.000510712931276004	0	0	1	0.000510712931276004	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD2	0.000667089710459706	0	0	1	0.000667089710459706	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD2	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD2	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD2	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD2	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD2	0.00238763905934022	0.00212301028800266	0	0	0.000264628771337565	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD2	0.0030887754002186	0.00308824679444403	0	0	5.2860577456253e-07	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD2	0.00266034658599533	0.00233524178756616	0	0	0.000325104798429166	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD3	0.00401093394114251	0.0016395009739005	0	0	0.00237143296724201	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD3	0.000267461266612117	4.4588860938384e-05	0	0	0.000222872405673733	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD3	0.000267748542987439	0	0	1	0.000267748542987439	TRUE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD3	0.000591972528683185	0	0	1	0.000591972528683185	TRUE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD3	0	0	1	1	0	FALSE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD3	0	0	1	1	0	FALSE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD3	0	0	1	1	0	FALSE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD3	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD3	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD3	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD3	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD3	0.00308035966161084	0.00441345286110036	0	0	-0.00133309319948952	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD3	0.00374744908381994	0.00552331560903479	0	0	-0.00177586652521485	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD3	0.00247378451300617	0.0046946076125231	0	0	-0.00222082309951693	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD4	0.0043740879836235	0.000571686896000047	0	0.02	0.00380240108762346	TRUE
