id	lane_it_almost_fits	citation	doi	pmid	pmcid	what_it_actually_is	why_not_a_hit
wu2020_trop2_claudin_lyso	c2_trop2_adc; trop2_claudin_lyso	Wu et al. Cells 2020;9:1027	10.3390/cells9041027	32326212	PMC7226414	Matriptase cleaves TROP2 and EpCAM in keratinocytes. Associated claudins fall. Chloroquine rescues claudin-1 and claudin-7 and accumulates cleaved TROP2/EpCAM.	Lysosomal claudin loss after TROP2 destabilization, but the claudins are 1 and 7, not 4, and the trigger is protease cleavage, not an ADC.
wu2017_epcam_claudin	trop2_claudin_lyso	Wu et al. J Clin Invest 2017;127:623-34	10.1172/jci88428	28094766	PMC5272188	Matriptase cleavage of EpCAM destabilizes intestinal claudins (mainly claudin-7) and dysregulates IEC homeostasis.	EpCAM not TROP2-ADC; CLDN7 not CLDN4; no ADC.
zhao2026_hrs7_cldn7	c2_trop2_adc	Zhao/Wu et al. J Immunother Cancer 2026;14:e012265	10.1136/jitc-2025-012265	41932810	PMC13052784	TROP2 KO and naked hRS7 (SG antibody, not the ADC) lower claudin-7 / occludin by IF/IHC in TNBC; immune infiltration rises.	Wrong claudin (7 not 4); antibody not ADC; no lysosome inhibitor or LAMP1-CLDN assay.
okajima2021_dato_lyso	adc_lysosome_general	Okajima et al. Mol Cancer Ther 2021;20:2329-40	10.1158/1535-7163.mct-21-0206	34413126	PMC9398094	Dato-DXd binds TROP2, internalizes, and releases DXd after lysosomal protease cleavage.	ADC/TROP2 lysosomal trafficking. CLDN4 is not measured.
cardillo2011_sg	adc_lysosome_general	Cardillo et al. Clin Cancer Res 2011;17:3157-69	10.1158/1078-0432.ccr-10-2939	21372224	PMC10766325	hRS7-SN-38 (SG/IMMU-132) binds Trop-2 and is cytotoxic in Trop-2+ xenografts.	ADC efficacy. No CLDN4 protein-fate or lysosome-CLDN4 data.
goldenberg2015_sg	adc_lysosome_general	Goldenberg et al. Oncotarget 2015;6:22496-512	10.18632/oncotarget.4318	26101915	PMC4673178	SG characterization: Trop-2 binding, internalization, SN-38 delivery.	Same: TROP2/ADC, not CLDN4 lysosomal degradation.
nakatsukasa2010_pla	trop2_cldn4_proximity	Nakatsukasa et al. Am J Pathol 2010;177:1344-55	10.2353/ajpath.2010.100149	20651236	PMC2928967	PLA: TACSTD2 sits next to CLDN4 (and CLDN1/7/TJP1) on cornea. Co-IP of CLDN4 is negative.	Proximity, not ADC, not lysosomal CLDN4 loss.
vanitallie2015_bioid	trop2_cldn4_proximity	Van Itallie / Fredriksson et al. PLOS ONE 2015;10:e0117074	10.1371/journal.pone.0117074	25789658	PMC4366163	CLDN4-BioID in MDCK II lists TROP-2 among Cldn4-neighborhood proteins (Table 2).	Proximity MS, not ADC treatment, not CLDN4 degradation.
cong2015_cldn4_endocytosis	cldn4_endo_lyso_not_adc	Cong et al. J Cell Sci 2015;128:2271-86	10.1242/jcs.165878	25948584		mAChR/ERK phosphorylates CLDN4 at S195; β-arrestin2 / clathrin internalize CLDN4; further loss is ubiquitin-dependent.	CLDN4 internalization/degradation exists, but the stimulus is carbachol, not an ADC, and the terminal step is stated as ubiquitylation, not a lysosome-rescue experiment.
li2021_faseb_starve	cldn4_endo_lyso_not_adc	Li et al. FASEB J 2021;35:e21356	10.1096/fj.202002098r	33484473		Nutrient starvation in IPEC-J2: CLDN1/3/4 protein falls in a lysosome-dependent way. CLDN3/4 use dynamin-dependent, clathrin/caveolae-independent endocytosis.	CLDN4 can be lysosomally degraded, but the trigger is starvation, not ADC.
li2021_don	cldn4_endo_lyso_not_adc	Li et al. Arch Toxicol 2021;95:1753-69	10.1007/s00204-021-03044-w	33847777		DON accelerates endocytosis and lysosomal degradation of TJ proteins. Dynasore protects CLDN3/4; JNK mediates CLDN4/ZO-1 endocytosis.	Mycotoxin, not ADC.
ogawa2012_egf	cldn4_endo_lyso_not_adc	Ogawa et al. Histochem Cell Biol 2012;138:323-38	10.1007/s00418-012-0956-x	22544349		EGF downregulates CLDN4 protein in ovarian serous lines via MEK/ERK (post-translational).	Growth-factor degradation of CLDN4, not ADC, and lysosome vs proteasome is not the ADC experiment.
ikari2019_cq_cldn4	cldn4_endo_lyso_not_adc	Ikari et al. Sci Rep 2019;9:10254	10.1038/s41598-019-46250-4	31273276	PMC6611903	In MDCK, chloroquine (not lactacystin) raises WT CLDN2 and CLDN4, consistent with constitutive lysosomal turnover.	Constitutive CLDN4 lysosomal turnover. No ADC.
saeki2011_cpe_gelonin	cldn4_ligand_lysosome	Yuan / Saeki et al. BMC Cancer 2011;11:61	10.1186/1471-2407-11-61	21303546	PMC3045987	CPE peptide targeting CLDN3/4 delivers rGel into endosome/lysosome; cargo is trapped unless an R9 escape motif is added.	Ligand-driven trafficking of the toxin cargo, not a measurement that CLDN4 itself is degraded in lysosomes after an ADC.
