family	row	interaction_name	ligand	receptor	axis	thesis_expect	split	n_units	n_gse123902	n_gse131907	mean_delta	median_delta	se	wilcoxon_p	meta_p	I2	n_pos	n_neg	observed_direction	agrees_thesis
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	q4q1	27	11	16	0.09277872628557282	0.11687143617566857	0.01499398123222061	6.660819053649902e-06	6.103626894392317e-10	0.0	23	4	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	q4q1	27	11	16	0.11152605322058785	0.1287867224970593	0.02006187583468356	1.1354684829711914e-05	2.71163166704243e-08	2.7328566760003845e-14	23	4	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	q4q1	32	12	20	0.07741094969680144	0.07295921575893	0.0116491991786328	2.561137080192566e-08	3.028601032666279e-11	0.0	29	3	high>low	yes
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	median	2	1	1	0.004339862244247056	0.004339862244247055	0.0020837889603923395	0.5	0.0372805481993298	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	median	7	3	4	0.005368137333198492	0.00010030120345100324	0.003964133329054366	0.5625	0.1756799830647553	2.9605947323337504e-14	4	2	high>low	no
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	median	2	0	2	0.008135587306998395	0.008135587306998395	0.0074906405897033	0.5	0.2774346010356177	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	median	2	0	2	0.0070602943741054245	0.0070602943741054245	0.004077666706926901	0.5	0.08337073318057953	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	median	27	10	17	0.0263403585664439	0.018725837784882515	0.0065846790301643645	2.586841583251953e-05	6.327575322493412e-05	2.7328566760003845e-14	24	3	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	median	27	10	17	0.02827507936293161	0.022312371664555464	0.008203650137158227	0.0001253187656402588	0.0005675914163404007	0.0	25	2	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	median	27	10	17	0.03427504233368958	0.02311815998522948	0.011408744668823158	0.00023631751537322998	0.0026621182533795706	2.7328566760003845e-14	23	4	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	median	28	11	17	0.025954888847539753	0.021018124195067003	0.007950592236868687	0.00023708214760007545	0.001096486758712275	0.0	23	4	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	tertile	1	1	0	0.0005704099200019995	0.0005704099200019995					1	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	tertile	7	2	5	0.0019928456020242235	0.00020306703474377388	0.00226003232089637	0.6875	0.37789715279175484	1.4802973661668752e-14	4	3	high>low	no
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	tertile	2	0	2	0.007680217912262962	0.007680217912262961	0.007061552388544441	0.5	0.27676713167926337	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	tertile	2	0	2	0.006674119174607694	0.006674119174607694	0.003813108240002367	0.5	0.08006494072824756	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	tertile	30	11	19	0.031331610506888936	0.0252881569419518	0.007206597519128194	3.2391399145126343e-06	1.3761729296552408e-05	0.0	28	2	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	tertile	30	11	19	0.032623567457261186	0.031162576740672132	0.008270338645968635	1.597777009010315e-05	7.991757960927499e-05	0.0	27	3	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	tertile	30	11	19	0.03930300116684787	0.0303644452141075	0.011899984139307764	8.856505155563354e-05	0.0009573227725272077	1.2250736823450001e-14	25	5	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	tertile	30	11	19	0.03171160695474782	0.026466512490883547	0.00852186659200175	1.597777009010315e-05	0.00019827491286902914	0.0	27	3	high>low	opposite
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	q4q1	1	1	0	0.0005704099200019995	0.0005704099200019995					1	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	q4q1	7	2	5	0.001918012791953396	0.00026818426219271977	0.003338623108723036	0.8125	0.5656348062230673	0.0	4	3	high>low	no
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	q4q1	2	0	2	0.007997269504254754	0.007997269504254756	0.007528629805635181	0.5	0.2881232619094808	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	q4q1	2	0	2	0.006608660314607302	0.006608660314607303	0.0044389303743697164	0.5	0.13654118326019038	2.2204460492503124e-14	2	0	high>low	thin
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	q4q1	30	11	19	0.040449370936667776	0.030957779237442334	0.0085117791118746	1.6838312149047852e-06	2.0125095090930892e-06	0.0	29	1	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	q4q1	30	11	19	0.04006514717811236	0.03392878837512242	0.009024597170753762	7.994472980499268e-06	9.014731822115664e-06	0.0	27	3	high>low	opposite
ifn_recruit_mhci	pair	HLA-C_CD8A	HLA-C	CD8A	HLA-CD8	low>high	q4q1	30	11	19	0.047329487806386225	0.03879881623402853	0.012982735168843755	3.904104232788086e-05	0.0002667983413899919	0.0	27	3	high>low	opposite
ifn_recruit_mhci	FAMILY_AGGREGATE	FAMILY:ifn_recruit_mhci	CCL5|CXCL10|CXCL9|HLA-A|HLA-B|HLA-C	T/NK	family	low>high	q4q1	30	11	19	0.03964802963547827	0.034401462920366256	0.009410321705495394	5.144625902175903e-06	2.517231607090536e-05	1.2250736823450001e-14	28	2	high>low	opposite
