split	cohort	patient	method	family	n_ligands	n_ligands_detected	family_sum	family_mean
q4q1	GSE123902	LX255B	cellchat_hill	barrier	4	1	-0.027530562638548663	-0.006882640659637166
q4q1	GSE123902	LX255B	cellchat_hill	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	cellchat_hill	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	cellchat_hill_pop	barrier	4	1	-0.0008625954698519536	-0.0002156488674629884
q4q1	GSE123902	LX255B	cellchat_hill_pop	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	cellchat_hill_pop	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	cellchat_prod	barrier	4	1	-0.023849577580071737	-0.005962394395017934
q4q1	GSE123902	LX255B	cellchat_prod	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	cellchat_prod	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	cpdb_means	barrier	4	1	-0.07772823619589919	-0.019432059048974798
q4q1	GSE123902	LX255B	cpdb_means	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	cpdb_means	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	conn_prod	barrier	4	1	-0.07911208961565429	-0.019778022403913572
q4q1	GSE123902	LX255B	conn_prod	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	conn_prod	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	natmi_spec	barrier	4	1	-0.36979913329371894	-0.09244978332342974
q4q1	GSE123902	LX255B	natmi_spec	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	natmi_spec	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	sca_lrscore	barrier	4	1	-0.14464385733878352	-0.03616096433469588
q4q1	GSE123902	LX255B	sca_lrscore	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	sca_lrscore	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	liana_logfc	barrier	4	1	-0.22427628179373943	-0.05606907044843486
q4q1	GSE123902	LX255B	liana_logfc	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	liana_logfc	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	cp10k_log2fc	barrier	4	1	-0.6078999349654396	-0.1519749837413599
q4q1	GSE123902	LX255B	cp10k_log2fc	ifn_recruit	5	0	0.0	0.0
q4q1	GSE123902	LX255B	cp10k_log2fc	mhc_cd8	3	0	0.0	0.0
q4q1	GSE123902	LX255B	cp10k_log2fc_trim	barrier	4	1	-0.17089241579133982	-0.042723103947834955
