cohort	patient	split	family	ligand	receptor	axis	detected	n_high	n_low	n_tnk	lig_prop_high	lig_prop_low	rec_prop	d_cellchat_hill	d_cellchat_hill_pop	d_cellchat_prod	d_cpdb_means	d_conn_prod	d_natmi_spec	d_sca_lrscore	d_liana_logfc	d_cp10k_log2fc	d_cp10k_log2fc_trim	d_cp10k_delta	d_cp10k_delta_trim	d_expr_prop_pp	d_conn_z
GSE123902	LX255B	q4q1	barrier	F11R	ITGAL_ITGB2	F11R-LFA1	False	57	57	1583	0.43859649122807015	0.07017543859649122	0.018951358180669616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	F11R	F11R	F11R-F11R	False	57	57	1583	0.43859649122807015	0.07017543859649122	0.003790271636133923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	NECTIN2	TIGIT	NECTIN2-TIGIT	False	57	57	1583	0.2807017543859649	0.05263157894736842	0.054958938723941884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	NECTIN2	CD96	NECTIN2-CD96	False	57	57	1583	0.2807017543859649	0.05263157894736842	0.07327858496525584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	CDH1	ITGAE_ITGB7	CDH1-integrin	False	57	57	1583	0.3333333333333333	0.03508771929824561	0.013897662665824383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	CDH1	KLRG1	CDH1-KLRG1	False	57	57	1583	0.3333333333333333	0.03508771929824561	0.012002526847757423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	LGALS9	HAVCR2	LGALS9-TIM3	False	57	57	1583	0.10526315789473684	0.12280701754385964	0.025268477574226154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	barrier	LGALS9	CD44	LGALS9-CD44	True	57	57	1583	0.10526315789473684	0.12280701754385964	0.1396083385975995	-0.015386574627404672	-0.0004820965609890624	-0.010349116715760266	-0.07772823619589919	-0.05913321821832182	-0.2763234895012675	-0.14049728748245927	-0.22427628179373943	-0.6078999349654396	-0.17089241579133982	-0.5714959947237293	-0.12691638535008196	-1.7543859649122806	-1.7133967009853377
GSE123902	LX255B	q4q1	barrier	LGALS9	PTPRC	LGALS9-CD45	True	57	57	1583	0.10526315789473684	0.12280701754385964	0.2242577384712571	-0.03967455064969266	-0.0012430943787148448	-0.03735003844438321	-0.07772823619589919	-0.09909096101298676	-0.4632747770861703	-0.14879042719510777	-0.22427628179373943	-0.6078999349654396	-0.17089241579133982	-0.5714959947237293	-0.12691638535008196	-1.7543859649122806	-1.9231870785093932
GSE123902	LX255B	q4q1	ifn_recruit	CXCL9	CXCR3	CXCL9-CXCR3	False	57	57	1583	0.0	0.0	0.027163613392293114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	ifn_recruit	CXCL10	CXCR3	CXCL10-CXCR3	False	57	57	1583	0.0	0.0	0.027163613392293114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	ifn_recruit	CXCL11	CXCR3	CXCL11-CXCR3	False	57	57	1583	0.0	0.0	0.027163613392293114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
