gene	SRR8615800	SRR8615600	SRR8615900	SRR8616000	SRR8615901	SRR8615301	SRR8615401	SRR8615601	SRR8615602	SRR8615402	SRR8615802	SRR8616102	SRR8616002	SRR8615603	SRR8616103	SRR8616003	SRR8615804	SRR8615904	SRR8616104	SRR8616004	SRR8615604	SRR8616204	SRR8615805	SRR8616005	SRR8616205	SRR8615905	SRR8615605	SRR8616105	SRR8615606	SRR8615806	SRR8616106	SRR8616206	SRR8615407	SRR8615807	SRR8615607	SRR8616107	SRR8615608	SRR8616108	SRR8615808	SRR8616109	SRR8615709	SRR8615609	SRR8616110	SRR8615610	SRR8615810	SRR8615811	SRR8616111	SRR8615611	SRR8615612	SRR8616112	SRR8615613	SRR8615813	SRR8616113	SRR8615614	SRR8615814	SRR8616014	SRR8616114	SRR8615615	SRR8616115	SRR8615815	SRR8615616	SRR8616217	SRR8616017	SRR8615718	SRR8615818	SRR8615719	SRR8615820	SRR8615722	SRR8615422	SRR8615823	SRR8615423	SRR8615425	SRR8615426	SRR8615427	SRR8615428	SRR8615529	SRR8615329	SRR8615429	SRR8615530	SRR8615331	SRR8615531	SRR8615533	SRR8615634	SRR8615534	SRR8615535	SRR8616136	SRR8615636	SRR8615536	SRR8615537	SRR8615538	SRR8615539	SRR8615640	SRR8615840	SRR8615341	SRR8615542	SRR8615944	SRR8615945	SRR8615245	SRR8615946	SRR8615848	SRR8615550	SRR8616050	SRR8615252	SRR8616152	SRR8615253	SRR8615853	SRR8615453	SRR8615954	SRR8615454	SRR8615455	SRR8615255	SRR8615456	SRR8615256	SRR8616156	SRR8615257	SRR8615457	SRR8616057	SRR8615857	SRR8615258	SRR8616158	SRR8615460	SRR8616160	SRR8615260	SRR8615261	SRR8615461	SRR8615561	SRR8616161	SRR8616062	SRR8616162	SRR8616163	SRR8615963	SRR8615764	SRR8615465	SRR8615269	SRR8615771	SRR8615674	SRR8615975	SRR8616176	SRR8615976	SRR8615977	SRR8615978	SRR8616178	SRR8616079	SRR8615979	SRR8615980	SRR8615981	SRR8616182	SRR8615982	SRR8615782	SRR8615983	SRR8615283	SRR8615984	SRR8615284	SRR8616184	SRR8615985	SRR8615986	SRR8615286	SRR8615987	SRR8616187	SRR8615988	SRR8616088	SRR8616188	SRR8615989	SRR8615589	SRR8616189	SRR8615590	SRR8615990	SRR8616190	SRR8615591	SRR8616191	SRR8616192	SRR8615993	SRR8615893	SRR8615793	SRR8615394	SRR8615794	SRR8615994	SRR8615395	SRR8616096	SRR8615996	SRR8615796	SRR8615797	SRR8615897	SRR8615997	SRR8615998	SRR8615698	SRR8615598	SRR8615798	SRR8615898	SRR8615999	SRR8615799	SRR8615899	SRR8615599
__libsize__	15004992105	14444919062	13399550358	11951582843	12744611765	16560731933	11000147337	14180820121	12105353297	9697563212	15840799993	13953967732	13831240724	15633653814	11348279175	15241234687	17178852610	13073754886	11218324718	15189395324	14765961399	15369121610	15240808410	16218805534	14227305712	15595938251	12078580590	13336661743	15756466268	17413447940	11824045131	13692253376	12565814032	13832376867	14668637721	9850427592	16588573996	12075074844	13830395868	13962608545	9535866238	8694698784	15812666613	13849724089	17031225194	14376332397	15175156889	15755181665	12170508621	12163054965	14001109356	11876968336	14757477618	11874640807	15660449215	20350425430	11772753625	17721269427	9685571928	14455900380	11671685763	19664434768	16828775194	15317531016	14252068644	10689845513	10677806339	16626193569	13164358303	14123989917	12679887066	14717346398	10970923685	14631966580	13224869484	15292990181	11296749321	14558030042	15375901231	14635025597	15876418684	15969813530	15173905613	13758444350	13747618960	13744216842	13484701539	15816529955	14679553077	15962038335	15197513119	13830407875	10304777313	13312115625	15571541432	11607472655	14690647023	13812103055	10927927139	14920652296	10673137795	8907550111	14663318886	13265803954	8775972239	12142588409	15500249444	15163400651	13610984247	13264578581	14885933449	13837740349	13886448868	11737729725	13791860110	13143531219	12041546098	9110271132	13123205196	9101771512	12895291435	11775496198	13540261096	11569718242	13638559400	7217656174	12713014494	17033169167	15252354293	16671137983	14561128465	11034666200	15703588182	12409754989	16456050036	12527741247	30033306728	16228258601	18206347472	13293200716	13517647628	11911383190	15775600802	13702489196	12577002614	11731118816	13874355682	12606457062	13500659674	13045695148	14362075443	15387402776	13853123873	21371717591	16352130390	14446128363	14453204723	15583262851	17646354328	10568710049	13142819100	13092912249	12519736880	11954748526	12808993038	16546311000	13473876205	13680033414	14053794315	10874167377	12576815779	12112298085	12003200372	14575624391	12773108134	12868389552	15123216015	9989859692	11993151104	13126696854	17041336806	15245156939	12198466863	15654143913	13422171109	12568211956	14404556582	13763018203	14117838700	13647124934	14864691769	12756699694	16637641460
ACTB	24271089	71725469	20736571	103637230	26156199	89513007	33416763	26957152	24021530	16432522	63916904	38404615	37144638	28095391	12988736	28699322	27144408	42287249	26011070	39413693	42385365	97670631	39240273	14550328	55583382	55259630	19769678	46686045	65514026	93042256	92092460	79766838	61795730	71728149	41622360	24660907	82113705	33792365	24130162	22687906	18436468	19105517	61682991	53851168	69387822	40936304	36443246	54213537	18770130	20228729	23537030	27836907	54075273	22642402	15567738	75472090	45081953	108045614	39096512	43282618	8495222	115088399	74909722	52196048	58971594	23484224	28360294	73026043	25512609	54933939	34414248	29321386	17814325	27202459	19944081	83497005	23097138	32345793	31597336	28456333	60568320	73694636	59691941	50768583	33067257	85404182	36403550	70594086	88112929	75355696	70218316	63012258	18230488	36721603	66223969	25549177	15719926	64068883	23507343	28705755	65214583	30017983	29052082	24358312	16472490	41615292	97198052	34489501	55100593	56741657	59418884	44347219	15825314	34791837	57217495	100344427	41891425	26613635	49190826	40259793	66302531	15754938	72803738	91376138	46805117	17615283	21901963	42309062	54945253	54219385	36757375	18628635	43623348	66229908	23665093	43751299	93072385	49329543	45340140	19834186	26263865	17067639	32750547	55495846	48744185	20777908	40074572	24485636	94236686	31117203	27146408	59515938	69503258	70802280	48255796	54342929	86656067	98336606	61453314	56588880	85147586	50454754	28422034	26068897	9781291	31610657	26729735	36699751	63569497	29247799	26517836	35402136	26859393	18770205	53401675	25026459	79770426	43396655	11549687	31356751	107950532	113323365	67473070	52483185	15997243	18377794	60990600	48229209	35316200	77154148	17725160	38388033	53584543
AGER	100747	60628	89042	15087	131810	67628	73340	53065	82092	54542	52523	43793	31302	33132	38526	27499	77673	41469	164206	17208	144233	32341	81700	21511	51293	69494	36630	413834	70977	78954	14841	11402	49392	41945	43727	58154	22541	13806	114614	123869	23468	59794	120023	197817	24643	27638	34766	33504	166501	85470	92000	34287	48356	78580	55269	86491	35371	47636	28573	35507	80279	48419	18275	52946	43391	32234	46041	34824	81354	45285	56328	38357	58034	36925	80495	50282	80815	34778	36322	47701	52310	27039	51879	46910	39127	24332	55716	54742	37273	56364	23580	73874	38804	140356	24126	77455	10139	34073	56211	209288	28423	35058	23584	57785	36321	36505	48093	57967	49304	20347	128326	18552	53396	81606	48377	26763	14038	30010	15462	71803	35354	33521	27037	50336	57368	15375	35902	62176	36764	53312	53656	60782	43252	62013	66093	24472	63095	68311	65099	76594	30581	26884	42993	41421	44433	27774	23879	27480	26844	69052	44052	47809	36360	43671	114582	42516	11584	91295	33998	28925	52803	15716	30377	26481	94052	62934	51044	25194	32445	81094	51878	29308	31777	43787	27999	95577	54053	27449	97406	85120	133401	32362	16558	33968	43318	105776	21436	35080	92857	14280	99707	42509	99333
CDH1	10575	14683	594859	24454	83379	3887152	7587	1407212	1276125	3271266	3367056	26587	11931	1082798	1704234	10667146	11787433	12218	11681709	15795	3466897	4969	7511689	7984314	99015	36879	1439891	10602163	4564779	23956206	5821735	9228	4913363	14669422	4193701	947212	7121706	4704748	5442154	3107392	5229890	1443719	146404	9891050	6592	5308	192555	576960	1270474	6225	14995	1036897	13933	2871173	6161439	95904	7280	7590391	17454	14789	1457738	5095165	334771	48683	8478193	5759883	3017492	6807	691018	15165	1104828	3868609	2925098	2124454	1593993	8023656	502017	1098229	2913748	757600	34531	46188	9612656	5281198	586476	5595	3576807	3217168	5048079	994279	38808	2610080	1247206	582815	35863	2278140	2816149	8032	2330321	14804	11111	8121	1938415	370457	489362	2704171	191250	9219554	5368991	5619938	19086	479320	4204199	7308	2022972	282383	30077	686292	11941666	25053	4894697	6639	2027690	12767	10938525	30107	5803195	7103370	1380661	740017	1374877	111219	6929411	8197202	13111862	4056	16926	1290161	70251	2493095	8486593	2494622	7695395	7319477	101853	7561	7958576	2570912	4056	9526	2981436	13475	12715786	17492672	3112694	538183	7800418	24528957	25446	1009995	4411	1156181	3008963	5051618	9944872	4705233	694837	7499848	35989	5857762	7063	104781	1590461	3717900	3596	5128	76075	4067	418420	10779584	11174618	24405	509413	4335349	3900654	2558064	7004288	25469	11561	12356	726235	23345	9557089
CLDN4	31592	432340	162211	712644	19080	4455943	495466	1218619	197636	5148807	5245232	59349	16519	629678	3931881	3116951	4597902	304196	2284377	40298	2123687	80957	4122476	5842737	361878	31758	907351	7571002	8268060	32503673	10947851	2597377	5060153	3545667	32101	1352026	8436172	6984604	3449057	2395959	1968149	950707	115771	4596013	496558	11671	1176938	3032002	3373170	63716	43860	5858095	17390	686058	3113077	26326	24223	8073569	2426117	35763	3007934	3264235	70545	183697	10489375	7540045	99468	830148	2591454	124734	1327143	4441410	1560674	4957900	1460883	5227980	541114	393154	4623966	719536	199149	1150620	4952049	3137571	1957660	12339	9596208	12829703	6381960	32188	10734177	8714785	53832	87263	345840	2146424	147635	70702	777857	988308	1995556	18134	1713635	384268	372665	4302174	168636	5602179	375969	2771799	22571	923494	5849000	21763	36642	46133	1687860	318301	2272351	31142	6454852	288664	2594493	33215	7271341	77935	1019475	7225509	3147028	1809648	426836	48804	7957671	5105764	8077042	1072601	57190	2595135	12875	983256	6596431	3650289	3496817	10870953	1766788	11337	17022188	1356906	30054	40265	2368135	16941	4013428	8747039	3753630	3206734	40056	4015944	13467	894847	23092	87783	1900915	7396831	5667661	3752974	1418098	4382124	117313	2308038	29190	744824	1687016	2519536	30291	35218	55606	1863340	978277	12325132	7211590	480975	2111668	2593801	5263458	3519535	4886541	40486	55608	413113	117043	11423	13601237
COL1A1	293812	26640	20512	458071	152421	236906	11341636	32870	20537	482413	610685	380818	102982	131740	220067	74494	1098108	175759	344389	286010	22757	84451805	314678	60553	29192907	444473	1184493	22073	900003	1009768	18623096	311782	314743	38266	41440	380953	2238805	119039	569220	437857	165455	218672	837735	1248519	555754	919383	10616787	189188	849606	129214	774241	1819750	198338	589027	776715	1062418	4663993	3085582	1239686	99958	227630	1062821	353184	197813932	1055949	396480	259547	300461	655398	485273	28400	390791	31709	68221	13700	840589	97955	52891	1497922	8755	420361	34995994	148527	52654	696598	150665370	193443	331424	17446669	324152	432090	369427	123154	588693	197571	1484174	1949287	65454	121316	19689062	140207	24955085	1151365	40258	54206	12869301	31170664	571328	1100434	1144016	861870	241524	46461	76379	149116	1286219	4769962	273706	371642	5324486	1049599	29969	3475990	122852271	254511	891002	30518	4643636	338393	187246	180325	40844	9665	417091	244638	58198	284438	290073	190329	50830	12651	27324	1395211	760867	14705558	7032	14553	40505	111176321	45237	429477	16636	331789	837381	5898603	25959757	1118042	163889	298767	531586	142204140	13826	1286455	183897	1363756	1081396	601160	41919	383563	194893	173369	2408113	363390	320887	42163	147191	54210755	297662	158104	1328908	2056478	57865694	310005	2262733	88270	863239	278779	180496	13929	825713	33595	587026	274194
ELF3	6925	10035	8689	222798	9235	2219341	57372	2048079	23731	2085611	5096451	5394	4499	1912571	699033	5625864	8307935	101292	213400	6569	679329	2915	1735240	1909076	108471	4097516	8715	2655525	6612029	5500420	3779231	26391	1586405	2400229	894829	12368	1335989	5591007	1655457	2811843	565555	564733	69190	1668249	8672	5710	1245184	2686833	275684	14970	9099	2417525	6105	810525	9314387	5322	37433	10219771	24129	22079	10781809	2025546	2084111	37105	1041883	3893007	17921	8382	10687	41071	720616	1849035	1845969	10915190	1622712	1859603	16142	705580	7470039	1369779	128921	186878	182976	4206102	1627145	2401	1484589	4194928	3477974	13096	1484700	2331119	121677	229244	5614	2761342	1158140	4941	689240	4581	5299	7860	1020694	2478534	249732	1169440	21247	3724908	2759179	2646330	152279	150356	6315357	3004	2188396	1303549	556583	343016	577887	12920	14706320	3935	639801	3448	5782829	16206	1256632	1330001	9099072	342080	612930	11397	1239873	644030	2003752	318008	7020	162462	23092	174958	3848638	2159250	1579507	9884474	105822	7244	9363000	767270	3979	4933	515122	5123	2134250	3255058	1005544	383920	3732169	3164892	18179	986394	2130	187756	1882270	1535495	6273372	5852235	1311516	1824378	11803	1812889	5648	409541	1072305	3996815	4391	4044	5988	504887	14068	7573203	1203107	11628	705340	432528	3622419	1157611	2382204	14123	2395	68238	485190	30288	2865359
EPCAM	10299	39942	1935207	96009	68901	5813727	41112	4187052	2013559	2296284	6067690	19127	201262	498248	2983435	5971927	8289123	82419	4054630	33752	3518570	10357	8203858	5412219	84331	763435	1192486	4549481	6436527	5950836	5662644	134140	6919149	7690390	7701380	1776850	8666385	3404382	7309693	3910220	1238247	3130109	25987	3843213	20501	81220	918258	807402	4882233	681433	864810	3438372	9287	2765918	7253250	5808198	5326	11038086	61158	11194	12111449	1890113	97685	6354	3182033	3832508	917624	9268	1700788	9727	2150732	5593585	3343326	3488523	2344201	2482845	1715664	2939941	5207131	1209166	61183	165045	3614871	5216379	1000627	3397	3317757	2935477	5927218	70682	677625	3672874	5074875	1504265	389622	3769955	5523031	6992	2634766	432194	15216	27171	5743383	1603466	717675	1918042	124506	5141918	2576622	4179227	137064	254191	3135961	72018	469330	401114	205310	1705488	8017053	451145	5426137	344233	1683200	5952	7873434	32594	3170257	2975495	414465	1349373	2169794	1525641	7901427	3664332	6800081	1043724	68250	1985092	16131	2296294	10721265	3794745	2416464	5413585	195133	17657	15071238	3944363	7229	18032	4442564	10939	3825465	11971518	4204859	451572	461821	3054782	13146	17300	5784	4048009	2787527	5651901	4611645	8423883	3351886	7549614	60829	2694826	1333256	30096	3764006	4790496	105790	17308	91148	949518	2739125	7709761	3154936	27812	353227	4221672	9784733	4976760	3237275	620441	8477	65200	5123073	24394	10416108
FOXA2	43551	983021	359	64248	2175	688	26237	2023335	31554	1585	502603	244	1008	42870	5795	1215241	19768	934	430729	0	700664	402	358895	1551194	33113	838	813	109	1483	266248	122935	0	0	84368	702	1839	180861	581	924978	258111	25268	538801	2620	12264	0	354	172531	533	134401	699	376	5247	840	8344	617	1360	6022	4116	42236	981	292027	23842	258954	142	138346	169270	1681	0	674	2201	522743	70276	890131	2193635	0	910	65457	2154902	123400	686743	424618	138115	262500	13272	3914	101	98513	348664	23076	2195	2009	359	775059	12324	1642	2037	128008	0	613925	337	0	0	25191	1001207	835298	407442	374022	112032	9878	104667	367	2081	738353	721	97059	0	159500	2753	13523	1442	97362	851	49256	202	129679	342	17812	311	15423	5471	20750	2031066	1498874	2572	1927844	755808	731	5887	188	1099882	2320444	1700800	21523	1026	5460	17884	207349	1381192	501	699	49928	530	6982	4933	62454	22148	189951	1821	797	5813	173	1531436	77374	10539	309967	555	1732	376	31907	131789	571	104532	1236	933979	148	202	0	109	825483	102406	469	3243	342020	933	646344	94695	17709	5216	8898	287	917429	0	352025
FOXJ1	1332	3176	5291	109	118538	4993	663	53154	40025	909	254813	1558	5023	1517	4077	195574	406	4276	540	718	29078	582	7750	843329	1341	2628	350933	349	49123	6731	183958	1524	19649	1437	110147	6186	41503	1054	214695	784372	1235	18867	1911	81081	0	1077	814	768	1241	46712	2102	8122	1980	3209	1432	108521	1508	33091	0	68533	112490	2410	2841	721	39292	2819	2846	201	299632	1348	795	333830	284802	686117	4964	2763	204036	16294	106703	16478	1617	403	1756	870	32967	168	1671	33502	126643	390741	834	262208	0	7678	1356	2681	0	1302	30277	1621	285	1453	9556	74063	901467	33264	0	19781	93443	3740	553	1827	7499	390	24765	25664	43051	326259	1769	4254	184871	22476	37303	621	33038	5601	18168	726	88365	9816	2570	31458	98048	124103	950162	7919	41775	448	110981	3247	308128	3179931	823956	915	13845	42189	527	451327	564	2426	1963	2275	2219	826366	22484	31205	556	5330	940	8360	0	291012	2904	5460	603128	1229	31351	105440	10117	74121	3812	1073	31664	1056024	1416	649	1789	4345	303	137699	1438	1372	331	505	609569	13921	13754	2185	23893	20798	872	690	437513
