gene	SRR2966453	SRR2966454	SRR2966455	SRR2966456	SRR2966457	SRR2966458	SRR2966459	SRR2966460	SRR2966461	SRR2966462	SRR2966463	SRR2966464	SRR2966465	SRR2966466	SRR2966467	SRR2966468	SRR2966469	SRR2966470	SRR2966471	SRR2966472	SRR2966473	SRR2966474	SRR2966475	SRR2966476
__libsize__	10861708304	9511388440	9254518536	9396602368	7500310694	7130483937	9378519873	9314294874	7924505462	6901922123	7446553888	7698090353	10049684797	7654339346	7903153474	8522401191	7827017195	7837455524	7485076867	9660420653	7304529637	8092074307	8232762222	8637770750
ACTB	17492652	15728939	15247531	17380989	12959165	12680500	13858152	13796577	11387641	9609921	11994110	12237275	15692116	11016471	11455742	16929564	13251049	13527837	14003039	18081327	14444168	14032914	14255240	15041972
AGER	48799	47298	45190	42252	29748	36709	66963	68950	52096	39713	50594	41040	65821	47966	54822	52457	45799	39705	58478	80727	61137	33984	42251	38048
CDH1	5643360	4916095	4932715	2974573	2449258	2425697	2689726	2731827	2361532	1376826	1277256	1433322	1361120	1124448	1201044	547194	632429	595695	684384	896108	602857	901033	913343	932687
CLDN4	3339359	2979806	2701276	1810597	1455247	1406144	2447073	2269846	2002196	1065303	1298674	1208801	1437440	999865	1045244	801630	666283	634937	556248	737274	586793	481787	505224	523205
COL1A1	429711	382878	355097	319566	246252	240018	490133	518101	424970	331813	412505	390492	597878	412643	453944	316665	311321	275074	308370	378054	303692	260885	265663	279849
ELF3	2325169	1984333	1917355	1334103	1063670	1027723	1760088	1647520	1414819	922814	997123	905912	1167631	838453	889666	650101	564210	554410	471899	672613	497314	297426	305797	318899
EPCAM	5556766	4826788	4619660	2866584	2270868	2145544	2676364	2481514	2246259	1401374	1529234	1493094	1591511	1337232	1351387	1164983	985509	1008708	1150642	1399717	1172970	970238	981292	1032227
FOXA2	518505	460121	467388	272996	224676	221744	256103	260493	230978	129911	165411	167664	168973	117228	128816	106383	89114	87901	78640	95000	75782	91450	92474	96373
FOXJ1	5662	5547	3496	3079	2530	897	4592	5595	6488	2515	2796	3295	6916	3833	3995	3215	1860	1786	1245	933	1003	1284	1107	1290
GAPDH	24734522	22384386	21345116	22676147	17667942	17803681	17568815	17424255	14325023	11809573	14903043	13418039	16299018	11798280	12617763	20239857	15674919	15159858	13902855	18239159	14678455	12085642	12271628	13042445
GRHL1	254231	219765	218901	127303	102532	105355	174315	164779	144926	82155	70209	80182	91435	75289	72641	30540	36786	34931	35011	44592	30991	33379	38179	40099
KLF4	873779	757080	729424	680116	532774	532398	872031	855604	718772	461624	494842	501420	585505	453604	460887	438082	432706	463079	294476	340948	275421	323082	331963	342881
KRT19	9033980	8052988	7540070	5186210	3885805	3822044	4116014	4009086	3504039	1619377	2015603	1884742	1927067	1395688	1438179	1406128	1048892	1063461	932283	1176440	1002899	670113	698338	738057
KRT5	230	113	18	0	67	497	0	0	0	0	142	0	67	0	0	17	188	84	24	0	0	0	0	81
KRT8	19938798	17828554	16690527	12144506	9556928	9242159	9963547	9725184	8413747	6056040	7132432	6634900	7697112	5586837	6071507	7926124	6282502	6307570	5637253	7342484	5874539	5582900	5684160	5943537
MUC5AC	156983	141834	124452	49135	45605	39031	84374	75710	63215	28762	29467	32670	26652	19899	23258	9357	13138	11954	6579	9304	5137	9383	10595	9291
NKX2-1	1543618	1415495	1295307	1046582	771141	770358	1185783	1188789	1026843	936651	1120028	1119912	2083614	1476588	1502721	1573433	1460010	1384477	1962762	2489935	1974885	1681534	1855915	1835088
PTPRC	5188	3617	4327	4034	2146	3864	5653	4535	6070	7695	8639	8515	16044	11412	11382	7505	8803	9945	8604	11040	6489	6588	7665	8156
SCGB1A1	61	315	385	450	40	201	388	244	173	74	67	173	184	126	89	192	0	249	0	143	11	85	56	98
SCGB3A2	756	381	652	265	573	314	563	965	532	194	139	351	896	871	564	831	175	376	890	1639	375	363	734	614
SFTPB	200	458	0	357	0	246	100	0	200	291	54	173	55	284	195	0	191	125	126	200	47	100	119	198
SFTPC	461	0	0	37	286	200	236	589	0	167	713	334	810	84	679	394	0	788	200	662	286	814	503	455
SOX2	350179	339560	304491	249289	189933	182932	310431	283264	261962	197013	228808	251611	388579	268363	272699	243727	253152	262484	260818	328873	237398	203313	223417	220501
TACSTD2	2429636	2071451	1891256	997089	811196	771515	1103572	1052747	968972	398879	430853	423902	484225	388472	389576	401136	345387	321067	338831	424859	369316	251017	255928	281638
TFAP2A	102033	80641	79802	65659	51680	48971	91149	88345	77313	66712	70261	72598	135702	106440	114653	78694	86117	83027	158185	200904	148095	211189	215916	218867
TP63	370607	324285	311788	137007	111588	99469	201586	194673	161834	145398	120001	147007	211909	157326	171126	77074	97616	93454	123744	166875	111436	165793	161122	170266
