gene	SRR10197252	SRR10197253	SRR10197254	SRR10197255	SRR10197256	SRR10197257	SRR10197258	SRR10197259	SRR10197261	SRR10197262	SRR10197263	SRR10197264	SRR10197265	SRR10197266	SRR10197267	SRR10197268	SRR10197269	SRR10197270	SRR10197272	SRR10197273	SRR10197274	SRR10197275	SRR10197276	SRR10197277	SRR10197278	SRR10197279	SRR10197280	SRR10197281	SRR10197283
__libsize__	3211230299	2798131995	2458014566	3335943103	1395267025	2792164340	2562577613	2768260633	2198374378	1808038783	1834339928	1852039598	2262965912	2184573363	2134389267	2140569889	2081028519	2095225195	2361921715	2247910778	2336118783	3008627886	3351809184	2640324932	2357076223	2551179406	2503073969	2811125503	2125528859
ACTB	4876411	3369138	3957707	5014688	1331251	2767160	1840445	2482319	1921291	3488196	1746204	2364929	1950897	1487143	2295323	1664217	4629650	5735403	6609027	6128520	4764414	4608706	5887749	2895591	3380232	3691423	3653618	3473810	3428623
AGER	16201	4524	3375	3383	184595	89234	12332	24045	16724	140589	68995	16649	12890	31879	96192	392593	8585	6652	6778	5797	556805	18426	24743	171995	675399	290539	34583	149503	680989
CDH1	850691	963767	701111	1140275	131447	498396	656359	663134	638502	184615	95561	384079	529800	170034	277959	157610	1101143	1273792	1140415	979365	353830	241697	310749	105012	123595	204958	309064	215947	143612
CLDN4	297571	670885	144932	427922	50496	258194	190767	211651	181659	90633	36424	103732	162041	37890	61044	54551	638611	387014	524225	679505	168947	96549	100825	59229	61217	101859	90989	83651	79425
COL1A1	7720471	2944990	7744516	11878700	1432895	3950196	576534	2861947	667788	897522	1635041	1595172	1083227	1763847	1741269	340508	2058227	4290120	3340769	2839260	1069961	5059750	21934127	5543887	707000	2569815	15407282	5867827	1164586
ELF3	225931	890098	267526	509701	40644	794704	953780	1100330	1028198	177559	63089	134095	217659	90618	76554	175446	273596	218241	267174	322339	230742	206716	249736	135782	69807	220497	297012	147350	105576
EPCAM	198733	104654	107188	193962	26095	76137	80947	84027	58771	49883	18054	27401	22814	23940	33050	44474	191158	172722	158121	241452	74032	64857	88658	42336	50862	71813	103391	72185	58527
FOXA2	1769	232	0	881	9154	12281	2244	4260	1701	14347	4236	2651	3776	6040	4726	24368	3390	2189	3779	1076	23676	4391	442	12580	23627	13772	5061	12786	21902
FOXJ1	2305	4542	166	140	2567	46276	15115	10317	4315	15902	1105	12307	3117	9829	1799	14897	3159	827	825	4921	19896	70538	1604	73197	8851	5040	2340	11413	6020
GAPDH	3241302	1848039	2242074	2917432	402335	1082687	1406140	1492898	1192521	1112258	559292	1671027	1931123	907616	1658842	263617	4403223	3748021	4840734	5447904	1259485	2286879	3578117	710288	644234	961462	2115462	1271376	506344
GRHL1	353574	132284	207340	293536	32022	239336	426885	355261	373221	22593	17649	63321	108477	35553	69951	25459	181018	104352	156482	225353	32028	46114	67051	12720	11026	32410	76606	40681	11320
KLF4	146174	280672	180136	195250	47487	224647	217924	239198	223440	79370	43401	38945	45754	25427	50697	94270	216790	87229	133468	278792	257544	71229	59667	108638	328997	188746	40179	94143	417542
KRT19	57906	2519763	625523	1579513	82303	2424106	3501815	4307098	3554744	316492	219585	1343724	1693049	613678	643585	186535	2395603	1760258	2808351	3008189	514963	1276034	2049216	190989	224219	873888	2215296	754349	200254
KRT5	4538534	15125484	8047590	11152790	306599	8353543	14278549	15936793	13871006	209047	1032460	5904523	7124936	1966859	3697256	104147	8293861	5517038	8480877	11358058	962017	5486027	8309006	258029	255569	1532514	3315807	1299459	74586
KRT8	107313	753413	173111	532609	92718	290005	143546	164523	117411	380095	124637	386001	328934	264868	267703	273408	804694	755415	942031	1003864	614364	584455	603178	132836	247208	269892	372713	295406	327797
MUC5AC	7339	12085	4828	4214	2654	421949	20940	4424	6447	91897	2967	88126	95482	21003	18300	3092	5163	7336	6766	3620	9475	294754	22826	768443	15593	1289	2802	3559	8631
NKX2-1	3860	2918	1244	1930	96785	98260	30275	35060	33539	90645	67342	35390	33732	47646	64086	264696	20570	948	2793	6995	136899	17692	3496	82456	123697	124998	37266	89073	160586
PTPRC	324951	278791	227585	247832	233147	256262	39195	139444	31661	479654	365499	187602	188479	278899	340856	285487	99381	70286	90795	72345	440738	851313	602207	715529	691196	701639	306349	631184	363250
SCGB1A1	54	1416	260	0	1309	10803	4561	496	2111	11534	2687	31180	11468	1585	4073	223573	2889	816	197	1556	68978	86106	4154	183745	6942	4726	36998	35596	6675
SCGB3A2	1670	802	57	1282	39734	72412	107837	40982	55039	87458	24818	48333	48270	31430	44328	85762	57901	1328	1214	51518	69362	38743	7063	11462	19291	96748	160905	169536	93863
SFTPB	222194	8799	9535	12882	4910429	6914942	1658362	2316843	1553684	7291342	2803639	1663859	1068162	2362089	3586613	7889920	1608358	23657	40173	790190	8215927	877872	137749	3216426	3721842	5907901	2233661	3947333	7103439
SFTPC	172431	5411	6534	7292	1523495	1942589	47062	276645	62476	839492	252121	22736	8303	72107	712149	6009804	34409	7133	27725	16996	8618606	119996	68914	2537497	8611863	5473965	368832	3997752	11218477
SOX2	446033	197798	175863	384083	30171	65078	132086	107673	108302	4073	1005	5306	5257	3178	2457	3572	384598	464833	646245	405021	56266	104731	127429	22907	2580	33695	94164	46587	1488
TACSTD2	475743	890465	601496	570586	53702	1177133	1889515	1819360	1770898	86997	63897	426041	672941	128652	244340	82242	839763	560361	672645	934933	238570	227865	240664	70157	101977	218313	368461	157407	96674
TFAP2A	10507	19159	23210	15152	1082	42219	81336	75585	78281	2411	14184	82779	119598	51825	51608	1721	30991	47325	40599	29844	10525	37425	39695	7093	3167	14164	23825	19646	1418
TP63	2556844	2185418	2347409	2936773	198343	863831	1680004	1584370	1522614	35163	67811	360679	649124	184013	340895	13913	1485312	1479214	1788975	2012856	202908	362934	610510	53352	30083	105111	255075	118677	16564
