gene	DRR016700	DRR016701	DRR016702	DRR016703	DRR016704	DRR016705	DRR016706	DRR016707	DRR016708	DRR016709	DRR016710	DRR016711	DRR016712	DRR016713	DRR016714	DRR016715	DRR016716	DRR016717	DRR016718	DRR016719	DRR016694	DRR016695	DRR016696	DRR016697	DRR016698	DRR016699
__libsize__	5239130782	20307117416	16964172537	6898551615	8831663252	11889244272	11319136395	10394496038	12372273786	8988566049	11508007356	10178605554	10382939548	6935879169	11425887015	8512054986	12139719041	10533966002	6732571111	8902124238	8346336705	4222592445	7211121189	10511186046	9349877461	7593539010
ACTB	14153558	71152119	38390524	47310811	16691351	28495360	70744436	14096325	29381259	21607292	25394354	22393357	13023151	27217360	34658827	16756375	31077153	11532217	31571758	7819104	28858173	17405876	11993531	32777995	18560949	16346520
AGER	54358	82220	326374	18799	42653	47082	46998	109607	62608	30419	95670	53563	153558	73007	78538	36686	34056	89568	66673	81685	57529	11380	98335	41321	50082	35084
CDH1	8156741	6815	21774179	2688526	5186972	108480	5661744	11376138	5075708	3503328	66649	177427	680728	1273629	6400201	10412361	2609731	216618	8153	2059608	17368	970043	1184761	2277	10738076	2702143
CLDN4	1877396	12889	6468600	2638654	1451937	876333	4834665	4056209	6066543	4534448	59252	27181	1242324	2980711	6922915	3122822	1413565	576845	49145	1668603	28175	10326	3191364	39887	4456623	1250661
COL1A1	43354	21491	2249521	866159	493847	1096602	33792393	84843	819999	467431	223185	742422	863	193028	192834	294699	1130563	1228555	727604	174298	427665	43956	328399	117400	147116	498751
ELF3	1374259	2896	2978607	715637	4714643	1172643	3152834	6442163	3940438	5073876	834702	4334	242430	1225881	2710861	3210760	6629304	468540	7690	1383083	2269	852490	1527958	1805	3274405	1801825
EPCAM	955740	2699	4737634	1602008	4413320	417344	4071291	4757450	11208546	3176097	6406	65360	3335266	1921831	5324731	1379866	5533652	18674	2612	5567214	1290399	13036	5078324	2752	4423493	3703342
FOXA2	202	164	14055	126832	0	163263	80684	49504	89703	90445	494560	6870	1422612	1994	232361	4217	241	30864	1697	1072212	0	131151	0	0	0	180618
FOXJ1	2715	1264	127728	63437	728	661	105560	7487	1655	112309	581	149	22498	81815	468945	43071	2324	483	111	1363274	28093	171	3070	135	1328	56248
GAPDH	19449246	125011090	57806289	14772399	13801317	28618913	39623326	28849734	35631832	21372864	79438135	28163986	22591444	27268023	28666004	7176400	44206798	14969108	23966618	22124857	35193256	18728069	19813232	37687740	11285197	24573086
GRHL1	173373	54623	839095	70324	305460	12625	119977	621095	439555	403016	32259	53055	65602	58412	115863	164105	591985	50621	18497	72936	48737	3859	380873	24734	126575	277275
KLF4	58109	40101	191743	130209	364308	1688509	339614	119303	368762	193267	533495	19652	35276	199745	435436	179845	686918	244563	20721	351396	10999	61960	480870	88414	472286	335174
KRT19	5283880	3451	13257894	5534299	12446566	2477573	12675154	17114349	995951	11702167	47527	319	175	8863257	9747894	7358626	19000534	428907	665	295	4582	5565	5901536	5184	1978116	5300556
KRT5	13643	0	759	428	37	0	408	748	37	191	8157	0	105	469820	24	1279	49	1211	1416	384	0	21	386	0	467	3265
KRT8	10105006	131004	119742448	11445921	26342399	3704157	23770697	17940096	16285664	14970562	3365131	1426235	8185188	16916732	16126261	8922045	51432877	5595619	1295573	7142224	1428437	15201971	12332053	2236748	4823338	9464477
MUC5AC	0	164	715	581	4610806	554617	4179	29222	286328	7121	82032	650	1698	9053	155319	3058	37289	121534	168	1522	33943	156506	0	359	70417758	3728
NKX2-1	0	24208	3038263	369542	4903	156422	1454186	128603	2741747	1090638	13005	19690	3083411	611	1537754	0	19214	453	3286	9085	919	644	7380	2189	0	1409483
PTPRC	511	467	917	278	0	992	960	752	705	1317	369	10750	131	3860	150	1473	0	404	5828	969	10199	135	1055	0	196	1251
SCGB1A1	92	0	0	0	194	48	0	8887	0	149	6544	0	0	1156	0	79	0	4757	2401	0	0	150	0	210	40	1330
SCGB3A2	0	0	628	0	404	0	165	70	0	1537	0	0	324	69	0	373	0	0	33	0	0	0	0	0	0	0
SFTPB	33	491	953	12185	503	4653	80960	126	14560	48752	202	1311	2136971	320	7528032	1663	2103	637	362	488	394	0	0	205	852	241486
SFTPC	216	59	254	415	0	202	415	0	1494	0	0	0	0	741	130	133	0	1992	166	369	0	0	0	113	0	6055
SOX2	22097	508385	256809	79795	6824	11150	150	1752674	603814	215484	3001	2200819	547137	677	65626	202	61739	243777	295	265845	2093	1667	931995	32829	622	212857
TACSTD2	6231778	1536	4924374	1418418	3508636	513446	7152691	7558815	3232767	3977244	2525	872	1412	8197172	11970362	7690369	5872400	91061	636	1485	1950	0	3214065	5720	3088212	1491223
TFAP2A	460289	529556	1090575	366664	1364631	169722	194610	222465	677463	240980	59540	21783	37601	311235	170642	598169	1345558	320220	139510	10852	25388	223948	565070	627334	304163	136462
TP63	17559	1743	72918	70120	1140	20907	20713	382211	183846	19910	900	1506	201	10859	118683	326	2944	5498	3064	162	299	2298	35860	1364	42286	44705
