gene	SRR1265600	SRR1265501	SRR1265601	SRR1265502	SRR1265603	SRR1265604	SRR1265504	SRR1265605	SRR1265505	SRR1265606	SRR1265506	SRR1265607	SRR1265507	SRR1265508	SRR1265608	SRR1265609	SRR1265509	SRR1265610	SRR1265510	SRR1265511	SRR1265611	SRR1265512	SRR1265612	SRR1265513	SRR1265613	SRR1265614	SRR1265514	SRR1265515	SRR1265615	SRR1265616	SRR1265516	SRR1265517	SRR1265617	SRR1265518	SRR1265618	SRR1265519	SRR1265619	SRR1265620	SRR1265520	SRR1265521	SRR1265621	SRR1265622	SRR1265522	SRR1265523	SRR1265623	SRR1265624	SRR1265524	SRR1265625	SRR1265525	SRR1265526	SRR1265626	SRR1265527	SRR1265627	SRR1265528	SRR1265628	SRR1265529	SRR1265629	SRR1265530	SRR1265531	SRR1265532	SRR1265632	SRR1265633	SRR1265534	SRR1265634	SRR1265635	SRR1265535	SRR1265636	SRR1265537	SRR1265637	SRR1265638	SRR1265538	SRR1265639	SRR1265539	SRR1265540	SRR1265640	SRR1265641	SRR1265642	SRR1265542	SRR1265543	SRR1265643	SRR1265644	SRR1265544	SRR1265545	SRR1265546	SRR1265646	SRR1265547	SRR1265647	SRR1265548	SRR1265648	SRR1265549	SRR1265649	SRR1265550	SRR1265650	SRR1265651	SRR1265551	SRR1265652	SRR1265552	SRR1265553	SRR1265653	SRR1265554	SRR1265654	SRR1265555	SRR1265655	SRR1265656	SRR1265556	SRR1265657	SRR1265557	SRR1265658	SRR1265558	SRR1265559	SRR1265659	SRR1265560	SRR1265660	SRR1265661	SRR1265561	SRR1265562	SRR1265563	SRR1265564	SRR1265665	SRR1265566	SRR1265666	SRR1265667	SRR1265567	SRR1265668	SRR1265669	SRR1265569	SRR1265570	SRR1265670	SRR1265671	SRR1265571	SRR1265572	SRR1265672	SRR1265673	SRR1265573	SRR1265574	SRR1265674	SRR1265575	SRR1265675	SRR1265676	SRR1265577	SRR1265677	SRR1265678	SRR1265578	SRR1265679	SRR1265579	SRR1265680	SRR1265580	SRR1265681	SRR1265582	SRR1265682	SRR1265683	SRR1265583	SRR1265584	SRR1265585	SRR1265586	SRR1265587	SRR1265590	SRR1265592	SRR1265593	SRR1265594	SRR1265595	SRR1265495	SRR1265496	SRR1265596	SRR1265597	SRR1265497	SRR1265598	SRR1265498	SRR1265599	SRR1265499
__libsize__	3576523305	3472781976	5190777367	3368589968	3199140503	3613390753	3430737424	6727319891	3091169442	3389860538	2730044069	5210307903	3043122407	2910883560	4028423523	3180554721	3500845604	3503852176	3099611844	3822257433	2778393036	3860183254	2888627227	3336655722	3621400359	4451087833	3773681662	3313951442	2806472391	2765421349	3038572593	3486631607	3064497182	3074335383	3350820873	3680346342	3595218742	3727960563	3467906590	2809573267	3373942943	3885483251	3498307043	3538520534	3194208353	4565054478	2846105345	2980379771	3395173687	3026173124	3171074609	3407662937	3462388392	3200615250	3037651484	2700000601	3180570934	3268516669	3799934792	3321607101	2832965449	2951560983	5257110416	3635989454	2916838816	3247000046	3256272034	3414044138	2883276925	3815668094	3252861117	3547618534	3170433833	4863144496	4252153473	2819234765	2874372793	2981954449	3078118385	3337229795	3114506091	2708742470	3203663129	3162034020	3818061006	2803486202	4230004076	3113572827	3324171529	3035932145	3126534258	2784195499	2964316006	3030473205	2946679072	3102947001	2949795925	3508058584	2919650789	3138447225	2870612193	3333150617	3024154298	3283031091	3102863659	3155611182	4562139599	3680709430	2532630962	3905066797	3017007840	3320792292	2878400859	3069465866	4388183458	3000818028	4322084537	3355728496	2956408297	3935663104	2754781977	3169857328	3334431892	2963539075	2654611330	3022255688	3087616749	3081161936	3147729609	3000574630	5016080942	3202816822	3689833871	2735841479	3547226380	3169025977	2843148404	3109528199	3406508658	3480343327	2995607045	3328100531	3491368613	2935141594	3411758017	3607555414	3244962771	3460988671	3100203101	2612213214	3211193168	4035202953	3651439302	3439460591	3605578509	3578402023	3134773052	3608377152	2700946346	3676280807	4144115844	3527590667	2957902870	3568906076	3951590304	3553282806	3504425179	3280491330	3317275885	3715997449
ACTB	7327847	8224932	18773217	6874398	9658747	8608473	9191607	17179514	10829106	7956712	6542679	15588771	6782881	8160712	10759100	7044907	7364221	7223631	10398917	11659283	6255197	12548989	5802769	7096812	12171772	11958551	12443549	7684587	8590271	6461921	8179435	10053605	7589100	7037307	6265097	10932716	12555293	8312305	11166391	5910760	12670689	14269350	9146119	10043146	7813355	12560779	7168452	8853060	9227725	10175638	10365634	13294103	6790344	7030594	9351305	9235180	12317487	10584398	11299203	8522494	5903600	6253168	12862307	9302694	7547699	10243896	7544527	11486075	8299819	9718111	13172113	9100831	10801824	14778922	11534676	6800569	7465138	7599195	6526961	6545626	6924153	6611891	6373108	8448831	8940413	7809403	13082421	8705864	10691940	8002482	8861930	6589392	6034438	5912857	8208186	9009589	8715596	13264842	7008311	10437463	5057433	8086832	6630253	6062670	10013187	9609327	11544835	9566977	7738777	11085094	7980964	10416482	7205009	8070294	13704888	10094403	13530581	10939625	10825404	17203194	8253298	8542938	9736616	9112703	7067903	8442151	5646592	11491231	10511103	16574895	10510428	8303561	10415954	9105384	10542469	11476355	9941399	6429458	7437528	9549261	5937187	6478603	10936442	8363664	6886337	7714430	8142239	7922360	14849724	5811484	12486354	8993451	10969437	10519477	10042254	7622704	6696173	9239238	5211576	9210258	9563698	8051520	6982993	7911779	9314545	8632714	14735770	11189392	17815239	12774885
AGER	3209883	4062648	4310874	3551039	942985	2006585	4125874	6869246	81739	1400132	1330618	4220945	5211809	1824096	2760362	1756359	6881072	2069931	818041	6153163	2188635	2841458	598172	3754342	6009230	9118688	4312337	3915560	179810	1410314	5425231	2326919	2094224	2296817	777460	2514363	2694604	2200512	3661816	3779884	4205217	2758671	3869608	3591272	1823104	2476815	2773393	1316387	2018312	553082	2438286	4668151	207947	4007004	330070	2729193	6130137	1750938	4479556	38893	2479293	3792052	2674137	5566339	1030660	4346507	1536046	3510474	975047	547894	5588692	2601860	3093579	4786133	3427905	2283643	196223	3905208	979780	2837052	832331	761146	2982482	2301869	1106697	7087530	1207207	2416664	1648006	2783998	1537894	577558	2574187	1143834	2557236	2197879	2085012	5488019	2854105	1422703	1325385	4997515	2944833	2281683	2587509	3302179	8124350	3484950	3434358	6578595	1981992	4331508	1262715	1994921	5607583	3630932	4115179	6159534	2118144	1975642	1408331	1821563	2406373	1571949	2938206	4360119	1818629	1884934	1628618	1661790	3300163	2355109	3403677	4325201	2776084	2470965	1025168	1635836	3932975	5597516	1940090	1752155	2732188	2120651	2281951	2124982	1718349	4080610	3860180	1538764	941630	2818427	2712460	6352006	5550744	4688768	2274922	2924955	999046	4199470	3880955	1666888	3015900	1418282	808156	2290640	1514676	3792211	358242	6134405
CDH1	420880	467998	878565	690134	608703	807483	443492	955924	504653	395268	485632	1017645	627474	321312	572279	485027	671896	769171	424998	479200	557483	387828	245975	550962	530136	746194	962634	487487	68450	388352	567268	703067	439841	363283	1046642	460524	357980	758777	553518	462736	490955	744089	520022	386910	632048	790330	395239	708208	382589	508366	335467	725956	1108349	524840	593220	386951	471216	445573	869977	518642	712093	625823	719464	964829	575868	569905	479315	186816	296038	756974	386799	430894	332689	473692	400072	507280	351564	695177	393809	570450	533307	281791	565928	665198	465027	371468	529715	332605	621961	549494	371657	591538	556940	741212	328677	616149	484232	483263	576818	538367	539634	389579	581077	409965	497211	595729	774189	653425	304839	485053	507674	419823	464475	459192	633148	400864	829337	519078	325489	448686	668804	556023	385566	626841	583774	375318	574136	672678	564609	463430	747697	521003	699913	306715	593800	527337	1368060	595045	835490	591533	576254	493585	352367	503616	587274	768224	412459	551215	411029	581160	333483	606521	385825	869818	315908	790264	680079	475786	563327	707816	883657	384005	420351	337219	209810	637313	347105	553411	126596	416414
CLDN4	114441	144348	206997	171635	322661	277696	136890	407296	193711	85878	123574	209007	145438	203237	157657	119560	172573	150740	80429	164348	123104	154570	58242	181440	205974	286283	394875	189760	31767	92346	138219	169557	107113	96596	231037	267203	119765	153671	157300	123564	219034	521362	136488	199186	313730	279249	113479	134521	133768	147236	137037	362726	684523	108320	108384	256089	219525	134984	500026	601299	164326	195052	491119	368758	76239	191662	83668	83969	51051	198853	130876	90828	109403	216357	137726	102552	80346	200651	111914	149919	135604	100106	133957	180571	128095	116421	161151	77243	165247	215604	170140	366349	97022	138910	184014	146435	138083	211858	175542	279010	93047	119999	261103	121347	207145	289156	246098	195969	165411	140976	140022	216147	83132	126842	248655	142085	313359	185969	126083	246507	257874	133793	133664	180405	122575	164696	115887	162852	231255	135910	257494	85058	256363	136068	167614	151465	468441	88540	140609	191617	140247	103073	114704	163703	197623	115964	154847	169929	179816	111618	124868	93831	138065	303557	128843	249965	105505	160857	84162	207105	369454	73540	289833	199061	65855	164228	88108	232849	48257	259378
COL1A1	384144	385286	3559980	198539	1685187	400467	415445	934319	1190501	2795055	1040988	11841589	426099	640040	3659116	400542	371061	528867	1335102	562706	187530	1203885	2652344	288116	285211	837673	1951472	294769	6108960	171669	433078	891049	273248	723449	2453342	821176	5092832	1122052	1471133	587530	488407	3300889	334307	326211	897277	6422123	332007	6563397	799848	11815059	961531	302944	694443	337959	7447003	273900	543714	1085596	429686	4322960	634483	350617	435900	317726	2375474	916136	3196384	1456625	1772124	10259299	2325120	1192770	893606	1105444	8727680	903197	8139129	195317	1097670	390606	3177389	3186902	413274	652287	6856157	402295	9239097	723002	1130067	892774	1012145	546877	255651	470626	357655	3578899	685111	1149979	138902	1944194	713088	706483	169691	181802	1055958	433059	2441707	379731	330171	1571443	220401	344306	4830033	346431	447967	544118	605625	1315215	386170	654285	1437407	1766651	785537	3626924	274781	797906	297500	371907	1042667	1429335	1262327	708776	2238274	728514	1175130	948144	1182327	444979	247393	1144018	792745	381895	1322564	611212	1650501	2742288	494701	543435	361805	520176	5318563	827080	1073129	317631	221556	984304	1100927	3654801	585713	660422	438866	1663652	634333	538184	4162626	1598574	12643176	1066461	304836	427483
ELF3	516374	204806	306859	476719	1533198	964292	181718	2412770	693917	463332	236224	317627	190921	333416	648640	365897	203021	350560	126324	361898	231860	345761	358806	566078	805816	1354347	685892	1263082	66542	463439	369499	248554	481228	169263	907455	1102517	99852	892697	264066	126247	600360	1282849	431280	901712	515998	521066	211439	390506	509083	253299	559262	444059	1968901	352164	262961	867308	793799	512942	1971880	686262	290381	521132	1481877	2672299	97464	708698	234822	267090	107927	428290	351754	168352	190690	286502	400373	180239	213314	359103	352094	281741	532975	184396	267502	293140	327506	291212	470436	130520	640008	371145	655675	1407888	155060	509217	1360445	954531	250355	341021	615770	1208936	195396	266430	795174	531050	1096616	1025234	401696	286066	796690	167477	577309	1265269	381426	404116	529903	205845	584850	197580	385259	564537	985840	478349	255642	420136	183817	1054413	244153	496074	1040376	386765	510389	139011	317726	191197	978935	371317	907597	465084	728276	172400	254803	278172	169422	400487	274189	197540	212286	655238	449691	183877	812268	163209	701493	1312575	291097	226889	569861	208902	424743	245634	951160	249768	1132466	870519	117451	228173	160599	277112	129175	1293464
EPCAM	226028	332519	511476	514997	252848	224855	244568	590871	621120	181011	207225	603916	413072	155375	219261	229482	371585	239657	154268	398992	294576	254929	122732	259369	303879	335387	367448	258048	36470	173668	327532	311798	225593	242776	303161	263905	233342	260922	323010	280433	304770	376159	319275	186402	290633	296518	328062	240876	209040	244324	235360	587160	522268	355709	129131	384803	245529	252029	469920	575723	248979	354942	383191	433590	130196	310831	174196	119330	121569	228020	290776	172842	224814	375315	217125	257847	147414	404856	208589	292889	138126	145604	322373	379368	140561	287493	185267	238807	179139	229108	159429	211141	275539	285099	233021	210713	224729	284060	236117	270782	220397	252428	238131	253099	321637	286407	376745	323112	199214	300286	238705	264951	201308	249499	418980	358927	449412	299059	192187	188447	217709	208830	260013	230346	257396	275640	364849	228551	237443	211097	392558	216561	346699	232896	302995	284028	453194	333656	326379	326372	240766	352631	238134	262354	294935	388280	298727	267331	282023	230026	169263	418517	218013	443646	200741	476747	236729	252335	207676	352072	450195	193313	251137	132205	98333	283338	135646	275186	64073	147891
FOXA2	96457	112527	263498	103168	71961	61961	113241	368865	10570	75076	76668	287168	185344	49575	72876	64326	84595	82797	73449	218110	103403	144241	33313	56965	187327	128980	181950	149523	18416	60144	120580	146333	62020	90522	79624	54465	90276	123229	93260	90749	169337	123825	103944	91023	196171	256429	96219	81992	90150	70208	142565	156164	239360	127404	83380	93473	118096	83983	283722	45234	140272	87367	172267	167086	53711	140869	61347	97296	51699	75113	92406	102478	95956	99488	109571	84121	44817	172508	21257	99487	90556	41883	88539	141584	66388	121784	95296	71305	105245	97522	55128	69118	67709	84257	125226	87058	88980	192431	154458	107641	94598	77539	166005	76065	104049	208190	111976	163596	100322	131348	86769	85293	63842	75146	110329	72094	262806	133123	67351	107914	162825	84774	124460	153512	124011	38331	72851	99834	139982	101014	168424	84623	176862	120036	122040	165170	118437	79444	202175	160654	130195	58824	101998	105152	122177	90824	94368	79049	106242	81699	73930	129120	124884	189643	82654	114151	94830	112339	38713	146300	169938	41418	108936	75873	37951	130828	32040	153359	18154	133748
FOXJ1	11707	53960	40410	263206	491211	203081	19837	27475	9790	2915	11026	36473	114664	171796	29349	6588	21884	46496	4839	124877	5312	6196	4506	43815	13982	23968	508013	5242	3863	3187	19589	57442	3725	10107	589002	25308	18215	9330	38672	9533	9321	391611	126391	98581	186659	15903	7590	93595	223219	16996	26175	392793	2604699	19809	7949	254225	71895	5346	453930	45582	236907	163397	550677	37399	4445	8479	4894	27253	7150	84684	50278	5148	46853	19544	25377	9157	52367	213330	38062	6339	31578	10725	52206	32642	111804	18525	32814	10520	21850	192005	20529	925073	14220	142910	12064	38522	103790	56848	33962	13882	7137	12525	202848	9436	26234	408768	121083	22887	14825	27234	5107	78843	32053	108142	27436	27314	9789	81774	3484	192106	43176	7322	8164	168031	25148	5717	48750	22313	8562	83158	237360	8087	307485	36233	7841	8906	86274	53572	10000	88536	23630	6517	10600	185938	127152	116944	16201	59801	145919	5600	5892	7657	7062	108361	31918	187838	18412	14227	3529	12042	367762	4608	136659	11622	23427	16750	12300	21127	67381	67340
