gene	SRR7695500	SRR7695501	SRR7695502	SRR7695503	SRR7695504	SRR7695505	SRR7695506	SRR7695507	SRR7695508	SRR7695509	SRR7695510	SRR7695511	SRR7695512	SRR7695513	SRR7695514	SRR7695515	SRR7695516	SRR7695517	SRR7695518	SRR7695519	SRR7695520	SRR7695521	SRR7695522	SRR7695523	SRR7695524	SRR7695525	SRR7695526	SRR7695527	SRR7695528	SRR7695529	SRR7695482	SRR7695483	SRR7695484	SRR7695485	SRR7695486	SRR7695487	SRR7695488	SRR7695489	SRR7695490	SRR7695491	SRR7695492	SRR7695493	SRR7695494	SRR7695495	SRR7695496	SRR7695497	SRR7695498	SRR7695499
__libsize__	995153367	977333004	848211798	837634957	882789170	874883673	798190891	789037908	831211419	823492132	824189111	811601907	859650091	849699285	829110655	818582783	862285855	853647756	956183549	945404550	996495639	985503367	827323206	818001307	860602185	851060354	787983732	776324377	821143450	812525592	875518387	864527759	910360234	902791126	857973193	846262256	893162505	885909291	829144131	818895846	863286590	857130626	768067387	759161393	798082042	791067823	952406277	940442465
ACTB	3392522	3318982	1694791	1664737	1769982	1769409	3484847	3367607	3620015	3591988	1792143	1746230	1867298	1843980	1619531	1605630	1700630	1660266	1265611	1240711	1323970	1298519	1079178	1067534	1143412	1144786	1408563	1364146	1484247	1450161	4237976	4119603	4436468	4427975	3447938	3370077	3592756	3570491	2694198	2657075	2843755	2792527	2165951	2135180	2291949	2263527	3229821	3187264
AGER	528941	519501	345394	344495	350203	357221	78055	75567	85853	79241	575886	569210	606308	608681	261767	262691	279832	277240	583882	564460	604455	597291	88665	91247	98136	91395	106816	104082	108618	108595	61536	59764	63809	64300	464052	455297	483461	478453	353403	357711	384596	388725	635460	631413	678939	658779	508406	489929
CDH1	92295	90664	84464	82289	90132	90402	120637	117202	115604	117184	122740	126353	136211	130624	141763	142021	148924	150820	265721	256150	272581	271381	142793	144964	150259	146687	69101	66397	74000	70710	93789	87634	94797	93367	72702	68414	71521	73985	175564	174207	183063	175886	116733	112613	119027	117686	84058	88227
CLDN4	175542	164303	89450	91990	92260	93216	168102	169074	166742	171047	117547	113266	121578	123217	178067	178016	182412	177515	198832	188168	213688	205521	105866	105747	121358	113734	112754	107997	112720	114664	84402	85396	94468	88405	119108	124382	133663	125506	126229	122732	134863	137399	76012	77484	80536	77058	161046	166363
COL1A1	276250	280986	223268	223658	237312	240503	204263	203101	216551	215373	109597	108166	115832	120570	414123	404015	435797	428906	545181	554551	568711	564790	465227	458262	472563	473351	207111	199891	222140	218920	653809	631977	673788	670663	191578	185680	202713	202435	773858	764688	805119	791755	189710	181589	194325	195819	269426	268381
ELF3	241048	248968	94309	91014	92738	99660	311485	312223	330562	329116	376065	376108	393029	395995	292027	286517	299717	299246	246713	250662	268036	264733	170767	170513	180663	180912	235261	224934	254607	246779	166997	166917	179422	177357	223461	229091	230003	228002	182086	188400	190836	195195	52174	53642	60451	57634	234846	235496
EPCAM	89131	86427	69248	66403	69129	71973	63717	64228	69105	63119	88635	83926	85988	85458	71595	68923	70861	75387	123765	123140	129036	123484	67601	63004	67497	65359	46062	44499	44499	46926	65722	62978	62912	65189	70286	72646	75168	69680	103559	102533	108523	111134	83777	77406	79014	78461	85212	81635
FOXA2	19307	18520	23755	20641	25435	23319	20035	18591	19931	16704	25649	24942	27351	28302	40442	35420	38986	37910	25419	22746	23743	22355	27377	25429	28371	27620	24425	23921	25318	28444	25239	25826	26316	26927	20816	21783	25410	22616	26437	31218	28793	32021	27131	27116	27007	27014	19762	18524
FOXJ1	27179	22579	3594	3887	3515	3931	10079	9198	10848	9504	5038	3665	5432	5825	13411	12712	12413	13404	9554	8406	9051	8396	26603	26108	25051	26732	26798	24434	26845	26553	7785	6777	7228	7315	14206	12355	13042	10577	12179	12599	11578	12664	5690	6395	5168	6548	27348	26650
GAPDH	1381918	1375009	506912	498085	532812	535215	847857	854489	890575	886749	426063	428004	452702	446911	768242	782517	810463	817642	608641	618440	660087	655984	602200	606557	638015	637447	519163	520259	549821	545490	874398	865754	931709	931613	767298	760875	798227	810755	616486	618958	643540	636370	364173	355526	376920	383022	1287568	1312605
GRHL1	7605	6446	2248	2237	2388	1923	17016	15487	16324	16319	12507	12042	12304	11891	13410	15180	15008	15264	12626	13364	15202	14277	10845	10658	11568	10209	7226	6543	7166	8201	7160	7240	6019	5686	7140	6984	6759	5206	7254	5875	6859	6053	2009	2632	2399	2840	5827	5894
KLF4	235773	232327	254433	253193	268569	244596	135858	133558	135113	140448	253081	249690	270881	251334	224445	221861	227661	220345	189650	195518	200232	195946	404245	424947	449922	422342	501977	497484	514824	499028	320504	317748	333637	320847	382166	374985	394654	377672	180720	182355	195943	185228	159617	156912	160746	157579	224321	222424
KRT19	181974	179870	88849	83417	92009	95339	200055	200637	221494	203005	132033	133327	137566	137723	192163	188744	197090	194365	258857	257032	257951	268750	99225	95005	100365	95022	68683	64261	72689	72718	100047	95754	100746	101604	129563	133460	142049	137232	233856	237279	253052	249735	123781	114723	118929	115935	178794	174531
KRT5	2813	2816	525	592	674	961	673	450	599	821	150	297	300	150	4238	3650	4175	4041	375	0	0	372	5015	6874	5945	5439	815	1418	1486	1027	586	591	750	818	470	225	523	675	1227	1047	674	952	150	300	225	225	2767	1891
