gene	SRR3680937	SRR3680938	SRR3680939	SRR3680940	SRR3680941	SRR3680942	SRR3680943	SRR3680944	SRR3680945	SRR3680946	SRR3680947	SRR3680948	SRR3680949	SRR3680950	SRR3680951	SRR3680952	SRR3680953	SRR3680954
__libsize__	1437577477	1979001914	2338838214	2217167513	2492252685	2398973004	2069143839	1925303989	2298474550	2365877294	2194917645	2499849048	2085140555	1970669152	2466449551	2182151243	2047886767	1427923053
ACTB	3888678	7285561	7348109	2856341	2688234	2825023	4003398	3395836	4180198	2771413	2551665	2742668	5425406	4727951	5276733	5836871	4413628	5194678
AGER	40001	30199	104740	135975	97435	655695	284985	487457	98046	136956	101550	523823	2602510	1302825	878283	8172665	5419962	12461216
CDH1	368324	544580	501154	674762	874215	602998	541166	616304	826229	592832	717744	687845	560619	528848	1001878	725608	550613	515154
CLDN4	924203	997022	891212	1138909	1240720	1185862	2431657	2090202	3409612	1043291	939774	1092647	2156009	1631909	2834155	1079928	805339	541882
COL1A1	37663	58200	90912	56373	72695	109108	47735	73711	93845	50238	40456	106983	45282	56540	126499	52660	89964	88248
ELF3	774155	915310	1101322	1663561	1451931	1847158	3611860	3300962	4307753	2334299	1284025	1773289	4420341	3893851	5650533	1958037	1121228	590137
EPCAM	98126	110482	178284	347466	352724	374999	374554	327240	399365	401294	347475	409957	457126	421402	461816	593478	347853	667178
FOXA2	6534	5546	12442	106044	116247	125782	7194	24043	12027	106902	108462	96274	70839	67266	65165	107500	100533	79186
FOXJ1	13776	14225	31285	47673	39283	168121	1874444	1621009	1998940	11012	17615	103990	560948	995556	1009018	32083	53571	49492
GAPDH	1481184	2216450	2177347	642926	750944	539714	769181	711803	804217	708381	622076	621211	940958	753996	909059	667161	764582	511051
GRHL1	27914	45728	58807	20366	39513	38288	72569	105244	97976	10282	29002	28201	139768	149410	262961	16422	48390	10777
KLF4	1931772	1701186	3545254	1017920	897991	1174292	1048361	1062480	1571151	713759	463687	1338531	1446899	1133341	1728052	478572	598118	274367
KRT19	1912245	2745621	3282871	1153235	1230439	817045	2102016	1868739	2195058	1034142	857982	739406	2241069	1281236	1842009	1726240	1307399	1014906
KRT5	6142422	8642096	8799011	297373	251295	66184	73510	28230	65283	1065	16296	11015	18444	18978	34304	91510	524276	94797
KRT8	1621472	2791386	2582578	2439282	2982102	2070230	3122647	2993382	3392000	3065997	2586994	2726027	3944179	3054193	3395344	3277247	1707162	1624611
MUC5AC	11258	25240	4238	139637	68155	142584	2457182	7862252	1067625	1815	2462	1680	641588	190097	264834	1639	3403	112
NKX2-1	102794	168018	196978	664001	621847	1039399	53444	112046	68693	759473	556137	720266	407393	460257	296503	939189	836187	680360
PTPRC	1274	2187	5047	2051	4486	6279	2066	1783	6426	6544	1479	9288	7316	1895	13504	5403	982	5257
SCGB1A1	206596	223819	622060	862175	809382	3111936	19495887	50027544	35313878	65746	204759	663336	88430841	30614170	89528376	358713	159994	207011
SCGB3A2	23300	92693	36296	400447	882760	124222	113998	1792703	688177	563043	1074620	206744	8600647	12109084	11651655	575663	598345	49480
SFTPB	3641915	1895525	6120181	63879192	69186350	69496802	581856	3624853	1662960	75223973	71873719	81143840	23888300	24457791	20743970	48905157	31427419	15693258
SFTPC	7854289	3181646	10557656	138426161	91024230	127821420	259716	281132	446868	184171198	97862684	170821735	8059220	1203310	4016372	97421772	28083021	23780233
SOX2	93282	114570	197200	12659	18579	27455	259947	215370	321354	2195	3552	12739	104559	144845	155933	7636	31373	7128
TACSTD2	2251209	2976408	2737981	1133651	1104434	719949	1813928	1858748	2612047	842783	944016	766087	2138535	1468602	2533883	1359457	1100661	897622
TFAP2A	64817	84856	103709	6628	9088	5828	57161	54827	66343	273	1298	1566	38191	47412	48502	4711	28324	3377
TP63	559812	696572	873558	28950	26709	15929	6444	2759	6611	10244	11500	17760	3361	1891	4856	23404	103713	24234
