gene	SRR1533006	SRR1533007	SRR1533008	SRR1533009	SRR1533010	SRR1533011	SRR1533012	SRR1533013	SRR1533015	SRR1533016	SRR1533017	SRR1533018	SRR1533019	SRR1533020	SRR1533021	SRR1533022
__libsize__	2072989245	1099055941	78863674	29809213	1409729193	1590541657	82324312	38148931	1060343231	853529546	88561433	37715108	1243780264	813251845	63723344	50573192
ACTB	8825911	4366220	812	833	1806345	1852147	2558	1206	2943539	2227684	1476	718	3085157	1601421	1717	1237
AGER	6776	3046	178	32	5586	5973	826	905	4701	4003	2167	1118	24717	12377	1280	635
CDH1	1478253	784663	1766	1294	422025	491002	4858	3422	2957	1950	2304	1177	1547953	987156	2045	1418
CLDN4	916975	485860	2072	1865	450077	402459	2852	1710	2261	2043	2976	992	476770	335071	2593	1427
COL1A1	288195	144966	4041	1433	1875	1674	1849	1378	207606	185222	4249	2241	42462	28264	5001	4927
ELF3	184883	130033	3711	2356	368190	567266	2912	1942	428	535	5824	1201	174571	99198	3635	3192
EPCAM	1086198	568437	1897	649	551024	505425	815	800	71790	66827	1513	456	607305	400299	1121	738
FOXA2	3244	2103	720	644	171219	201639	2631	1514	0	0	519	396	789	180	774	410
FOXJ1	80573	46180	1101	144	167832	263314	563	580	177	108	994	85	6508	3983	577	247
GAPDH	5082904	2887137	591	651	1699299	2101409	1356	1194	461987	373493	1239	559	1249395	808936	1267	1021
GRHL1	178908	97962	7645	2655	6993	7342	3491	1839	17032	13870	7176	3095	53638	38688	5393	3052
KLF4	1891	2114	748	140	15930	33148	1076	106	286	216	1620	184	15646	10542	629	503
KRT19	2000616	1118897	1019	439	120045	156911	576	147	1231	424	1294	670	557407	427300	630	409
KRT5	885	890	1368	1637	46	55	2789	1458	0	0	4188	1852	125	101	2515	2642
KRT8	2145242	1427979	2757	2540	1724225	1857599	4225	3450	9959	8348	3146	1946	4042747	2516383	3957	3899
MUC5AC	542	140	2487	1528	0	84	5092	3276	14	0	7721	4155	108	0	5951	5486
NKX2-1	605804	270442	8063	4363	237963	144610	2917	1533	52846	29551	3221	1203	80539	38413	4305	3441
PTPRC	144	66	5824	1232	0	37	3852	2304	914	670	5204	2501	72	0	4260	3615
SCGB1A1	36	72	270	145	0	0	147	58	36	0	396	255	0	0	144	146
SCGB3A2	455	108	352	324	0	0	238	106	0	0	427	216	0	4	531	518
SFTPB	46950	11230	3237	3346	44206	17727	406	619	20	72	1276	848	36	0	1261	1168
SFTPC	88	36	712	467	1519	859	1933	1769	0	0	1391	801	0	0	901	737
SOX2	99766	48433	1511	432	30646	38954	1255	520	54749	53641	1584	95	10579	9158	1330	1003
TACSTD2	325189	176266	836	287	531	287	756	252	537	286	1007	468	251987	183404	1114	861
TFAP2A	19089	11643	3639	1820	330	397	4499	2319	2219	1684	6844	1681	60087	45941	4464	2989
TP63	66750	23178	4418	2475	174	34	4194	3253	28740	24690	2922	1689	4007	2558	5750	4459
