gene	SRR1706900	SRR1706800	SRR1706801	SRR1706901	SRR1706802	SRR1706902	SRR1706903	SRR1706803	SRR1706804	SRR1706904	SRR1706905	SRR1706805	SRR1706806	SRR1706906	SRR1706907	SRR1706807	SRR1706908	SRR1706808	SRR1706809	SRR1706909	SRR1706910	SRR1706810	SRR1706811	SRR1706911	SRR1706812	SRR1706912	SRR1706913	SRR1706813	SRR1706914	SRR1706814	SRR1706915	SRR1706815	SRR1706916	SRR1706816	SRR1706917	SRR1706817	SRR1706918	SRR1706818	SRR1706919	SRR1706819	SRR1706820	SRR1706920	SRR1706921	SRR1706821	SRR1706822	SRR1706922	SRR1706823	SRR1706923	SRR1706824	SRR1706924	SRR1706925	SRR1706825	SRR1706826	SRR1706926	SRR1706827	SRR1706828	SRR1706829	SRR1706830	SRR1706831	SRR1706832	SRR1706833	SRR1706834	SRR1706835	SRR1706836	SRR1706837	SRR1706838	SRR1706839	SRR1706840	SRR1706841	SRR1706842	SRR1706843	SRR1706844	SRR1706845	SRR1706846	SRR1706847	SRR1706848	SRR1706849	SRR1706850	SRR1706851	SRR1706852	SRR1706853	SRR1706854	SRR1706855	SRR1706856	SRR1706857	SRR1706858	SRR1706859	SRR1706860	SRR1706861	SRR1706862	SRR1706863	SRR1706864	SRR1706865	SRR1706866	SRR1706867	SRR1706767	SRR1706768	SRR1706868	SRR1706769	SRR1706869	SRR1706770	SRR1706870	SRR1706871	SRR1706771	SRR1706872	SRR1706772	SRR1706773	SRR1706873	SRR1706774	SRR1706874	SRR1706875	SRR1706775	SRR1706876	SRR1706776	SRR1706777	SRR1706877	SRR1706878	SRR1706778	SRR1706779	SRR1706879	SRR1706880	SRR1706780	SRR1706881	SRR1706781	SRR1706782	SRR1706882	SRR1706783	SRR1706883	SRR1706884	SRR1706784	SRR1706885	SRR1706785	SRR1706886	SRR1706786	SRR1706787	SRR1706887	SRR1706788	SRR1706888	SRR1706889	SRR1706789	SRR1706890	SRR1706790	SRR1706791	SRR1706891	SRR1706792	SRR1706892	SRR1706893	SRR1706793	SRR1706794	SRR1706894	SRR1706795	SRR1706895	SRR1706896	SRR1706796	SRR1706797	SRR1706897	SRR1706798	SRR1706898	SRR1706899	SRR1706799
__libsize__	944540820	790648008	792632097	946497129	788014013	950780002	757876959	717688256	719321996	757194558	759181269	721536990	718063433	762899209	933815895	724997586	932064822	726801755	729101529	934253300	939340196	725752751	1301399648	1502336656	1302723255	1500006322	1503127168	1307107863	1509829979	1300725865	1298704720	864366422	1297427625	868410489	1298989770	869720203	1304204210	865619925	1174070594	706268563	706016584	1172943779	1175132036	707981986	704656836	1179966556	594066417	977969326	595118235	976102770	978325115	597273483	593765770	982354094	826967697	828290363	830643638	826421073	892465018	894219894	896452597	893159059	832521153	832482442	833277943	829532250	829536667	829029766	831557855	827317268	854762272	856523798	858235883	853815805	922655446	920440112	923090037	928417443	2138100230	2134088335	2139307707	2147761353	1914960233	1913832384	1917560746	1926131216	1149035119	1147039543	1150112017	1154407677	953884090	954853270	956007404	960181334	970705339	841301388	843833786	968622392	846397678	971563032	842322739	976045514	1258856582	849742990	1256395126	850551934	852982764	1258827758	849104005	1264683159	1416772484	828230357	1414730396	830982775	832414509	1417738618	1423615459	828241882	868294593	1884382827	1882293686	870372810	1884388185	873139570	869339381	1892826591	814175816	877548928	875747351	814567310	879554116	814897705	884162229	811397832	807309981	950738736	809060987	949871651	951613790	810357407	956239375	806934705	819865402	939488589	821205576	935064729	940250509	823852140	819678109	949020750	849839959	1020062125	1018118407	850313379	853060846	1021047990	848726945	1026492394	944650632	790198233
ACTB	7865807	2972540	2966396	7862680	2874747	7936393	6920219	3077702	3044886	6907041	6940354	3079011	3073235	6973380	4546989	1989566	4559249	1974545	1996143	4536913	4557304	1973135	3969333	8185050	4000102	8176454	8102445	4028326	8233796	3990403	7788377	3082880	7757739	3060739	7816625	3132307	7780791	3094373	7680420	2725015	2766291	7688680	7726329	2744643	2755607	7769136	2537308	6950880	2529313	6941792	6988618	2517694	2531650	7063121	2024174	2053654	2018984	2050898	2561169	2567878	2564191	2551544	2603761	2620583	2630599	2613074	2976082	2958704	3008333	2982453	3494917	3511171	3549043	3505810	3362678	3351710	3362205	3383596	9393235	9390478	9382390	9412401	10040426	10081640	10071998	10061136	6895716	6839422	6859296	6922697	6557289	6556515	6512229	6525275	4874710	1584381	1596875	4853339	1574542	4888898	1574749	4899813	7172750	1982662	7166822	1978365	1995436	7155972	1986689	7152170	8744616	2290152	8717936	2352975	2320574	8729344	8784517	2346562	2837643	12873261	12830582	2848723	12860924	2861257	2858844	12938581	3133340	6424853	6338537	3158246	6400261	3161614	6416848	3151413	2102115	5676572	2113630	5651791	5666224	2085048	5738715	2109492	2463253	6395192	2501151	6346398	6402652	2483599	2478952	6423369	2911499	7545248	7518477	2900384	2929058	7586198	2926150	7608620	7851993	2927566
AGER	3517	1011	1636	3182	845	3925	2866	1015	1197	2570	2085	1238	1151	2283	2840	1817	2743	1507	1853	3707	3169	1748	2758	5123	2946	4419	4700	2563	5459	2628	4051	1877	2826	1764	4104	1565	3118	2474	3525	1845	1033	3283	4769	1823	1199	2963	1162	2246	1339	2914	3190	1247	1333	2809	1086	1448	1127	1809	1267	1250	1544	1196	1252	1525	1548	1509	978	1794	959	1415	1695	1242	876	910	3419	4093	3025	1933	8291	7452	7399	8573	6422	6800	7940	6001	4556	3515	3827	5529	3044	2649	3204	2751	2640	969	2062	3321	2113	2412	916	3836	3842	2304	3060	1208	1596	3462	1801	3571	3376	1042	3361	1581	1718	3508	3572	2310	1495	5884	5326	1095	6789	1429	1613	5600	933	2269	2813	1840	3093	1421	2294	1239	1232	4872	1996	4353	2978	1360	4067	1056	981	3457	1780	3453	4379	1213	1294	2959	1629	3910	3897	951	1214	2679	1828	3256	3668	943
CDH1	199796	131442	124415	196941	128596	199947	75125	51219	60353	70745	76501	52999	54577	76085	665057	341889	653870	344707	342832	657405	662958	343327	478792	802488	483417	821919	839557	478251	804779	477527	510597	232582	522199	241085	526396	237851	527703	234883	292988	124390	120922	306638	312720	122278	119233	300467	48116	116050	46080	118982	121555	49583	47581	121808	338755	344349	337968	333373	281404	295118	274387	288040	200609	208482	200485	200181	131666	128447	132218	124742	57071	56045	61983	62755	715398	698670	715553	714218	1279369	1269255	1251497	1270409	785422	771522	783906	771918	293386	288977	289544	296761	108820	108227	104251	102573	684485	379089	389247	677503	388381	672387	379770	693384	687637	300244	666349	312448	308579	686194	299243	681429	565514	211304	575883	217557	215607	548386	568074	208037	145929	478375	492710	145048	495719	142352	141149	484082	54128	110682	106088	55993	106352	51282	111426	60130	352852	528289	351729	548092	546676	353877	520597	339950	271260	418714	271681	408614	405936	271400	277759	414468	206308	325413	331964	217485	213518	333080	206046	335550	198357	124269
CLDN4	118398	49527	46421	117020	52768	118561	73860	32707	35102	80022	72775	35359	35566	78364	163562	68610	154512	76937	67454	156584	154604	79100	113087	216086	114533	220177	225803	111353	225411	107335	166035	61256	168050	62556	167503	64598	170244	64358	130562	41836	38661	116220	122913	40609	41646	119223	25571	77446	25414	75810	74270	28271	26348	73963	87902	83975	83865	83717	76892	83706	78136	85709	63336	60442	64652	66076	52479	54539	50140	52886	40590	39009	36227	38177	208618	204000	204388	215790	384154	389962	389335	391981	277383	270001	269680	277788	119241	119916	127275	120922	70145	73206	68320	69270	178759	107710	103891	174496	110410	175825	108935	176415	200879	84633	205052	87869	91410	201582	85887	206389	175764	66567	186068	62342	67233	182117	181732	70834	55669	207174	200147	56198	203941	57222	53188	203374	33370	70734	76828	34856	69073	34457	74100	35477	84438	202717	85884	201090	196191	87207	199445	89530	76445	162151	80294	167115	170514	80413	77276	170351	70970	151643	150250	68224	77244	155797	72633	157579	122322	51866
COL1A1	302407	66619	61090	296622	62179	295160	313206	77124	79740	315567	310568	77355	74482	309740	15261	5088	19386	4333	5130	18695	14590	4050	57489	219230	59851	209566	211815	59306	213986	66482	353451	76464	349816	78111	352228	76008	360109	75323	457401	88385	87576	463573	464835	85016	88809	467015	90163	464096	96238	465344	462516	94465	96490	463579	4901	3643	4779	4282	32871	31831	32385	30797	51957	55001	50462	53929	68938	71396	73834	73109	100143	104815	105864	104067	15435	16813	15551	17879	214846	223797	223924	236059	347001	350119	345826	357381	298726	301126	290812	291142	320369	328910	329042	331265	17337	4718	4658	16427	4290	16824	3853	17263	177128	22153	172942	20163	19953	172890	20740	174438	345254	31198	334074	36496	34309	337136	336139	34127	46555	688617	691478	42402	698544	46420	44853	696704	58212	382523	392002	59899	384139	58530	390263	54700	4351	12342	3495	14060	13157	4078	14616	3635	28114	109982	27745	107904	103141	28723	27328	109417	55118	223651	213765	52445	50653	212600	50618	219397	298694	61822
ELF3	46016	25462	23051	49943	21151	46423	13075	7127	6080	12749	12154	7677	7634	13197	150894	66394	145901	65046	68570	149517	155623	68924	91300	187433	92145	175189	181526	92435	182738	98117	105869	41266	105470	39247	102719	40124	112161	41233	58702	19479	19632	57680	58893	21694	19822	57856	6616	11609	4999	9362	11841	5573	6557	11912	84100	84017	81639	79163	65528	71117	70754	68482	44079	46932	45593	48327	24982	23928	25878	24132	7177	7291	5502	6884	200986	196641	194958	201313	324903	327294	333345	333385	195978	194638	189778	196936	60982	59862	63411	62052	8617	8848	8600	7376	146589	104621	101181	144163	107998	151832	106643	146730	146505	78598	145974	83980	85929	148379	85027	143643	111702	51197	107401	53869	53920	111143	108857	54303	31725	89022	88917	29379	86211	30140	31494	92592	4243	12233	11273	4849	14001	4559	12662	4156	75535	154091	79447	155535	151813	81542	153070	74383	58972	118902	60040	113895	115417	59144	58667	119209	49001	86535	90140	41633	43587	92635	47202	86795	46542	22252
EPCAM	156569	72762	68495	155892	70609	158458	89097	49311	46958	89174	84359	47497	51419	93351	261006	120463	273662	121498	116495	269965	263007	115526	178733	363624	184438	356366	360980	176636	365276	180484	253331	101257	254039	100193	250413	96141	256198	101651	177478	59522	61422	171440	178018	65584	61095	178574	37304	111594	34866	113590	109245	35733	36861	110816	130084	135830	133492	130354	114521	119749	117540	120625	93914	95090	93511	91638	76095	79798	78024	83398	58214	56996	54819	54647	287346	280405	288770	294331	532612	532035	528141	539112	385540	382108	388002	379752	171581	170762	165020	170748	97721	102195	108090	102211	278025	142864	141840	275620	144688	278098	138282	275520	298981	115754	307999	124546	126490	300519	124833	301523	283576	97695	277313	94843	90696	264881	272295	93751	85552	273594	269709	86329	275346	88796	82671	274932	53861	95546	90412	57940	91114	55455	99291	55417	136647	310500	132188	323561	315234	144896	325965	137866	120294	264380	121033	258976	260124	116891	120762	258333	97916	224057	222521	94211	95691	222972	103411	225029	159555	74610
FOXA2	4598	1900	1297	4581	1598	5739	5190	2598	2290	4893	3726	2126	1588	5388	1599	696	999	478	100	700	1566	273	1677	2964	1697	2594	3682	1085	3404	1784	4760	1659	4403	1685	4358	900	5305	1420	4763	1645	1794	6267	5598	2291	2097	5490	2798	6169	1498	5901	5095	2671	2474	5754	698	771	798	698	1598	1353	894	1564	1489	1461	1978	1500	1940	3095	2531	2281	2460	4073	3463	1599	1287	1266	1469	1036	6182	6084	4977	4985	8930	6792	7612	5482	4349	5841	5781	5433	5613	4765	5299	5765	1197	200	393	1100	100	999	698	1100	2791	1082	2923	1337	299	2677	1194	3461	4186	1060	3599	1660	898	3979	5396	2156	2160	8056	6705	1687	8399	2577	3769	7251	3221	3728	3894	3290	4090	2482	4717	3092	399	947	100	1099	1000	787	1248	200	599	2591	999	2881	2896	899	1125	2891	2193	3101	2862	1381	2290	2370	1867	4419	4046	1993
FOXJ1	4098	1298	2199	4785	1099	4091	3779	2000	1984	3292	5899	2778	2519	4788	0	93	0	300	100	0	0	0	843	2794	999	1200	2675	1077	1298	895	3271	1000	3596	1197	2993	1600	2892	1498	4365	1597	1300	5575	4585	1400	1212	4286	2191	4190	1666	6249	4839	1400	1195	4093	0	0	0	0	1200	643	519	798	1498	1344	1196	1400	1784	2185	3182	1994	2493	2899	2905	2996	151	296	100	300	4499	4462	4386	4591	7189	7076	5630	6187	6575	4984	6685	6074	6561	6264	6679	7377	0	100	0	0	97	0	100	100	1200	899	1600	1499	971	1670	1300	1490	3287	1390	2898	1498	1600	3686	2789	2190	3193	6761	7992	2775	6509	2476	2696	5687	3577	4563	4446	3650	3577	3690	4099	2883	0	100	98	0	100	100	0	0	700	788	600	1799	1871	1500	600	1499	1098	2997	3785	1172	1796	3493	599	1999	4283	2364
