n_high,n_low,median_high,median_low,median_diff,median_diff_ci_low,median_diff_ci_high,mann_whitney_u,mann_whitney_p,auc_high_higher,auc_bootstrap_95ci_low,auc_bootstrap_95ci_high,cliffs_delta,detected_high,detected_low,detection_fisher_p,n_total,gene,endpoint,stratum,expression,high_label,low_label
8,25,1.93020636068525,1.18966644665005,0.7405399140352,-1.8015549020205204,2.475605481336519,102.0,0.9497564679012256,0.51,0.305,0.715,0.020000000000000018,8.0,24.0,1.0,33,CLDN4,RECIST_ORR,pooled,raw,Responder,Nonresponder
5,12,0.949348164288563,0.8805343200273625,0.06881384426120041,-2.1988601782345327,2.140766121562343,34.0,0.7121781172552228,0.5666666666666667,0.25,0.85,0.1333333333333333,5.0,12.0,1.0,17,CLDN4,RECIST_ORR,PD_,raw,Responder,Nonresponder
3,13,3.41156183099426,4.8851350466313,-1.4735732156370398,-2.4373974887724,3.5672501987832903,15.0,0.5904816173489396,0.38461538461538464,0.15384615384615385,0.6153846153846154,-0.23076923076923073,3.0,12.0,1.0,16,CLDN4,RECIST_ORR,RCC_,raw,Responder,Nonresponder
4,23,3.250445241163845,1.25156762060825,1.998877620555595,-1.7309068332542745,3.1080916540685513,56.0,0.5167279184620508,0.6086956521739131,0.40217391304347827,0.8152173913043478,0.21739130434782616,4.0,22.0,1.0,27,CLDN4,RECIST_ORR,nivo_monotherapy,raw,Responder,Nonresponder
8,25,0.6597350364388272,0.8111430181905617,-0.15140798175173442,-1.3516899675908105,1.7030581115167833,96.0,0.8831088076860801,0.48,0.285,0.67,-0.040000000000000036,,,,33,CLDN4,RECIST_ORR,pooled_prefix_residualized,prefix_residual,Responder,Nonresponder
8,25,-1.8300801281582921,-0.808437349299244,-1.021642778859048,-3.546752900001341,2.333065344693193,82.5,0.4750650522633729,0.4125,0.17,0.67,-0.17500000000000004,8.0,24.0,1.0,33,TACSTD2,RECIST_ORR,pooled,raw,Responder,Nonresponder
5,12,-3.45798964446339,-1.760914799235465,-1.6970748452279252,-5.469549087953778,1.8177043452769117,14.0,0.10229172467490194,0.23333333333333334,0.016666666666666666,0.5166666666666667,-0.5333333333333333,5.0,12.0,1.0,17,TACSTD2,RECIST_ORR,PD_,raw,Responder,Nonresponder
3,13,1.66493787744175,-0.575615328461903,2.240553205903653,-0.7614445702517703,2.670666250089223,26.0,0.41954703025225326,0.6666666666666666,0.3076923076923077,1.0,0.33333333333333326,3.0,12.0,1.0,16,TACSTD2,RECIST_ORR,RCC_,raw,Responder,Nonresponder
4,23,0.41550527669422804,-0.710755714843358,1.126260991537586,-2.115477217419932,2.881443674273108,53.0,0.6572536475200992,0.5760869565217391,0.2391304347826087,0.9130434782608695,0.15217391304347827,4.0,22.0,1.0,27,TACSTD2,RECIST_ORR,nivo_monotherapy,raw,Responder,Nonresponder
8,25,-0.6712110190637153,-0.1997023315635742,-0.4715086875001411,-2.40209844357134,2.4382634391360316,80.0,0.41269293734841717,0.4,0.18,0.64,-0.19999999999999996,,,,33,TACSTD2,RECIST_ORR,pooled_prefix_residualized,prefix_residual,Responder,Nonresponder
10,18,1.1035889423470895,1.22061703362915,-0.11702809128206049,-2.2467335018857635,2.6671386753465685,88.0,0.9426659752794467,0.4888888888888889,0.2777777777777778,0.7111111111111111,-0.022222222222222254,10.0,17.0,1.0,28,CLDN4,curated_R_vs_NR,pooled,raw,R,NR
7,8,0.949348164288563,0.5809957441036008,0.36835242018496217,-2.61914333671226,1.769618811484957,27.0,0.9538571530616036,0.48214285714285715,0.17857142857142858,0.7857142857142857,-0.0357142857142857,7.0,8.0,1.0,15,CLDN4,curated_R_vs_NR,PD_,raw,R,NR
3,10,3.41156183099426,3.0683513336197747,0.34321049737448517,-2.409514413024665,4.151587235561293,15.0,1.0,0.5,0.2,0.8,0.0,3.0,9.0,1.0,13,CLDN4,curated_R_vs_NR,RCC_,raw,R,NR
6,17,2.155138827900105,1.25156762060825,0.9035712072918549,-2.729996218731195,3.2781201996066933,53.0,0.9163591402734885,0.5196078431372549,0.27450980392156865,0.7745098039215687,0.03921568627450989,6.0,16.0,1.0,23,CLDN4,curated_R_vs_NR,nivo_monotherapy,raw,R,NR
10,18,0.6597350364388272,0.32106260028320266,0.3386724361556246,-1.541703853072237,2.3752917262017554,90.0,1.0,0.5,0.2833333333333333,0.7166666666666667,0.0,,,,28,CLDN4,curated_R_vs_NR,pooled_prefix_residualized,prefix_residual,R,NR
10,18,-1.8300801281582921,-0.8608267915785885,-0.9692533365797036,-3.3549207248122745,2.4797986022524987,79.0,0.614609006417322,0.4388888888888889,0.2,0.6888888888888889,-0.12222222222222223,10.0,17.0,1.0,28,TACSTD2,curated_R_vs_NR,pooled,raw,R,NR
7,8,-3.45798964446339,-2.5504029020631753,-0.9075867424002149,-4.588725096482855,2.653448517499392,17.0,0.22431312651115398,0.30357142857142855,0.03571428571428571,0.6071428571428571,-0.3928571428571429,7.0,8.0,1.0,15,TACSTD2,curated_R_vs_NR,PD_,raw,R,NR
3,10,1.66493787744175,-0.6431855216526305,2.308123399094381,-0.7911644284147327,3.384005507531934,21.0,0.35254213749971297,0.7,0.3,1.0,0.3999999999999999,3.0,9.0,1.0,13,TACSTD2,curated_R_vs_NR,RCC_,raw,R,NR
6,17,-0.06408527100174849,-0.808437349299244,0.7443520782974955,-2.719884224837887,3.340624188597267,56.0,0.7526546912800326,0.5490196078431373,0.24509803921568626,0.8431372549019608,0.0980392156862746,6.0,16.0,1.0,23,TACSTD2,curated_R_vs_NR,nivo_monotherapy,raw,R,NR
10,18,-0.6712110190637153,-0.3836835351729722,-0.28752748389074306,-2.0226753920404965,2.5544648446126272,81.0,0.6836086269093582,0.45,0.21666666666666667,0.6944444444444444,-0.09999999999999998,,,,28,TACSTD2,curated_R_vs_NR,pooled_prefix_residualized,prefix_residual,R,NR
12,13,1.1035889423470895,0.52707033551266,0.5765186068344295,-3.9173465243733188,3.422853648161278,83.0,0.8066362801930473,0.532051282051282,0.2948717948717949,0.7692307692307693,0.0641025641025641,12.0,12.0,1.0,25,CLDN4,CB_vs_NCB,pooled,raw,CB,NCB
8,5,0.8620939620579444,-0.471928835421265,1.3340227974792094,-1.168473687663027,5.8736819363331545,27.0,0.341349313954759,0.675,0.325,1.0,0.3500000000000001,8.0,5.0,1.0,13,CLDN4,CB_vs_NCB,PD_,raw,CB,NCB
4,8,3.752941182645105,3.0683513336197747,0.6845898490253304,-2.1431220350845126,4.607421339213375,16.0,1.0,0.5,0.125,0.875,0.0,4.0,7.0,1.0,12,CLDN4,CB_vs_NCB,RCC_,raw,CB,NCB
7,12,3.08932865133343,0.889318978060455,2.200009673272975,-3.435957941667515,4.121995492738798,46.0,0.7673797763586829,0.5476190476190477,0.2857142857142857,0.8095238095238095,0.09523809523809534,7.0,11.0,1.0,19,CLDN4,CB_vs_NCB,nivo_monotherapy,raw,CB,NCB
