study	panel	symbol	measured	n_probes_annotated	n_arrays_with_value	GSM557400	GSM557401	GSM557402	GSM558700	GSM558701	GSM558702	mean_log2	median_log2	t_1samp	p_1samp	q_BH_within_panel	direction	scanarray_median_log2	scanarray_direction	scanarray_n	mapping_note
GSE22421	PRIORITY	IFI27	yes	1	3	1.2510	0.5361	0.1110				0.6327	0.5361	1.9022	0.1975	0.3950	UP	-0.1307	DOWN	3	ORF
GSE22421	PRIORITY	OAS2	yes	1	3	-0.0740	0.2630	0.0841				0.0910	0.0841	0.9352	0.4484	0.6726	UP	0.4569	UP	3	ORF
GSE22421	PRIORITY	IFIT1	yes	1	3	2.0036	-0.2009	-0.9434				0.2864	-0.2009	0.3237	0.7769	0.7769	DOWN	-0.6498	DOWN	3	ORF
GSE22421	PRIORITY	MX1	yes	1	3	0.0566	0.1763	0.4005				0.2111	0.1763	2.0948	0.1712	0.3950	UP	0.0478	UP	3	ORF
GSE22421	PRIORITY	ISG15	yes	1	3	-0.5146	-0.0291	-0.3959				-0.3132	-0.3959	-2.1434	0.1653	0.3950	DOWN	0.1015	UP	3	G1P2->ISG15;ORF
GSE22421	PRIORITY	HLA-A	yes	11	3	-0.1203	0.3674	0.0286				0.0919	0.0286	0.6369	0.5894	0.7073	UP	-0.0012	DOWN	3	DESCRIPTION_PREFIX
GSE22493	PRIORITY	IFI27	yes	1	3				-2.6439	2.8420	-2.3219	-0.7079	-2.3219	-0.3983	0.7289	0.7289	DOWN	-2.4052	DOWN	3	ORF
GSE22493	PRIORITY	OAS2	yes	1	3				-0.2863	2.8115	0.1110	0.8787	0.1110	0.9030	0.4618	0.7289	UP	-1.5287	DOWN	3	ORF
GSE22493	PRIORITY	IFIT1	yes	1	3				-2.8365	-1.1203	-2.1203	-2.0257	-2.1203	-4.0703	0.0554	0.3324	DOWN	-3.6923	DOWN	2	ORF
GSE22493	PRIORITY	MX1	yes	1	2				-0.0740		0.7908	0.3584	0.3584	0.8289	0.5594	0.7289	UP	-0.5622	DOWN	2	ORF
GSE22493	PRIORITY	ISG15	yes	1	3				0.7137	1.7949	-1.0589	0.4832	0.7137	0.5809	0.6200	0.7289	UP	-1.6894	DOWN	3	G1P2->ISG15;ORF
GSE22493	PRIORITY	HLA-A	yes	11	3				-1.5995	0.7975	-1.7370	-0.8463	-1.5995	-1.0285	0.4118	0.7289	DOWN	-1.1958	DOWN	3	DESCRIPTION_PREFIX
