study	gsm	title	cell_line	ch1_Cy3	ch2_Cy5	deposited_value
GSE22421	GSM557400	CCPE Replicate 1	SKOV-3	untreated 72h	C-CPE 5ug/ml 72h	log2 ratio treated/control
GSE22421	GSM557401	CCPE Replicate 2	SKOV-3	untreated 72h	C-CPE 5ug/ml 72h	log2 ratio treated/control
GSE22421	GSM557402	CCPE Replicate 3	SKOV-3	untreated 72h	C-CPE 5ug/ml 72h	log2 ratio treated/control
GSE22493	GSM558700	CLDN4 Replicate 1	SKOV-3-IP-Luc	CLDN4 overexpression (control)	CLDN4 knockdown (lentiviral siRNA)	log2 ratio knockdown/control
GSE22493	GSM558701	CLDN4 Replicate 2	SKOV-3-IP-Luc	CLDN4 overexpression (control)	CLDN4 knockdown (lentiviral siRNA)	log2 ratio knockdown/control
GSE22493	GSM558702	CLDN4 Replicate 3	SKOV-3-IP-Luc	CLDN4 overexpression (control)	CLDN4 knockdown (lentiviral siRNA)	log2 ratio knockdown/control
