study	panel	symbol	probe	mapped_via	raw_symbol	alias_note	description	GSM557400	GSM557401	GSM557402	GSM557400_scan	GSM557401_scan	GSM557402_scan	GSM558700	GSM558701	GSM558702	GSM558700_scan	GSM558701_scan	GSM558702_scan
GSE22421	AXIS	CLDN4	17169	ORF	CLDN4		CLDN4--Claudin 4	0.1110	-0.4150	0.0000	-2.2895	0.1708	-0.5571						
GSE22421	AXIS	CLDN3	26927	ORF	CLDN3		CLDN3--Claudin 3	-0.2515	-0.6666	-2.6439	-2.2720	-1.3518							
GSE22421	PRIORITY	IFI27	13326	ORF	IFI27		IFI27--Interferon, alpha-inducible protein 27	1.2510	0.5361	0.1110	1.3782	-0.5271	-0.1307						
GSE22421	PRIORITY	OAS2	18303	ORF	OAS2		OAS2--2'-5'-oligoadenylate synthetase 2, 69/71kDa	-0.0740	0.2630	0.0841	-0.1898	0.7571	0.4569						
GSE22421	PRIORITY	IFIT1	29863	ORF	IFIT1		IFIT1--Interferon-induced protein with tetratricopeptide repeats 1	2.0036	-0.2009	-0.9434	3.0209	-0.6498	-0.8768						
GSE22421	PRIORITY	MX1	35937	ORF	MX1		MX1--Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	0.0566	0.1763	0.4005	0.1806	-3.2095	0.0478						
GSE22421	PRIORITY	ISG15	1952	ORF	G1P2	G1P2->ISG15	G1P2--Interferon, alpha-inducible protein (clone IFI-15K)	-0.5146	-0.0291	-0.3959	0.1015	0.5038	-0.8034						
GSE22421	PRIORITY	HLA-A	1461	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.5564	3.0892	-1.1520	-0.1711		-1.4117						
GSE22421	PRIORITY	HLA-A	2020	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.3219	1.0426	0.0704	-0.9344	1.6147	0.9161						
GSE22421	PRIORITY	HLA-A	4836	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	0.0566	1.0215	-1.2863	-0.1530		-3.3410						
GSE22421	PRIORITY	HLA-A	7509	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	1.1110	-0.3040	0.0286	4.3371	-3.4159	0.8885						
GSE22421	PRIORITY	HLA-A	8068	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	-0.2345	0.3674	-0.5353	0.1536	-0.1149	-0.6822						
GSE22421	PRIORITY	HLA-A	10884	DESCRIPTION_PREFIX	HLA-A		HLA-A--Major histocompatibility complex, class I, A	-0.3959	-0.0145	-0.2176	-0.5565	-1.4218	-0.9644						
GSE22421	PRIORITY	HLA-A	14116	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	0.0566	0.2869	0.1635	0.4358	1.0642	-0.4055						
GSE22421	PRIORITY	HLA-A	20164	DESCRIPTION_PREFIX	HLA-A		HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR	1.0426	0.2630	0.4854	1.6919	-0.0012	-0.3488						
