study	panel	symbol	measured	n_probes_annotated	n_arrays_with_value	GSM557400	GSM557401	GSM557402	GSM558700	GSM558701	GSM558702	mean_log2	median_log2	t_1samp	p_1samp	q_BH_within_panel	direction	scanarray_median_log2	scanarray_direction	scanarray_n	mapping_note
GSE22421	APM	HLA-A	yes	11	3	-0.1203	0.3674	0.0286				0.0919	0.0286	0.6369	0.5894	0.7073	UP	-0.0012	DOWN	3	DESCRIPTION_PREFIX
GSE22421	APM	HLA-B	yes	1	3	0.5361	1.8992	-0.6439				0.5971	0.5361	0.8127	0.5018	0.7073	UP	0.5354	UP	3	DESCRIPTION_PREFIX
GSE22421	APM	HLA-C	yes	3	3	-0.3959	-0.7612	-0.3040				-0.4870	-0.3959	-3.4881	0.0733	0.5072	DOWN	-0.5066	DOWN	3	DESCRIPTION_PREFIX
GSE22421	APM	B2M	yes	1	3	-1.1520	-0.9159	-0.2863				-0.7847	-0.9159	-3.0373	0.0935	0.5072	DOWN	-1.8405	DOWN	3	ORF
GSE22421	APM	NLRC5	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	APM	TAP1	yes	2	3	0.5717	1.4232	-0.2371				0.5859	0.5717	1.2223	0.3461	0.6922	UP	0.1333	UP	3	ORF
GSE22421	APM	TAP2	yes	3	3	-1.3959	0.4005	-0.4739				-0.4898	-0.4739	-0.9443	0.4447	0.7073	DOWN	-0.5387	DOWN	3	ORF
GSE22421	APM	TAPBP	yes	3	3	0.7655	0.2630	-0.7131				0.1051	0.2630	0.2422	0.8312	0.8312	UP	-0.7041	DOWN	3	ORF
GSE22421	APM	PSMB8	yes	2	3	0.2326	0.7409	0.1216				0.3651	0.2326	1.9149	0.1956	0.5868	UP	-0.1925	DOWN	3	ORF
GSE22421	APM	PSMB9	yes	2	3	0.2983	0.2755	-1.0339				-0.1534	0.2755	-0.3484	0.7608	0.8300	UP	0.0915	UP	3	ORF
GSE22421	APM	PSMB10	yes	1	3	0.9336	-0.0439	2.7549				1.2149	0.9336	1.4814	0.2767	0.6641	UP	1.1465	UP	3	ORF
GSE22421	APM	ERAP1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	APM	ERAP2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	APM	CALR	yes	2	3	0.2392	1.4358	-0.4964				0.3929	0.2392	0.6978	0.5575	0.7073	UP	-0.8961	DOWN	3	ORF
GSE22421	APM	CANX	yes	17	3	0.2869	0.4647	0.0841				0.2786	0.2869	2.5336	0.1268	0.5072	UP	-0.0179	DOWN	3	ORF
GSE22421	APM	PDIA3	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	APM	HLA-A	yes	11	3				-1.5995	0.7975	-1.7370	-0.8463	-1.5995	-1.0285	0.4118	0.7932	DOWN	-1.1958	DOWN	3	DESCRIPTION_PREFIX
GSE22493	APM	HLA-B	yes	1	3				-1.5564	2.3277	-2.1203	-0.4497	-1.5564	-0.3216	0.7783	0.8249	DOWN	-1.8952	DOWN	3	DESCRIPTION_PREFIX
GSE22493	APM	HLA-C	yes	3	3				-1.2515	1.0566	-1.2515	-0.4821	-1.2515	-0.6267	0.5949	0.7932	DOWN	-0.6663	DOWN	3	DESCRIPTION_PREFIX
GSE22493	APM	B2M	yes	1	3				-2.5564	2.2296	-3.1844	-1.1704	-2.5564	-0.6846	0.5643	0.7932	DOWN	-2.5919	DOWN	3	ORF
GSE22493	APM	NLRC5	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	APM	TAP1	yes	2	3				-1.9030	2.3537	-1.4717	-0.3403	-1.4717	-0.2516	0.8249	0.8249	DOWN	-1.9654	DOWN	3	ORF
GSE22493	APM	TAP2	yes	3	3				-0.5564	-3.0589	-0.1681	-1.2611	-0.5564	-1.3922	0.2985	0.7932	DOWN	-1.2730	DOWN	3	ORF
GSE22493	APM	TAPBP	yes	3	3				-1.3585	0.5460	-0.5601	-0.4575	-0.5601	-0.8286	0.4945	0.7932	DOWN	-0.8896	DOWN	3	ORF
GSE22493	APM	PSMB8	yes	2	3				0.3274	1.0575	-0.1330	0.4173	0.3274	1.2040	0.3518	0.7932	UP	-0.1857	DOWN	3	ORF
GSE22493	APM	PSMB9	yes	2	3				0.9381	3.0522	1.7093	1.8999	1.7093	3.0757	0.0914	0.7932	UP	0.4669	UP	3	ORF
GSE22493	APM	PSMB10	yes	1	3				-0.3771	-0.0893	0.2141	-0.0841	-0.0893	-0.4927	0.6710	0.8052	DOWN	-0.5591	DOWN	3	ORF
GSE22493	APM	ERAP1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	APM	ERAP2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	APM	CALR	yes	2	3				0.3342	-0.2087	0.5829	0.2361	0.3342	1.0104	0.4187	0.7932	UP	0.1039	UP	3	ORF
GSE22493	APM	CANX	yes	17	3				-1.2515	0.8718	-1.3959	-0.5919	-1.2515	-0.8074	0.5042	0.7932	DOWN	-0.7962	DOWN	3	ORF
GSE22493	APM	PDIA3	no	0	0												NA		NA	0	NOT_ON_GPL10555
