study	gene_set	n_in_gmt	n_in_set_measured	es	nes	p_perm_1000	note
GSE22421	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	70	0.2449	0.7724	0.8550	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22421	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	154	0.3058	1.0142	0.4650	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22421	HALLMARK_INFLAMMATORY_RESPONSE	200	165	0.2955	0.9788	0.5570	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22421	HALLMARK_ALLOGRAFT_REJECTION	200	170	0.3061	1.0148	0.4700	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22421	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	164	0.3765	1.2510	0.0440	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22421	HALLMARK_MYC_TARGETS_V1	200	154	0.4454	1.4758	0.0000	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22421	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	164	0.3535	1.1687	0.1140	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	70	-0.1809	-0.6771	0.5870	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	150	-0.2437	-1.0245	0.2570	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_INFLAMMATORY_RESPONSE	200	149	-0.2322	-0.9549	0.3690	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_ALLOGRAFT_REJECTION	200	155	-0.2602	-1.0945	0.1700	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	156	-0.1919	-0.8067	0.6030	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_MYC_TARGETS_V1	200	153	0.1744	0.7803	0.3350	preranked on gene-mean deposited log2; n=3 arrays; descriptive
GSE22493	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	164	0.1942	0.8670	0.3070	preranked on gene-mean deposited log2; n=3 arrays; descriptive
