panel	symbol	GSE22421_measured	GSE22421_n	GSE22421_median_log2	GSE22421_direction	GSE22421_p_1samp	GSE22493_measured	GSE22493_n	GSE22493_median_log2	GSE22493_direction	GSE22493_p_1samp	same_sign	mapping_note
AXIS	CLDN4	yes	3	0.0000	ZERO	0.5914	yes	2	-1.2250	DOWN	0.2520	NA	ORF
AXIS	CLDN3	yes	3	-0.6666	DOWN	0.2490	yes	3	-0.8625	DOWN	0.0064	yes	ORF
AXIS	TACSTD2	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
PRIORITY	IFI27	yes	3	0.5361	UP	0.1975	yes	3	-2.3219	DOWN	0.7289	no	ORF
PRIORITY	OAS2	yes	3	0.0841	UP	0.4484	yes	3	0.1110	UP	0.4618	yes	ORF
PRIORITY	IFIT1	yes	3	-0.2009	DOWN	0.7769	yes	3	-2.1203	DOWN	0.0554	yes	ORF
PRIORITY	MX1	yes	3	0.1763	UP	0.1712	yes	2	0.3584	UP	0.5594	yes	ORF
PRIORITY	ISG15	yes	3	-0.3959	DOWN	0.1653	yes	3	0.7137	UP	0.6200	no	G1P2->ISG15;ORF
PRIORITY	HLA-A	yes	3	0.0286	UP	0.5894	yes	3	-1.5995	DOWN	0.4118	no	DESCRIPTION_PREFIX
APM	HLA-A	yes	3	0.0286	UP	0.5894	yes	3	-1.5995	DOWN	0.4118	no	DESCRIPTION_PREFIX
APM	HLA-B	yes	3	0.5361	UP	0.5018	yes	3	-1.5564	DOWN	0.7783	no	DESCRIPTION_PREFIX
APM	HLA-C	yes	3	-0.3959	DOWN	0.0733	yes	3	-1.2515	DOWN	0.5949	yes	DESCRIPTION_PREFIX
APM	B2M	yes	3	-0.9159	DOWN	0.0935	yes	3	-2.5564	DOWN	0.5643	yes	ORF
APM	NLRC5	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
APM	TAP1	yes	3	0.5717	UP	0.3461	yes	3	-1.4717	DOWN	0.8249	no	ORF
APM	TAP2	yes	3	-0.4739	DOWN	0.4447	yes	3	-0.5564	DOWN	0.2985	yes	ORF
APM	TAPBP	yes	3	0.2630	UP	0.8312	yes	3	-0.5601	DOWN	0.4945	no	ORF
APM	PSMB8	yes	3	0.2326	UP	0.1956	yes	3	0.3274	UP	0.3518	yes	ORF
APM	PSMB9	yes	3	0.2755	UP	0.7608	yes	3	1.7093	UP	0.0914	yes	ORF
APM	PSMB10	yes	3	0.9336	UP	0.2767	yes	3	-0.0893	DOWN	0.6710	no	ORF
APM	ERAP1	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
APM	ERAP2	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
APM	CALR	yes	3	0.2392	UP	0.5575	yes	3	0.3342	UP	0.4187	yes	ORF
APM	CANX	yes	3	0.2869	UP	0.1268	yes	3	-1.2515	DOWN	0.5042	no	ORF
APM	PDIA3	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	ISG15	yes	3	-0.3959	DOWN	0.1653	yes	3	0.7137	UP	0.6200	no	G1P2->ISG15;ORF
IFN_IMMUNE	MX1	yes	3	0.1763	UP	0.1712	yes	2	0.3584	UP	0.5594	yes	ORF
IFN_IMMUNE	MX2	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	OAS1	yes	3	0.5558	UP	0.3061	yes	3	0.6323	UP	0.6697	yes	ORF
IFN_IMMUNE	OAS2	yes	3	0.0841	UP	0.4484	yes	3	0.1110	UP	0.4618	yes	ORF
IFN_IMMUNE	OAS3	yes	3	0.4222	UP	0.0035	yes	3	0.5753	UP	0.4054	yes	ORF
IFN_IMMUNE	OASL	yes	3	0.9635	UP	0.1953	yes	2	-0.7058	DOWN	0.7273	no	ORF
IFN_IMMUNE	RSAD2	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	IFIT1	yes	3	-0.2009	DOWN	0.7769	yes	3	-2.1203	DOWN	0.0554	yes	ORF
IFN_IMMUNE	IFIT2	yes	3	-0.6439	DOWN	0.4358	yes	3	-1.3219	DOWN	0.7433	yes	ORF
IFN_IMMUNE	IFIT3	yes	3	-0.6897	DOWN	0.0863	yes	3	-0.5995	DOWN	0.9860	yes	ORF
IFN_IMMUNE	IFIT5	yes	3	0.2987	UP	0.3541	yes	3	-0.0291	DOWN	0.9549	no	ORF
IFN_IMMUNE	IFITM1	no	0		NA		no	0		NA		NA	NOT_ON_GPL10555
IFN_IMMUNE	IFITM2	yes	3	0.1503	UP	0.4784	yes	3	0.7527	UP	0.3444	yes	ORF
