study	gene_set	n_in_list	n_measured_ge2_arrays	n_missing_or_lt2	missing_or_lt2	n_mean_up	n_mean_down	median_set_mean_log2	mean_set_mean_log2	median_background_mean_log2	n_background_genes	mannwhitney_U	mannwhitney_p	set_shift
GSE22421	AXIS	3	2	1	TACSTD2	0	2	-0.6443	-0.6443	0.3448	16832			DOWN
GSE22421	PRIORITY	6	6	0		5	1	0.1515	0.1667	0.3448	16832	39291.0	0.3466	DOWN
GSE22421	APM	16	12	4	NLRC5,ERAP1,ERAP2,PDIA3	8	4	0.1919	0.1430	0.3448	16832	80496.5	0.2235	DOWN
GSE22421	IFN_IMMUNE	73	60	13	MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,IL32,IFNL1	40	20	0.3857	0.3351	0.3448	16832	492191.5	0.7349	UP
GSE22421	TJ	27	25	2	CLDN5,EPCAM	19	6	0.1911	0.3313	0.3448	16832	198028.5	0.6109	DOWN
GSE22493	AXIS	3	2	1	TACSTD2	0	2	-1.0588	-1.0588	-0.0265	15853			DOWN
GSE22493	PRIORITY	6	6	0		3	3	-0.1748	-0.3099	-0.0265	15853	42811.0	0.6720	DOWN
GSE22493	APM	16	12	4	NLRC5,ERAP1,ERAP2,PDIA3	3	9	-0.4536	-0.2609	-0.0265	15853	72711.5	0.1577	DOWN
GSE22493	IFN_IMMUNE	73	58	15	MX2,RSAD2,IFITM1,IFITM3,IFI44L,DDX60,XAF1,CMPK2,EIF2AK2,IRF9,NLRC5,CXCL9,CCL5,IL32,IFNL1	25	33	-0.2320	-0.1304	-0.0265	15853	423273.0	0.2964	DOWN
GSE22493	TJ	27	23	4	CLDN5,CLDN8,JAM2,EPCAM	7	16	-0.2653	-0.0597	-0.0265	15853	163715.0	0.3972	DOWN
