study	panel	symbol	measured	n_probes_annotated	n_arrays_with_value	GSM557400	GSM557401	GSM557402	GSM558700	GSM558701	GSM558702	mean_log2	median_log2	t_1samp	p_1samp	q_BH_within_panel	direction	scanarray_median_log2	scanarray_direction	scanarray_n	mapping_note
GSE22421	IFN_IMMUNE	ISG15	yes	1	3	-0.5146	-0.0291	-0.3959				-0.3132	-0.3959	-2.1434	0.1653	0.5902	DOWN	0.1015	UP	3	G1P2->ISG15;ORF
GSE22421	IFN_IMMUNE	MX1	yes	1	3	0.0566	0.1763	0.4005				0.2111	0.1763	2.0948	0.1712	0.5902	UP	0.0478	UP	3	ORF
GSE22421	IFN_IMMUNE	MX2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	OAS1	yes	1	3	-0.0589	0.5558	2.0072				0.8347	0.5558	1.3627	0.3061	0.5902	UP	0.5768	UP	3	ORF
GSE22421	IFN_IMMUNE	OAS2	yes	1	3	-0.0740	0.2630	0.0841				0.0910	0.0841	0.9352	0.4484	0.6257	UP	0.4569	UP	3	ORF
GSE22421	IFN_IMMUNE	OAS3	yes	1	3	0.4222	0.3561	0.4330				0.4038	0.4222	16.7981	0.0035	0.1840	UP	0.4047	UP	3	ORF
GSE22421	IFN_IMMUNE	OASL	yes	1	3	0.6041	3.3089	0.9635				1.6255	0.9635	1.9167	0.1953	0.5902	UP	1.7964	UP	2	ORF
GSE22421	IFN_IMMUNE	RSAD2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	IFIT1	yes	1	3	2.0036	-0.2009	-0.9434				0.2864	-0.2009	0.3237	0.7769	0.8324	DOWN	-0.6498	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IFIT2	yes	1	3	-1.6439	0.4957	-0.6439				-0.5974	-0.6439	-0.9665	0.4358	0.6257	DOWN	-0.7617	DOWN	2	ORF
GSE22421	IFN_IMMUNE	IFIT3	yes	1	3	-0.8625	-0.2345	-0.6897				-0.5956	-0.6897	-3.1798	0.0863	0.5610	DOWN	-0.5158	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IFIT5	yes	1	3	4.7623	0.2869	0.2987				1.7826	0.2987	1.1965	0.3541	0.5902	UP	2.9468	UP	3	ORF
GSE22421	IFN_IMMUNE	IFITM1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	IFITM2	yes	2	3	-0.3007	1.8414	0.1503				0.5637	0.1503	0.8646	0.4784	0.6406	UP	0.4182	UP	3	ORF
GSE22421	IFN_IMMUNE	IFITM3	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	IFI6	yes	1	3	0.2388	0.9635	-0.5564				0.2153	0.2388	0.4905	0.6723	0.7757	UP	1.0075	UP	3	G1P3->IFI6;ORF
GSE22421	IFN_IMMUNE	IFI27	yes	1	3	1.2510	0.5361	0.1110				0.6327	0.5361	1.9022	0.1975	0.5902	UP	-0.1307	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IFI35	yes	1	3	1.1570	0.6229	-0.1047				0.5584	0.6229	1.5272	0.2663	0.5902	UP	0.6691	UP	3	ORF
GSE22421	IFN_IMMUNE	IFI44	yes	1	3	-0.3401	0.1110	-0.6439				-0.2910	-0.3401	-1.3270	0.3157	0.5902	DOWN	-0.2974	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IFI44L	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	IFI16	yes	2	3	0.6452	1.1402	-0.2520				0.5112	0.6452	1.2546	0.3364	0.5902	UP	0.2322	UP	3	ORF
GSE22421	IFN_IMMUNE	DDX58	yes	1	3	0.3674	-3.1844	-1.0000				-1.2723	-1.0000	-1.2301	0.3437	0.5902	DOWN	-0.8857	DOWN	3	ORF
GSE22421	IFN_IMMUNE	IFIH1	yes	1	3	-0.2515	0.2141	-0.9434				-0.3269	-0.2515	-0.9723	0.4335	0.6257	DOWN	-0.4861	DOWN	3	ORF
GSE22421	IFN_IMMUNE	DDX60	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	XAF1	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	HERC5	yes	1	3	0.1635	0.6508	1.3103				0.7082	0.6508	2.1312	0.1668	0.5902	UP	0.3850	UP	3	ORF
GSE22421	IFN_IMMUNE	USP18	yes	1	3	3.1194	-0.4739	1.0909				1.2455	1.0909	1.1974	0.3538	0.5902	UP	0.8491	UP	3	ORF
GSE22421	IFN_IMMUNE	CMPK2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	BST2	yes	1	3	0.4751	-2.5564	-0.5353				-0.8722	-0.5353	-0.9787	0.4309	0.6257	DOWN	-0.8670	DOWN	3	ORF
GSE22421	IFN_IMMUNE	GBP1	yes	1	3	4.8037	0.9855	0.2510				2.0134	0.9855	1.4268	0.2898	0.5902	UP	-0.1915	DOWN	3	ORF
GSE22421	IFN_IMMUNE	GBP2	yes	1	3	-0.3771	0.6960	-0.7859				-0.1557	-0.3771	-0.3523	0.7583	0.8300	DOWN	-0.3287	DOWN	2	ORF
GSE22421	IFN_IMMUNE	GBP4	yes	1	3	0.9782	0.8639	1.6508				1.1643	0.9782	4.7430	0.0417	0.4170	UP	1.2990	UP	2	ORF
GSE22421	IFN_IMMUNE	GBP5	yes	2	3	1.0251	-0.5354	0.6786				0.3894	0.6786	0.8231	0.4970	0.6406	UP	-0.3545	DOWN	2	ORF
GSE22421	IFN_IMMUNE	EIF2AK2	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	IFN_IMMUNE	ZBP1	yes	1	3	1.8278	0.1110	0.7740				0.9043	0.7740	1.8090	0.2122	0.5902	UP	1.9234	UP	1	ORF
GSE22421	IFN_IMMUNE	STAT1	yes	3	3	1.5753	-0.3401	-0.0893				0.3820	-0.0893	0.6355	0.5901	0.7081	DOWN	-0.1017	DOWN	3	ORF
