study	panel	symbol	measured	n_probes_annotated	n_arrays_with_value	GSM557400	GSM557401	GSM557402	GSM558700	GSM558701	GSM558702	mean_log2	median_log2	t_1samp	p_1samp	q_BH_within_panel	direction	scanarray_median_log2	scanarray_direction	scanarray_n	mapping_note
GSE22421	TJ	CLDN1	yes	1	3	1.5460	1.8278	1.8600				1.7446	1.8278	17.4925	0.0033	0.0825	UP	1.8838	UP	3	ORF
GSE22421	TJ	CLDN2	yes	1	3	0.0976	-0.3771	0.6508				0.1238	0.0976	0.4167	0.7174	0.8540	UP	0.6957	UP	1	ORF
GSE22421	TJ	CLDN3	yes	1	3	-0.2515	-0.6666	-2.6439				-1.1873	-0.6666	-1.6087	0.2490	0.6713	DOWN	-1.8119	DOWN	2	ORF
GSE22421	TJ	CLDN4	yes	1	3	0.1110	-0.4150	0.0000				-0.1013	0.0000	-0.6330	0.5914	0.7937	ZERO	-0.5571	DOWN	3	ORF
GSE22421	TJ	CLDN5	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	TJ	CLDN6	yes	1	3	0.4114	0.9411	-0.1361				0.4055	0.4114	1.3039	0.3222	0.6713	UP	0.4311	UP	3	ORF
GSE22421	TJ	CLDN7	yes	1	3	1.0841	0.7137	0.5460				0.7813	0.7137	4.9146	0.0390	0.2340	UP	0.7101	UP	2	ORF
GSE22421	TJ	CLDN8	yes	1	3	1.0635	-0.6215	2.6064				1.0161	1.0635	1.0901	0.3895	0.7490	UP	0.7387	UP	2	ORF
GSE22421	TJ	CLDN9	yes	1	3	-0.8365	0.9709	1.5993				0.5779	0.9709	0.7915	0.5116	0.7937	UP	1.3503	UP	3	ORF
GSE22421	TJ	CLDN10	yes	3	3	0.5753	0.6690	-0.7612				0.1610	0.5753	0.3486	0.7606	0.8643	UP	0.8205	UP	3	ORF
GSE22421	TJ	CLDN12	yes	1	3	-1.0893	1.6276	-1.2515				-0.2377	-1.0893	-0.2546	0.8228	0.8943	DOWN	-1.3355	DOWN	2	ORF
GSE22421	TJ	CLDN18	yes	1	3	0.6960	0.3103	0.4854				0.4972	0.4854	4.4595	0.0468	0.2340	UP		NA	0	ORF
GSE22421	TJ	TJP1	yes	2	3	0.7499	-0.2602	0.0493				0.1797	0.0493	0.6013	0.6087	0.7937	UP	0.4042	UP	3	ORF
GSE22421	TJ	TJP2	yes	1	3	5.7407	0.8560	-0.7370				1.9532	0.8560	1.0023	0.4218	0.7532	UP	-0.9131	DOWN	3	ORF
GSE22421	TJ	TJP3	yes	1	3	0.7740	-0.6897	0.8156				0.3000	0.7740	0.6060	0.6061	0.7937	UP	-0.1990	DOWN	2	ORF
GSE22421	TJ	OCLN	yes	2	3	0.1790	-1.6807	0.2000				-0.4339	0.1790	-0.6960	0.5584	0.7937	UP	-0.1866	DOWN	3	ORF
GSE22421	TJ	MARVELD2	yes	2	3	0.8379	0.3717	0.4264				0.5453	0.4264	3.7060	0.0657	0.2737	UP	0.0698	UP	3	ORF
GSE22421	TJ	MARVELD3	yes	3	3	0.1635	0.9635	-1.3959				-0.0896	0.1635	-0.1294	0.9089	0.9468	UP	-0.4600	DOWN	3	ORF
GSE22421	TJ	F11R	yes	4	3	0.3276	0.0907	-0.1763				0.0807	0.0907	0.5545	0.6350	0.7937	UP	-0.2758	DOWN	3	ORF
GSE22421	TJ	JAM2	yes	1	3	0.7655	1.0976	1.3045				1.0559	1.0976	6.7257	0.0214	0.1783	UP		NA	0	ORF
GSE22421	TJ	JAM3	yes	1	3	0.7137	0.8560	0.1243				0.5647	0.7137	2.5210	0.1279	0.4568	UP	0.8119	UP	2	ORF
GSE22421	TJ	CGN	yes	1	3	0.4436	-0.2688	-0.1520				0.0076	-0.1520	0.0345	0.9756	0.9756	DOWN	-0.4208	DOWN	3	ORF
GSE22421	TJ	CDH1	yes	2	3	-0.4429	-0.6737	0.1274				-0.3297	-0.4429	-1.3850	0.3003	0.6713	DOWN	-0.3551	DOWN	3	ORF
GSE22421	TJ	CTNNB1	yes	2	3	0.5144	0.3449	0.3858				0.4151	0.3858	8.1305	0.0148	0.1783	UP	-0.0293	DOWN	3	ORF
GSE22421	TJ	CTNNA1	yes	1	3	0.0976	0.0841	0.0000				0.0606	0.0841	1.9836	0.1857	0.5803	UP	-0.1217	DOWN	2	ORF
GSE22421	TJ	EPCAM	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22421	TJ	CRB3	yes	2	3	0.0122	0.4706	0.0907				0.1911	0.0907	1.3504	0.3094	0.6713	UP	0.2404	UP	3	ORF
GSE22493	TJ	CLDN1	yes	1	3				-1.3959	0.2750	-0.8625	-0.6611	-0.8625	-1.3417	0.3117	0.6662	DOWN	-0.6264	DOWN	3	ORF
GSE22493	TJ	CLDN2	yes	1	2				1.8400		-2.0000	-0.0800	-0.0800	-0.0417	0.9735	0.9849	DOWN	-1.2289	DOWN	2	ORF
GSE22493	TJ	CLDN3	yes	1	3				-0.7859	-0.8625	-1.0291	-0.8925	-0.8625	-12.4320	0.0064	0.1472	DOWN	-1.3026	DOWN	3	ORF
GSE22493	TJ	CLDN4	yes	1	2					-1.7370	-0.7131	-1.2250	-1.2250	-2.3929	0.2520	0.6662	DOWN	-0.2126	DOWN	2	ORF
GSE22493	TJ	CLDN5	no	0	0												NA		NA	0	NOT_ON_GPL10555
GSE22493	TJ	CLDN6	yes	1	3				0.1506	-0.5564	-1.0893	-0.4984	-0.5564	-1.3878	0.2996	0.6662	DOWN	-0.3518	DOWN	3	ORF
GSE22493	TJ	CLDN7	yes	1	3				0.5059	-0.3585	-0.9434	-0.2653	-0.3585	-0.6303	0.5929	0.9298	DOWN	-0.4637	DOWN	3	ORF
GSE22493	TJ	CLDN8	yes	1	1						-3.3219	-3.3219	-3.3219				DOWN	-4.5110	DOWN	1	ORF
GSE22493	TJ	CLDN9	yes	1	3				0.1375	1.4906	5.4601	2.3627	1.4906	1.4793	0.2772	0.6662	UP	-1.0605	DOWN	3	ORF
GSE22493	TJ	CLDN10	yes	3	3				-1.4739	1.2630	-1.4344	-0.5484	-1.4344	-0.6055	0.6064	0.9298	DOWN	-2.4837	DOWN	3	ORF
GSE22493	TJ	CLDN12	yes	1	3				0.0841	-0.8890	0.7740	-0.0103	0.0841	-0.0214	0.9849	0.9849	UP	0.2643	UP	3	ORF
GSE22493	TJ	CLDN18	yes	1	3				-1.9434	-0.8625	1.9107	-0.2984	-0.8625	-0.2600	0.8192	0.9849	DOWN	0.6521	UP	3	ORF
GSE22493	TJ	TJP1	yes	2	3				-1.1726	-0.8930	-0.6445	-0.9034	-0.8930	-5.9228	0.0273	0.2093	DOWN	-1.1366	DOWN	3	ORF
GSE22493	TJ	TJP2	yes	1	2				0.8400	2.8679		1.8539	1.8539	1.8284	0.3186	0.6662	UP	-1.8139	DOWN	2	ORF
GSE22493	TJ	TJP3	yes	1	3				-4.3219	1.7004	1.7655	-0.2853	1.7004	-0.1414	0.9005	0.9849	UP	-2.2442	DOWN	3	ORF
GSE22493	TJ	OCLN	yes	2	3				-0.1349	0.3054	-0.3040	-0.0445	-0.1349	-0.2449	0.8294	0.9849	DOWN	-1.0119	DOWN	3	ORF
GSE22493	TJ	MARVELD2	yes	2	3				1.5331	-1.0301	-2.2515	-0.5828	-1.0301	-0.5226	0.6533	0.9391	DOWN	0.5424	UP	3	ORF
GSE22493	TJ	MARVELD3	yes	3	3				-1.9162	-1.0312	-0.5910	-1.1795	-1.0312	-3.0270	0.0940	0.5405	DOWN	-1.4244	DOWN	3	ORF
GSE22493	TJ	F11R	yes	4	3				-1.0234	0.8362	0.7566	0.1898	0.7566	0.3126	0.7842	0.9849	UP	-1.1417	DOWN	3	ORF
GSE22493	TJ	JAM2	yes	1	1					-5.0589		-5.0589	-5.0589				DOWN	4.7279	UP	1	ORF
GSE22493	TJ	JAM3	yes	1	3				1.3730	0.7824	1.0566	1.0707	1.0566	6.2745	0.0245	0.2093	UP	0.2024	UP	3	ORF
GSE22493	TJ	CGN	yes	1	3				-0.1844	2.1667	1.4330	1.1384	1.4330	1.6392	0.2428	0.6662	UP	-1.5036	DOWN	3	ORF
GSE22493	TJ	CDH1	yes	2	3				0.4297	0.6792	-0.9590	0.0500	0.4297	0.0980	0.9308	0.9849	UP	-0.9029	DOWN	3	ORF
GSE22493	TJ	CTNNB1	yes	2	3				0.1724	-0.0198	-0.8076	-0.2184	-0.0198	-0.7283	0.5422	0.9298	DOWN	-0.0929	DOWN	3	ORF
GSE22493	TJ	CTNNA1	yes	1	3				1.1440	-1.3959	-3.0589	-1.1036	-1.3959	-0.9031	0.4618	0.8851	DOWN	-0.1999	DOWN	3	ORF
