study	gsm	probe	deposited_log2	scanarray_log2	ch1_cy3_median_minus_B	ch2_cy5_median_minus_B
GSE22421	GSM557400	17169	0.1110	-2.2895	44.0000	9.0000
GSE22421	GSM557401	17169	-0.4150	0.1708	366.0000	412.0000
GSE22421	GSM557402	17169	0.0000	-0.5571	615.0000	418.0000
GSE22493	GSM558700	17169			89.0000	-39.0000
GSE22493	GSM558701	17169	-1.7370	1.2183	251.0000	584.0000
GSE22493	GSM558702	17169	-0.7131	-1.6435	1031.0000	330.0000
