ok	n	or_per_sd	ci_low	ci_high	p	log_or	se	cohort	spec	gene	n_high	n_low	high_R	high_NR	low_R	low_NR	median	or_response_high_vs_low	se_log_or	haldane	fisher_p	z_vs_0.42	p_vs_0.42	label	in_pool
True	16	0.23613380265172806	0.05010507706240704	1.1128447659169534	0.06802781202424815	-1.443356674229167	0.7909572771558971	Cho	continuous_log2_per_sd	CLDN4															
True	16	0.2874411949994736	0.07132128612780361	1.1584541595992925	0.07957344912096065	-1.2467369787979787	0.7111344255878065	Cho	continuous_log2_per_sd	TACSTD2															
	16		0.10401573895102821	9.613929681072701		0.0		Cho	median_split	TACSTD2	8.0	8.0	2.0	6.0	2.0	6.0	1586.0	1.0	1.1547005383792515	False	1.0	0.7512775294297126	0.45248564959185983		
	16		0.01158411713792811	1.7617366107674075		-1.9459101490553135		Cho	median_split_GEO_label	CLDN4	8.0	8.0	1.0	7.0	4.0	4.0	277.5	0.14285714285714282	1.2817398889233114	False	0.28205128205128205	-0.8413638294868684	0.40014414229560386	Cho GEO label (not pooled)	False
True	16	0.3943825818692116	0.11569988710565819	1.344319556161598	0.13699117070566352	-0.9304338208465156	0.6256743875954307	Cho	continuous_log2_per_sd_GEO_label	CLDN4															
	16		0.002552979607890831	1.355360458721184		-2.833213344056216		Cho	keratin_residual_KRT18_KRT19_median_split	CLDN4	8.0	8.0	0.0	8.0	4.0	4.0	0.5557533412945599	0.0588235294117647	1.6006534613300825	True	0.07692307692307693	-1.2280689254987525	0.21942109496331796		
True	16	0.4502787423464234	0.13434314111189946	1.5092020636929868	0.19600612023096986	-0.7978884605472637	0.6170762944198466	Cho	keratin_residual_KRT18_KRT19_per_sd	CLDN4															
True	73	0.6510656391860847	0.4030524236916687	1.0516906526607421	0.07942909222024529	-0.4291448136135598	0.24466521851014125	Gide_pre	continuous_deposited_per_sd	CLDN4															
True	73	0.7249763002824645	0.4524151707765355	1.1617440570551927	0.18127750288480626	-0.3216163139273341	0.2405809629521857	Gide_pre	continuous_deposited_per_sd	TACSTD2															
	73		0.2700784990444688	1.7212626503130437		-0.38299225225610584		Gide_pre	median_split	TACSTD2	36.0	37.0	18.0	18.0	22.0	15.0	3.4081	0.6818181818181818	0.47247467999070936	False	0.484367169012616	1.0254693763867821	0.30514176784523905		
	73		0.2143421504464925	1.3838322788143231		-0.6076625214241154		Gide_pre	keratin_residual_KRT18_KRT19_median_split	CLDN4	36.0	37.0	17.0	19.0	23.0	14.0	-0.6183310903424021	0.5446224256292906	0.4757750946164267	False	0.2433427145899172	0.5461362925902857	0.5849722541463519		
True	73	0.7133920972506413	0.4425785845081649	1.1499162007245283	0.16559053143861546	-0.3377240837040107	0.2435781400453606	Gide_pre	keratin_residual_KRT18_KRT19_per_sd	CLDN4															
