cell_type,epi_score,t_score,b_score,tb_score
CD45,-0.3481,0.0736,0.0947,0.0824
CD68,-0.2937,-0.0067,-0.0085,-0.0025
CK,0.4622,-0.173,-0.0801,-0.1323
