scope,rho_epi_vs_T,p_epi_vs_T,rho_epi_vs_B,p_epi_vs_B,rho_epi_vs_TB,p_epi_vs_TB,n
all_AOIs,-0.43881700529125917,1.4814139872556593e-28,-0.2702533212795772,4.088148706419114e-11,-0.42865901712912713,3.434893655597227e-27,577
within_CK,-0.3761909020068727,1.6945819656156306e-08,-0.22069595431841701,0.0012525777920391248,-0.3683856874592814,3.497969233278667e-08,211
within_CD45,-0.2601520544434636,0.0005267035358285083,-0.062292206497907114,0.4141790770451959,-0.21184999572880772,0.005011777379028932,174
within_CD68,0.03780382768629792,0.6026518800175326,-0.04213913680384125,0.561683992843081,0.03127288880449231,0.6667551942739985,192
