sample,dataset,ring,n_qc,n_index,n_used,rho_raw,p_raw,rho_partialEpi,p_partialEpi
P10_T1,E-MTAB-13530,1,2199,916,899,-0.21680595363002078,5.037739287720063e-11,-0.21672707363539298,5.1212541311663286e-11
P10_T1,E-MTAB-13530,2,2199,916,910,-0.2056960375532467,3.760978189983457e-10,-0.20209245565996392,7.672271000568038e-10
P10_T1,E-MTAB-13530,3,2199,916,914,-0.21726673018367418,3.158718859952465e-11,-0.2163244099087915,3.8567777757684567e-11
P10_T2,E-MTAB-13530,1,1981,834,816,-0.2856912556943313,8.610401515996167e-17,-0.28257479216239895,1.9062433834239928e-16
P10_T2,E-MTAB-13530,2,1981,834,826,-0.32449293137499297,1.0477379041258177e-21,-0.32232093117466015,2.0129945746929387e-21
P10_T2,E-MTAB-13530,3,1981,834,829,-0.3361663964936293,2.384025688786712e-23,-0.3346133261213943,3.891112464126646e-23
P10_T3,E-MTAB-13530,1,2604,1080,1046,-0.24957085294600093,2.5709526713699736e-16,-0.23270972324917633,2.4946456462537694e-14
P10_T3,E-MTAB-13530,2,2604,1080,1063,-0.20665543143822568,1.0220026787536883e-11,-0.18850237189510605,5.856274081995377e-10
P10_T3,E-MTAB-13530,3,2604,1080,1067,-0.2120817836037823,2.572570080062244e-12,-0.19734432363792756,7.886940663056584e-11
P10_T4,E-MTAB-13530,1,2468,979,943,-0.28518468066885777,4.1815974529011865e-19,-0.2767093600018042,4.904764173884322e-18
P10_T4,E-MTAB-13530,2,2468,979,959,-0.2660561909561604,5.2972417889132534e-17,-0.26446718920413365,8.222864479739528e-17
P10_T4,E-MTAB-13530,3,2468,979,965,-0.2910153410421459,2.7319405580521404e-20,-0.28176807045061736,4.536890715325341e-19
P11_T1,E-MTAB-13530,1,1099,455,450,-0.40745356813199374,1.9966783252674146e-19,-0.38210486636148,4.3101826788451504e-17
P11_T1,E-MTAB-13530,2,1099,455,451,-0.3464162477623489,3.673442354489649e-14,-0.3323836247212029,4.2862902966185387e-13
P11_T1,E-MTAB-13530,3,1099,455,452,-0.2879655817206371,4.4349243642388656e-10,-0.2824249978526169,9.79648305784054e-10
P11_T2,E-MTAB-13530,1,1159,500,487,-0.34373609147259304,5.941319611550532e-15,-0.3247100176331222,2.0220175897036218e-13
P11_T2,E-MTAB-13530,2,1159,500,493,-0.28460803179332445,1.2195799668231613e-10,-0.2674364175378374,1.6072890864781104e-09
P11_T2,E-MTAB-13530,3,1159,500,496,-0.27394436241160847,5.479362720299663e-10,-0.26373185348651046,2.4509966334239057e-09
P11_T3,E-MTAB-13530,1,1696,677,658,-0.4034813266775987,3.73794009719485e-27,-0.298474489354394,5.252063214630159e-15
P11_T3,E-MTAB-13530,2,1696,677,666,-0.3624912408870054,4.124627192870415e-22,-0.2469048142053745,1.0458124865336328e-10
P11_T3,E-MTAB-13530,3,1696,677,668,-0.25067083677128954,4.969834299759859e-11,-0.14719364895302678,0.0001345311889462008
P11_T4,E-MTAB-13530,1,1706,681,659,-0.21675354543742437,1.902183447777153e-08,-0.08943499596003389,0.021668478172175445
P11_T4,E-MTAB-13530,2,1706,681,669,-0.13783518962710137,0.0003495263752504226,-0.051195019772382146,0.18598439847899018
P11_T4,E-MTAB-13530,3,1706,681,673,-0.07634210182224595,0.047737975534762056,-0.008629575833313913,0.8231786352716745
P15_T1,E-MTAB-13530,1,2622,1075,1059,-0.034190074609156816,0.2662955561813199,-0.03888745355818257,0.2060613237262782
P15_T1,E-MTAB-13530,2,2622,1075,1070,0.0021005066576899297,0.9452848294156772,-0.007115310738792428,0.8161661600421832
