sample,group,dataset,ring,n_spots,rho_CLDN4_vs_Tnb,p_CLDN4_vs_Tnb,n_CLDN4_vs_Tnb,rho_CLDN4_vs_Bnb,p_CLDN4_vs_Bnb,n_CLDN4_vs_Bnb,rho_CLDN4_vs_TBnb,p_CLDN4_vs_TBnb,n_CLDN4_vs_TBnb,rho_epi_vs_TBnb,p_epi_vs_TBnb,n_epi_vs_TBnb,rho_CLDN4_vs_TBnb_partialEpi,p_CLDN4_vs_TBnb_partialEpi,n_partial
D1_1,healthy,E-MTAB-13530,1,270,0.19940391638566157,0.020894245756646723,134,-0.0647659597039248,0.45719270638377807,134,0.15384208876590316,0.0759395553370178,134,-0.1661541914487712,0.05502059129033185,134,0.1843888327784636,0.032942701495088385,134
D1_1,healthy,E-MTAB-13530,2,270,0.06239279693952555,0.4639630365003947,140,0.18609847310397515,0.0277024995496302,140,0.13712751061735357,0.10617875268590218,140,-0.03291858914084538,0.699414725437848,140,0.1268767356935121,0.13522518772228678,140
D1_1,healthy,E-MTAB-13530,3,270,0.12775805496395096,0.1608075806995585,122,0.0029274636376571722,0.9744703870198118,122,0.0979453256032037,0.28314215134386717,122,0.033771838517155886,0.711913487724546,122,0.08289907177624817,0.3639903536218358,122
D1_2,healthy,E-MTAB-13530,1,322,0.029689165278968362,0.7050232011712454,165,0.06855625880711659,0.38159766866662803,165,0.038401265145712515,0.6243434657296882,165,-0.10255923917399087,0.18991135433873232,165,0.09170785136109852,0.24138836262077626,165
D1_2,healthy,E-MTAB-13530,2,322,0.027463042262342974,0.7246121252336204,167,-0.0489478591047711,0.5298916459822478,167,-0.028292356669296952,0.716646443324642,167,0.09799598178600633,0.2077017450485924,167,0.007505642759231967,0.9233084269692446,167
D1_2,healthy,E-MTAB-13530,3,322,0.044028642723957685,0.588921066517904,153,0.1920910362359542,0.017371645217343554,153,0.09853899439326719,0.2255828100784796,153,0.09649482118131833,0.23540207019701057,153,0.11527146743865008,0.15593673626458537,153
D2_1,healthy,E-MTAB-13530,1,1835,0.04913024960713099,0.04079487782495015,1734,-0.036311935847667634,0.13066487080474307,1734,0.020627446447254748,0.39065719975540597,1734,0.0408081242287723,0.08935939545398378,1734,-0.00021253298133115246,0.9929437818886437,1734
D2_1,healthy,E-MTAB-13530,2,1835,0.04185389536912305,0.07800699476489872,1774,-0.018971044641656096,0.42455266717618595,1774,0.013923380232575859,0.5578404180016181,1774,0.06366706833651031,0.0073092266251823385,1774,-0.0059846928973952525,0.8011236597253726,1774
D2_1,healthy,E-MTAB-13530,3,1835,0.035803489987256375,0.13213895771384446,1770,-0.02204704226964264,0.3539230895174894,1770,0.00937665298484857,0.6934196550678671,1770,0.045533382629744996,0.055455303436807685,1770,0.0011836245864368117,0.9603124118931899,1770
D2_2,healthy,E-MTAB-13530,1,2428,0.04050579418252788,0.047842539212289786,2387,-0.020188449506340307,0.32416767214098885,2387,0.029106379669021208,0.15514101598148228,2387,0.01569314839879079,0.4434593305208636,2387,0.022360926386346507,0.2748108615958432,2387
D2_2,healthy,E-MTAB-13530,2,2428,0.03032306235136719,0.1365400037928432,2412,0.023143634806269794,0.2558745969874841,2412,0.027194459770230148,0.1818331249875029,2412,0.05568036049404252,0.006232630744383381,2412,0.010043754102662656,0.6219936770703336,2412
D2_2,healthy,E-MTAB-13530,3,2428,0.0043421430307675575,0.8311469940748465,2414,-0.012439666259376808,0.541266674676357,2414,-0.0027998525356027477,0.8906413608176822,2414,0.009037910268212835,0.6571626314162108,2414,-0.01484188480550094,0.46607447382820083,2414
P10_B1,adjacent_normal,E-MTAB-13530,1,1646,0.0005960026752903827,0.9809534233961562,1607,-0.030478560583560448,0.22203326228975925,1607,0.00768680312695935,0.7581517596845972,1607,0.0241947129437926,0.33240030690976347,1607,0.010262111380588771,0.6810196473653016,1607
P10_B1,adjacent_normal,E-MTAB-13530,2,1646,0.025953178306204704,0.29605417053857025,1623,0.015226700993795325,0.5398809596281919,1623,0.033381898342590345,0.17889100733212926,1623,0.04310292482057114,0.08257554676008035,1623,0.01900029353574368,0.44431076520532736,1623
P10_B1,adjacent_normal,E-MTAB-13530,3,1646,0.04979352928507553,0.04436253069017112,1631,-0.003910263542471142,0.8746159499966777,1631,0.029687916608953722,0.23079617950465017,1631,0.052002382323293544,0.0357323320567378,1631,0.023969846189857195,0.33332690636671014,1631
