gsm,cell_type,spotid,tissue,scan,neg_geomean,total_counts,q3,signal_to_bg,epi_score,t_score,b_score,tb_score
GSM8382000,CD68,100,Lung Cancer,DSP-1001660003044,43.864779614990184,780827.0,46.0,1.0486773307366655,-0.16759860655917036,-0.020226940700406537,0.018874186660548187,-0.007902522598948636
GSM8382001,CK,100,Lung Cancer,DSP-1001660003044,72.6664159538176,3510515.0,176.0,2.422026705044253,0.9529103625715045,-0.3215720565814486,-0.20122354549494492,-0.2838948805041883
GSM8382002,CD45,100,Lung Cancer,DSP-1001660003044,20.73930927519101,756453.0,31.0,1.4947460201619702,-0.5443631996166531,0.07341877279920617,0.2816656290100461,0.1595809791733589
GSM8382003,CD68,101,Lung Cancer,DSP-1001660003044,85.63078919979876,1531881.0,88.0,1.0276677445383957,-0.14621860487694427,0.07327178904511822,-0.17473095355162993,-0.01431419704136605
GSM8382004,CK,101,Lung Cancer,DSP-1001660003044,46.49226671551298,1332176.0,65.0,1.3980819734545569,0.11161223143971144,-0.030087051156926226,0.0915747975796366,0.021381706230837683
GSM8382005,CD45,101,Lung Cancer,DSP-1001660003044,26.36473887768241,682240.0,34.0,1.2896012419368506,-0.45830092073057926,0.09320663429526999,0.20458189850760045,0.14367456259915867
GSM8382006,CK,102,Lung Cancer,DSP-1001660003044,122.14365420866197,4981090.0,238.0,1.9485252962337025,1.367570371432815,-0.22994508664058344,-0.2838775919224319,-0.24067488108318358
GSM8382007,CD45,102,Lung Cancer,DSP-1001660003044,57.465276941913636,2091076.0,100.0,1.7401812941940713,-0.393874690130684,0.16430895151662117,-0.09777840350718492,0.0711281326537696
GSM8382008,CD68,103,Lung Cancer,DSP-1001660003044,8.589904529441625,148165.0,10.0,1.1641572925199946,-0.1745408898887124,-0.0517342341033733,0.09254963045485498,0.017743673670137294
GSM8382009,CK,103,Lung Cancer,DSP-1001660003044,48.56465900037356,1131923.0,63.0,1.297239624384378,-0.0811748295875514,-0.09197842251050137,-0.0952319537279922,-0.07825593274361875
GSM8382010,CD68,109,Lung Cancer,DSP-1001660003044,21.241437942296354,422857.0,25.0,1.1769448032620957,-0.2568361943463602,-0.09096726209262229,-0.0533930879610276,-0.07825980629767315
GSM8382011,CK,109,Lung Cancer,DSP-1001660003044,36.527613029930095,894454.0,50.0,1.3688274664712108,0.09088023289507552,-0.1233885788698319,0.009791524171614885,-0.06615429639291293
GSM8382012,CD68,111,Lung Cancer,DSP-1001660003044,21.129235146679253,372755.0,23.0,1.0885391657735781,-0.16388930122737388,-0.0968135581951679,0.1996362832831191,0.03248392421033319
GSM8382013,CK,111,Lung Cancer,DSP-1001660003044,67.45329921162438,3805387.0,176.0,2.6092126264695668,1.0364141716568787,-0.5686005112027557,-0.13098920837051375,-0.40049030954030806
GSM8382014,CD45,111,Lung Cancer,DSP-1001660003044,25.032015000321298,1021584.0,38.0,1.518055977495709,-0.589520262389919,0.4331597003996799,0.32713923380992904,0.4084720126448831
GSM8382015,CD68,116,Lung Cancer,DSP-1001660003044,37.09078624298054,704064.0,42.0,1.1323566916284642,-0.17781356957553962,0.03774476111372449,-0.04821887896774335,0.013453455298031436
GSM8382016,CK,116,Lung Cancer,DSP-1001660003044,62.97121355501163,1952356.0,98.0,1.5562666568969206,1.9317330717308794,-0.2036626450982193,-0.005598360428160198,-0.1044762604302143
GSM8382017,CD45,116,Lung Cancer,DSP-1001660003044,130.6938378526387,2586359.0,141.0,1.078857292101115,-0.1988415250024569,-0.011693850975913467,0.09762022204756704,0.04158047987638369
GSM8382018,CD68,117,Lung Cancer,DSP-1001660003044,16.2563884136097,342674.0,20.0,1.230285564735657,-0.43516308646187074,-0.0751842843295023,0.08328667465749229,0.012610636710296053
GSM8382019,CK,117,Lung Cancer,DSP-1001660003044,36.0259314697289,939489.0,50.0,1.387889166502549,-0.14599666207597028,0.08434957784465436,0.0031277663357944796,0.06371203225847788
GSM8382020,CD45,117,Lung Cancer,DSP-1001660003044,47.34538989768922,1195527.0,61.0,1.2884042170065055,-0.35694355086946405,0.07356467587763094,0.20674171807406205,0.12998138299220985
GSM8382021,CD68,118,Lung Cancer,DSP-1001660003044,8.255459439768682,203680.0,12.0,1.453583545234672,-0.12797391293051819,0.1690498997566685,0.16385767504275783,0.1828165108604689
GSM8382022,CK,118,Lung Cancer,DSP-1001660003044,47.42381677498455,2125544.0,91.0,1.9188670627624667,1.5036738076284761,-0.3982370749655142,0.005978183028987338,-0.21544413771955506
GSM8382023,CD45,118,Lung Cancer,DSP-1001660003044,12.091299636949792,337512.0,18.0,1.4886737191586763,-0.3714399856945154,0.4711454995716453,0.1550546583103043,0.3623164005852497
GSM8382024,CD68,119,Lung Cancer,DSP-1001660003044,11.581817306860277,231437.0,14.0,1.2087913001103339,-0.3274631284789269,0.016792735209540943,-0.027040092768146007,0.002997315126554323
GSM8382025,CK,119,Lung Cancer,DSP-1001660003044,19.758860639005366,486880.0,27.0,1.3664755520720724,0.483751666272092,-0.1902639204587797,0.06008267947842816,-0.0822693567342756
