probe_gene	probe	vs	n	rho	p	is_maxmean
CLDN4	ILMN_2132458	CD8A	133	-0.21881627964499034	0.01139210838731976	True
CLDN4	ILMN_2132458	CD274	133	-0.11559515553511723	0.18518079776146718	True
CD8A	ILMN_1768482	CLDN4	133	-0.2004535185852035	0.0206976839510154	False
CD8A	ILMN_1760374	CLDN4	133	-0.147651109436266	0.08987994274603653	False
CD8A	ILMN_2353732	CLDN4	133	-0.2188162796449903	0.01139210838731976	True
CD274	ILMN_1701914	CLDN4	133	-0.11559515553511725	0.1851807977614673	True
