gene	probe	gpl_symbol	ilmn_gene	entrez	synonyms	in_matrix	chosen_for_collapse
CLDN4	ILMN_2132458	CLDN4	CLDN4	1364	WBSCR8; CPER; hCPE-R; CPETR; CPETR1; CPE-R	True	True
CD8A	ILMN_1768482	CD8A	CD8A	925	p32; CD8; MAL; Leu2	True	False
CD8A	ILMN_1760374	CD8A	CD8A	925	p32; CD8; MAL; Leu2	True	False
CD8A	ILMN_2353732	CD8A	CD8A	925	p32; CD8; MAL; Leu2	True	True
CD274	ILMN_1701914	CD274	CD274	29126	PDL1; PDCD1LG1; B7-H; PDCD1L1; PD-L1; B7H1	True	True
